주요재무정보,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS연결)"
매출액,116,249,331,285,394
영업이익,-43,53,98,-60,-72
영업이익(발표기준),-43,53,98,-60,-72
세전계속사업이익,-47,13,-6,-606,-308
당기순이익,-47,38,-9,-601,-280
  당기순이익(지배),-47,38,-9,-601,-276
  당기순이익(비지배),,,,,-5
자산총계,269,682,928,"1,560","1,504"
부채총계,87,427,578,591,332
자본총계,182,255,350,969,"1,173"
  자본총계(지배),182,255,350,969,"1,200"
  자본총계(비지배),,,,,-27
자본금,122,128,134,174,181
영업활동현금흐름,-26,29,129,17,-76
투자활동현금흐름,-68,-348,-237,-152,-382
재무활동현금흐름,181,334,51,610,-7
CAPEX,64,245,270,80,66
FCF,-91,-215,-141,-64,-142
이자발생부채,33,334,373,226,155
영업이익률,-37.59,21.34,29.66,-20.93,-18.36
순이익률,-40.76,15.19,-2.67,-211.07,-71.16
ROE(%),-43.77,17.30,-2.92,-91.23,
ROA(%),-23.38,7.95,-1.09,-48.35,
부채비율,47.93,167.13,165.41,60.98,28.29
자본유보율,44.16,98.22,157.88,453.01,548.14
EPS(원),-190,141,-31,"-2,066",-778
PER(배),N/A,41.00,N/A,N/A,N/A
BPS(원),724,918,"1,235","2,779","3,308"
PBR(배),7.30,6.30,6.16,7.67,10.60
현금DPS(원),0,0,,0,0
현금배당수익률,0.00,0.00,,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,
발행주식수(보통주),"25,085,405","26,231,048","27,489,353","34,865,492","36,274,307"
