항목,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(GAAP개별)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
매출액(수익),232.8,238.7,245.7,326.8,473.2,590.0,44.8,24.7
*내수,,,,,,,,
*수출,,,,,,,,
매출원가,138.8,143.4,147.3,190.9,260.2,,36.4,
매출총이익,94.0,95.3,98.4,136.0,213.0,,56.6,
판매비와관리비,51.5,58.6,65.5,82.2,109.7,,33.5,
영업이익,42.4,36.7,32.9,53.8,103.3,125.0,92.0,21.0
*기타영업손익,,,,,,,,
영업이익(발표기준),42.4,36.7,32.9,53.8,103.3,,92.0,
*[구K-IFRS]영업이익,,,,,,,,
금융수익,0.2,0.3,0.4,0.7,1.0,,41.6,
금융원가,0.7,0.7,,0.3,0.1,,-58.6,
기타영업외손익,-0.0,-0.1,3.9,-0.0,0.1,,"1,258.8",
"종속기업,공동지배기업및관계기업관련손익",,,,,,,,
법인세비용차감전계속사업이익,41.9,36.3,37.1,54.2,104.3,,92.3,
법인세비용,8.1,7.4,6.7,10.8,16.6,,54.6,
종속회사매수일전순손익,,,,,,,,
처분된종속회사순손익,,,,,,,,
계속사업이익,33.8,28.9,30.5,43.5,87.6,,101.7,
중단사업이익,,,,,,,,
*중단사업법인세효과,,,,,,,,
당기순이익,33.8,28.9,30.5,43.5,87.6,97.0,101.7,10.7
기타포괄이익,,,,,,,,
총포괄이익,,,,43.5,87.6,,101.7,
*주당계속사업이익,"338,172","288,639","304,820","434,021","3,480",,-99,
*주당순이익,"338,172","288,639","304,820","434,021","3,480",,-99,
*희석주당계속사업이익,,,,,,,,
*희석주당순이익,,,,,,,,
*(지배주주지분)주당계속사업이익,"338,172","288,639","304,820","434,021","3,480",,-99,
*(지배주주지분)주당순이익,"338,172","288,639","304,820","434,021","3,480","2,824",-99,-19
*(지배주주지분)희석주당계속사업이익,,,,,,,,
*(지배주주지분)희석주당순이익,,,,,,,,
