항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)",전년대비
매출액(수익),876.6,700.6,709.2,701.8,656.7,-6.4
*내수,876.6,,709.2,701.8,,
*수출,,,,,,
매출원가,759.7,612.6,656.0,620.4,590.7,-4.8
매출총이익,116.9,88.0,53.2,81.4,66.0,-18.9
판매비와관리비,86.7,61.4,57.8,38.6,29.1,-24.8
영업이익,30.2,26.6,-4.6,42.8,37.0,-13.6
*기타영업손익,,,,,,
영업이익(발표기준),30.2,26.6,-4.6,42.8,37.0,-13.6
*[구K-IFRS]영업이익,,,,,,
금융수익,3.1,8.3,5.8,1.4,1.3,-8.7
금융원가,1.8,4.2,4.3,1.0,0.4,-58.1
기타영업외손익,-15.8,14.5,8.9,13.9,20.9,50.0
"종속기업,공동지배기업및관계기업관련손익",1.6,6.0,30.9,3.0,1.9,-36.4
법인세비용차감전계속사업이익,17.3,51.2,36.8,60.2,60.7,0.8
법인세비용,7.3,13.4,10.5,14.9,14.3,-4.2
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,10.0,37.8,26.3,45.2,46.4,2.5
중단사업이익,,8.7,7.7,-0.8,0.0,102.3
*중단사업법인세효과,,3.1,3.1,,,
당기순이익,10.0,46.5,34.0,44.5,46.4,4.4
기타포괄이익,-0.1,3.7,-3.7,-0.4,206.3,"50,836.9"
총포괄이익,9.9,50.2,30.2,44.0,252.7,473.7
*주당계속사업이익,37,121,82,141,145,3
*주당순이익,37,149,106,139,145,4
*희석주당계속사업이익,,120,,,,
*희석주당순이익,,148,,,,
*(지배주주지분)주당계속사업이익,37,121,82,141,145,3
*(지배주주지분)주당순이익,37,149,106,139,145,4
*(지배주주지분)희석주당계속사업이익,,120,,,,
*(지배주주지분)희석주당순이익,,148,,,,
