항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)",전년대비
매출액(수익),"2,869.8","2,749.5","3,182.1","2,975.2","3,422.9",15.1
*내수,"2,869.8",,"3,181.5","2,975.3",,
*수출,,,0.6,,,
매출원가,"2,707.4","2,596.2","3,027.0","2,838.8","3,260.6",14.9
매출총이익,162.4,153.3,155.1,136.4,162.4,19.0
판매비와관리비,96.7,90.7,94.5,83.8,93.4,11.5
영업이익,65.7,62.6,60.6,52.7,69.0,30.9
*기타영업손익,,,,,,
영업이익(발표기준),65.7,62.6,60.6,52.7,69.0,30.9
*[구K-IFRS]영업이익,,,,,,
금융수익,4.2,4.7,7.1,5.3,9.2,73.6
금융원가,21.5,9.2,10.5,16.4,8.0,-51.1
기타영업외손익,5.2,12.5,9.4,5.0,14.2,182.0
"종속기업,공동지배기업및관계기업관련손익",3.2,0.2,-3.9,-7.8,-0.6,92.3
법인세비용차감전계속사업이익,56.8,70.8,62.6,38.9,83.8,115.5
법인세비용,14.3,17.0,16.2,9.1,22.5,146.9
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,42.5,53.8,46.4,29.8,61.3,105.9
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,42.5,53.8,46.4,29.8,61.3,105.9
기타포괄이익,-1.3,-1.8,-2.1,0.9,10.8,"1,138.3"
총포괄이익,41.3,52.0,44.3,30.6,72.1,135.4
*주당계속사업이익,170,215,186,119,245,106
*주당순이익,170,215,186,119,245,106
*희석주당계속사업이익,,,190,,240,
*희석주당순이익,,,190,,240,
*(지배주주지분)주당계속사업이익,170,215,186,119,245,106
*(지배주주지분)주당순이익,170,215,186,119,245,106
*(지배주주지분)희석주당계속사업이익,,,190,,240,
*(지배주주지분)희석주당순이익,,,190,,240,
