항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)",전년대비
매출액(수익),424.9,436.5,429.8,429.8,545.9,27.0
*내수,395.3,,409.9,420.2,,
*수출,29.7,,20.0,9.6,,
매출원가,379.6,395.0,398.6,400.0,478.3,19.6
매출총이익,45.3,41.5,31.2,29.8,67.6,127.2
판매비와관리비,37.7,38.5,43.3,53.9,56.4,4.7
영업이익,7.6,3.0,-12.1,-24.2,11.2,146.2
*기타영업손익,,,,,,
영업이익(발표기준),7.6,3.0,-12.1,-24.2,11.2,146.2
*[구K-IFRS]영업이익,,,,,,
금융수익,0.2,0.2,0.1,0.1,0.0,-30.0
금융원가,2.0,1.8,1.2,1.3,1.5,20.7
기타영업외손익,1.2,2.2,0.7,-0.8,1.9,344.9
"종속기업,공동지배기업및관계기업관련손익",,,,,,
법인세비용차감전계속사업이익,7.0,3.5,-12.5,-26.2,11.6,144.2
법인세비용,1.6,0.8,-2.7,5.7,,
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,5.4,2.7,-9.8,-31.8,11.6,136.3
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,5.4,2.7,-9.8,-31.8,11.6,136.3
기타포괄이익,-0.4,-1.1,0.8,-0.3,-0.5,-68.9
총포괄이익,5.1,1.6,-9.0,-32.2,11.0,134.3
*주당계속사업이익,85,42,-153,-497,181,136
*주당순이익,85,42,-153,-497,181,136
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,85,42,-153,-497,181,136
*(지배주주지분)주당순이익,85,42,-153,-497,181,136
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
