항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)",전년대비
매출액(수익),240.4,251.0,251.3,248.0,240.0,-3.2
*내수,196.9,,208.9,196.6,,
*수출,43.5,,42.5,51.4,,
매출원가,168.2,168.6,166.9,167.6,182.6,8.9
매출총이익,72.3,82.3,84.4,80.4,57.4,-28.6
판매비와관리비,52.3,48.2,50.6,58.5,54.0,-7.7
영업이익,19.9,34.1,33.8,21.9,3.4,-84.6
*기타영업손익,,,,,,
영업이익(발표기준),19.9,34.1,33.8,21.9,3.4,-84.6
*[구K-IFRS]영업이익,,,,,,
금융수익,1.2,2.6,3.7,3.0,7.0,137.4
금융원가,5.3,0.5,0.3,6.0,2.9,-51.1
기타영업외손익,0.4,1.2,-9.0,-3.6,1.0,127.1
"종속기업,공동지배기업및관계기업관련손익",,,,,,
법인세비용차감전계속사업이익,16.3,37.4,28.1,15.3,8.4,-44.9
법인세비용,0.7,5.7,3.4,0.1,-0.2,-318.5
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,15.6,31.7,24.7,15.2,8.7,-43.0
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,15.6,31.7,24.7,15.2,8.7,-43.0
기타포괄이익,1.1,-1.3,-4.4,4.0,1.5,-62.7
총포괄이익,16.6,30.4,20.3,19.2,10.2,-47.1
*주당계속사업이익,410,834,650,400,227,-43
*주당순이익,410,834,650,400,227,-43
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,410,834,650,400,227,-43
*(지배주주지분)주당순이익,410,834,650,400,227,-43
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
