항목,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)",전년대비
매출액(수익),603.4,646.8,734.2,806.2,853.5,5.9
*내수,,,,803.3,,
*수출,,,,2.9,,
매출원가,481.6,521.9,605.1,661.0,674.1,2.0
매출총이익,121.8,124.9,129.1,145.2,179.5,23.6
판매비와관리비,71.1,74.2,72.6,87.3,118.1,35.3
영업이익,50.7,50.7,56.5,57.9,61.3,5.9
*기타영업손익,,,,,,
영업이익(발표기준),50.7,50.7,56.5,57.9,61.3,5.9
*[구K-IFRS]영업이익,,,,,,
금융수익,1.0,4.4,5.7,17.3,6.1,-64.4
금융원가,16.2,9.2,14.7,22.9,13.3,-42.0
기타영업외손익,3.9,-4.4,-1.3,-75.4,-0.6,99.2
"종속기업,공동지배기업및관계기업관련손익",,,,,-2.8,
법인세비용차감전계속사업이익,39.4,41.5,46.3,-23.2,50.8,319.6
법인세비용,8.2,5.4,7.2,10.0,10.5,4.5
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,31.2,36.2,39.1,-33.2,40.4,221.8
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,31.2,36.2,39.1,-33.2,40.4,221.8
기타포괄이익,,,,,,
총포괄이익,,,39.1,-33.2,40.4,221.8
*주당계속사업이익,"18,921","21,920","23,684",-100,91,191
*주당순이익,"18,921","21,920","23,684",-100,91,191
*희석주당계속사업이익,,,"23,036",,,
*희석주당순이익,,,"23,036",,,
*(지배주주지분)주당계속사업이익,"18,921","21,920","23,684",-100,91,191
*(지배주주지분)주당순이익,"18,921","21,920","23,684",-100,91,191
*(지배주주지분)희석주당계속사업이익,,,"23,036",,,
*(지배주주지분)희석주당순이익,,,"23,036",,,
