항목,"2017/03
(IFRS별도)","2018/03
(IFRS별도)","2019/03
(IFRS별도)","2020/03
(IFRS별도)","2021/03
(IFRS별도)",전년대비
매출액(수익),"1,604.3","1,701.0","2,075.1","1,758.6","1,937.5",10.2
*내수,,"1,624.5","2,015.3","1,716.3",,
*수출,,76.5,59.9,42.4,,
매출원가,"1,487.2","1,605.4","1,938.5","1,629.6","1,801.8",10.6
매출총이익,117.2,95.5,136.6,129.0,135.7,5.2
판매비와관리비,100.4,110.4,118.8,107.9,112.2,4.0
영업이익,16.8,-14.9,17.8,21.1,23.4,11.1
*기타영업손익,,,,,,
영업이익(발표기준),,-14.9,17.8,21.1,23.4,11.1
*[구K-IFRS]영업이익,,,,,,
금융수익,1.7,1.7,1.5,1.4,1.7,19.5
금융원가,0.0,2.4,3.1,3.6,2.7,-23.8
기타영업외손익,4.3,26.9,3.0,1.0,-0.7,-172.4
"종속기업,공동지배기업및관계기업관련손익",,,,,,
법인세비용차감전계속사업이익,22.8,11.3,19.2,19.9,21.7,8.7
법인세비용,6.2,2.8,3.6,4.9,4.8,-2.1
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,16.5,8.5,15.6,15.1,16.9,12.1
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,16.5,8.5,15.6,15.1,16.9,12.1
기타포괄이익,0.1,-0.0,,,,
총포괄이익,16.7,8.5,15.6,15.1,16.9,12.1
*주당계속사업이익,43,22,41,39,44,13
*주당순이익,43,22,41,39,44,13
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,43,22,41,39,44,13
*(지배주주지분)주당순이익,43,22,41,39,44,13
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
