항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)",2021/12
매출액(수익),71.1,298.1,103.1,42.2,51.8
*내수,,,103.1,42.2,
*수출,,,,,
매출원가,40.9,219.4,76.6,35.6,47.0
매출총이익,30.2,78.7,26.5,6.6,4.8
판매비와관리비,98.9,62.8,73.2,49.4,78.3
영업이익,-68.7,15.9,-46.7,-42.9,-73.5
*기타영업손익,,,,,
영업이익(발표기준),-68.7,15.9,-46.7,-42.9,-73.5
*[구K-IFRS]영업이익,,,,,
금융수익,2.3,17.2,8.1,10.0,19.9
금융원가,1.8,17.2,54.7,18.3,20.3
기타영업외손익,-18.0,1.4,-0.0,0.1,-6.2
"종속기업,공동지배기업및관계기업관련손익",,,,,
법인세비용차감전계속사업이익,-86.3,17.3,-93.3,-51.0,-80.1
법인세비용,,,,,
종속회사매수일전순손익,,,,,
처분된종속회사순손익,,,,,
계속사업이익,-86.3,17.3,-93.3,-51.0,-80.1
중단사업이익,,,,,-52.1
*중단사업법인세효과,,,,,
당기순이익,-86.3,17.3,-93.3,-51.0,-132.2
기타포괄이익,4.0,-1.8,-0.5,-13.1,1.6
총포괄이익,-82.2,15.5,-93.8,-64.1,-130.6
*주당계속사업이익,-308,62,-323,-175,-247
*주당순이익,-308,62,-323,-175,-378
*희석주당계속사업이익,,,,,
*희석주당순이익,,,,,
*(지배주주지분)주당계속사업이익,-308,62,-323,-175,-247
*(지배주주지분)주당순이익,-308,62,-323,-175,-378
*(지배주주지분)희석주당계속사업이익,,,,,
*(지배주주지분)희석주당순이익,,,,,
