항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)",2021/12
매출액(수익),437.1,266.5,324.5,96.9,169.7
*내수,91.5,50.8,53.1,45.0,
*수출,345.5,215.7,271.4,51.8,
매출원가,301.5,180.4,248.5,75.2,121.5
매출총이익,135.6,86.1,75.9,21.7,48.2
판매비와관리비,34.8,45.0,45.9,51.9,72.1
영업이익,100.8,41.0,30.0,-30.2,-23.9
*기타영업손익,,,,,
영업이익(발표기준),100.8,41.0,30.0,-30.2,-23.9
*[구K-IFRS]영업이익,,,,,
금융수익,15.8,36.3,52.6,39.8,83.8
금융원가,31.3,15.6,23.2,46.2,53.5
기타영업외손익,-1.8,6.6,9.8,2.3,5.8
"종속기업,공동지배기업및관계기업관련손익",,,,,-52.3
법인세비용차감전계속사업이익,83.5,68.3,69.2,-34.3,-40.0
법인세비용,15.7,12.9,11.6,-9.9,4.4
종속회사매수일전순손익,,,,,
처분된종속회사순손익,,,,,
계속사업이익,67.8,55.5,57.6,-24.4,-44.3
중단사업이익,,,,,
*중단사업법인세효과,,,,,
당기순이익,67.8,55.5,57.6,-24.4,-44.3
기타포괄이익,-2.8,-0.6,-0.4,1.1,4.7
총포괄이익,65.0,54.9,57.1,-23.2,-39.6
*주당계속사업이익,625,519,539,-76,-138
*주당순이익,625,519,539,-76,-138
*희석주당계속사업이익,,,,,
*희석주당순이익,,,,,
*(지배주주지분)주당계속사업이익,625,519,539,-76,-138
*(지배주주지분)주당순이익,625,519,539,-76,-138
*(지배주주지분)희석주당계속사업이익,,,,,
*(지배주주지분)희석주당순이익,,,,,
