항목,"2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
매출액(수익),547.2,678.4,"1,142.1","1,776.5",68.3,55.5
*내수,,137.3,,,,
*수출,,541.1,,,,
매출원가,302.7,554.8,821.4,,48.0,
매출총이익,244.5,123.6,320.7,500.0,159.5,55.9
판매비와관리비,62.3,37.1,51.5,,39.0,
영업이익,182.1,86.5,269.2,436.0,211.1,62.0
*기타영업손익,,,,,,
영업이익(발표기준),182.1,86.5,269.2,,211.1,
*[구K-IFRS]영업이익,,,,,,
금융수익,1.9,1.3,27.0,,"1,960.7",
금융원가,103.5,467.4,25.6,,-94.5,
기타영업외손익,-15.8,13.7,-5.3,,-138.8,
"종속기업,공동지배기업및관계기업관련손익",,,,,,
법인세비용차감전계속사업이익,64.8,-365.9,265.2,388.5,172.5,46.5
법인세비용,18.3,-14.4,19.3,,233.6,
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,46.5,-351.5,246.0,,170.0,
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,46.5,-351.5,246.0,353.5,170.0,43.7
기타포괄이익,-0.0,-1.0,1.7,,267.1,
총포괄이익,46.5,-352.5,247.6,,170.3,
*주당계속사업이익,763,"-5,207","2,084",,140,
*주당순이익,763,"-5,207","2,084",,140,
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,763,"-5,207","2,084",,140,
*(지배주주지분)주당순이익,763,"-5,207","2,084","3,004",140,44
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
