항목,"2017/12
(GAAP개별)",2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
매출액(수익),463.1,463.6,488.3,626.8,832.4,"1,104.0",32.8,32.6
*내수,383.6,407.3,445.5,567.9,,,,
*수출,79.5,56.3,42.8,58.8,,,,
매출원가,398.0,378.2,393.8,518.5,725.7,,40.0,
매출총이익,65.1,85.4,94.5,108.3,106.7,,-1.5,
판매비와관리비,35.5,34.3,43.7,48.9,55.7,,13.8,
영업이익,29.7,51.1,50.8,59.4,51.0,96.0,-14.2,88.4
*기타영업손익,,,,,,,,
영업이익(발표기준),29.7,51.1,50.8,59.4,51.0,,-14.2,
*[구K-IFRS]영업이익,,,,,,,,
금융수익,0.6,7.4,5.7,2.3,1.8,,-23.0,
금융원가,6.3,25.5,19.4,70.8,57.5,,-18.7,
기타영업외손익,-1.9,0.7,-3.3,-20.4,-52.8,,-158.4,
"종속기업,공동지배기업및관계기업관련손익",-1.5,-0.3,-0.3,0.1,0.1,,-41.0,
법인세비용차감전계속사업이익,20.5,33.3,33.5,-29.4,-57.5,,-95.6,
법인세비용,3.0,10.6,8.2,-8.0,-10.1,,-25.7,
종속회사매수일전순손익,,,,,,,,
처분된종속회사순손익,,,,,,,,
계속사업이익,17.6,22.7,25.3,-21.4,-47.4,,-121.8,
중단사업이익,,,,,,,,
*중단사업법인세효과,,,,,,,,
당기순이익,17.6,22.7,25.3,-21.4,-47.4,,-121.8,
기타포괄이익,,-0.4,-0.7,-6.2,0.8,,113.6,
총포괄이익,,22.3,24.6,-27.6,-46.6,,-68.9,
*주당계속사업이익,474,799,333,-208,-398,,-91,
*주당순이익,474,799,333,-208,-398,,-91,
*희석주당계속사업이익,,596,296,,,,,
*희석주당순이익,,596,296,,,,,
*(지배주주지분)주당계속사업이익,474,799,333,-208,-398,,-91,
*(지배주주지분)주당순이익,474,799,333,-208,-398,,-91,
*(지배주주지분)희석주당계속사업이익,,596,296,,,,,
*(지배주주지분)희석주당순이익,,596,296,,,,,
