항목,2017/12,2018/12,"2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)",전년대비
매출액(수익),"1,180.2","1,465.0","1,059.0","1,287.4","1,812.6",40.8
*내수,"1,156.4",,906.5,"1,063.8",,
*수출,23.8,,152.5,223.6,,
매출원가,"1,042.5","1,185.6",905.1,"1,015.1","1,434.2",41.3
매출총이익,137.7,279.4,153.9,272.3,378.4,39.0
판매비와관리비,87.9,145.9,94.5,108.3,117.2,8.2
영업이익,49.8,133.6,59.4,164.0,261.2,59.3
*기타영업손익,,,,,,
영업이익(발표기준),49.8,133.6,59.4,164.0,261.2,59.3
*[구K-IFRS]영업이익,,,,,,
금융수익,0.7,1.0,3.3,1.7,3.2,90.5
금융원가,6.5,13.3,14.5,9.2,2.6,-71.1
기타영업외손익,-13.0,-15.2,7.3,2.2,9.1,309.0
"종속기업,공동지배기업및관계기업관련손익",18.5,,-38.7,2.5,-0.0,-100.4
법인세비용차감전계속사업이익,49.5,106.1,16.8,161.2,270.9,68.0
법인세비용,17.0,-22.7,7.4,30.4,55.6,82.8
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,32.5,128.7,9.4,130.8,215.2,64.5
중단사업이익,,,15.7,,,
*중단사업법인세효과,,,,,,
당기순이익,32.5,128.7,25.1,130.8,215.2,64.5
기타포괄이익,293.0,81.8,-13.1,184.1,14.7,-92.0
총포괄이익,325.5,210.5,12.0,314.9,229.9,-27.0
*주당계속사업이익,73,287,104,"1,468","2,392",63
*주당순이익,73,287,279,"1,468","2,392",63
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,73,287,104,"1,468","2,392",63
*(지배주주지분)주당순이익,73,287,279,"1,468","2,392",63
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
