항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)",전년대비
매출액(수익),63.0,52.1,92.9,63.6,136.3,114.3
*내수,10.4,,12.0,16.1,,
*수출,52.6,,80.8,47.5,,
매출원가,43.5,47.5,53.1,46.2,66.0,43.1
매출총이익,19.6,4.6,39.8,17.4,70.2,303.3
판매비와관리비,30.8,38.6,49.4,47.5,91.3,92.1
영업이익,-11.3,-34.0,-9.6,-30.1,-21.1,30.0
*기타영업손익,,,,,,
영업이익(발표기준),-11.3,-34.0,-9.6,-30.1,-21.1,30.0
*[구K-IFRS]영업이익,,,,,,
금융수익,0.1,0.5,1.2,5.1,1.2,-76.1
금융원가,6.2,7.3,8.0,2.0,41.6,"1,998.7"
기타영업외손익,-8.6,0.3,-9.6,-19.1,5.0,126.2
"종속기업,공동지배기업및관계기업관련손익",,,,,,
법인세비용차감전계속사업이익,-26.0,-40.5,-26.0,-46.1,-56.5,-22.6
법인세비용,-0.3,1.0,1.3,-9.7,0.9,108.9
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,-25.7,-41.5,-27.3,-36.4,-57.4,-57.8
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,-25.7,-41.5,-27.3,-36.4,-57.4,-57.8
기타포괄이익,1.0,-2.7,-1.5,1.6,-7.0,-540.5
총포괄이익,-24.6,-44.1,-28.8,-34.8,-64.4,-85.2
*주당계속사업이익,-463,-615,-310,-367,-580,-58
*주당순이익,-463,-615,-310,-367,-580,-58
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,-463,-615,-310,-367,-580,-58
*(지배주주지분)주당순이익,-463,-615,-310,-367,-580,-58
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
