항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)",2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
매출액(수익),958.2,951.9,430.1,828.0,"1,351.5","1,600.0",63.2,18.4
*내수,,,,,,,,
*수출,,,,,,,,
매출원가,842.7,803.9,455.3,676.2,"1,004.2",,48.5,
매출총이익,115.4,148.0,-25.2,151.8,347.3,419.0,128.7,20.6
판매비와관리비,74.1,73.9,77.7,95.3,116.1,,21.8,
영업이익,41.3,74.1,-102.9,56.5,231.2,294.0,309.3,27.1
*기타영업손익,,,,,,,,
영업이익(발표기준),41.3,74.1,-102.9,56.5,231.2,,309.3,
*[구K-IFRS]영업이익,,,,,,,,
금융수익,0.5,0.2,0.2,0.3,0.3,,-0.5,
금융원가,17.9,18.3,19.2,15.6,13.2,,-15.3,
기타영업외손익,-264.4,4.3,2.2,-12.1,6.2,,151.4,
"종속기업,공동지배기업및관계기업관련손익",-1.7,,,,,,,
법인세비용차감전계속사업이익,-242.2,60.3,-119.8,29.1,224.5,293.0,670.9,30.5
법인세비용,-55.7,10.7,-10.8,6.8,49.8,,632.8,
종속회사매수일전순손익,,,,,,,,
처분된종속회사순손익,,,,,,,,
계속사업이익,-186.5,49.7,-109.0,22.3,174.7,,682.6,
중단사업이익,,,,,,,,
*중단사업법인세효과,,,,,,,,
당기순이익,-186.5,49.7,-109.0,22.3,174.7,228.0,682.6,30.5
기타포괄이익,0.4,-3.8,-0.2,-6.9,0.2,,103.0,
총포괄이익,-186.0,45.9,-109.2,15.4,174.9,,"1,035.7",
*주당계속사업이익,"-1,885",594,"-1,298",266,"2,082",,683,
*주당순이익,"-1,885",594,"-1,298",266,"2,082",,683,
*희석주당계속사업이익,,,,,,,,
*희석주당순이익,,,,,,,,
*(지배주주지분)주당계속사업이익,"-1,885",594,"-1,298",266,"2,082",,683,
*(지배주주지분)주당순이익,"-1,885",594,"-1,298",266,"2,082","2,095",683,1
*(지배주주지분)희석주당계속사업이익,,,,,,,,
*(지배주주지분)희석주당순이익,,,,,,,,
