항목,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(GAAP개별)","2020/12
(IFRS별도)","2021/12
(IFRS별도)",전년대비
매출액(수익),391.7,361.5,434.1,634.6,775.5,22.2
*내수,,,,,,
*수출,,,,,,
매출원가,343.9,327.0,381.9,522.6,704.6,34.8
매출총이익,47.9,34.5,52.2,112.0,70.9,-36.7
판매비와관리비,34.7,39.3,45.6,56.7,70.1,23.5
영업이익,13.2,-4.8,6.7,55.3,0.8,-98.6
*기타영업손익,,,,,,
영업이익(발표기준),13.2,-4.8,6.7,55.3,0.8,-98.6
*[구K-IFRS]영업이익,,,,,,
금융수익,0.2,0.6,0.6,19.3,7.5,-61.4
금융원가,1.5,1.2,1.0,19.6,16.9,-13.5
기타영업외손익,-1.9,-2.1,3.2,0.8,-137.5,"-18,140.8"
"종속기업,공동지배기업및관계기업관련손익",,,,,,
법인세비용차감전계속사업이익,10.0,-7.4,9.4,55.8,-146.2,-362.0
법인세비용,0.1,,0.1,-8.2,-9.8,-19.2
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,9.9,-7.4,9.4,64.0,-136.4,-312.9
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,9.9,-7.4,9.4,64.0,-136.4,-312.9
기타포괄이익,,,,,,
총포괄이익,,,,64.0,-136.4,-312.9
*주당계속사업이익,334,-251,316,"2,163",-368,-117
*주당순이익,334,-251,316,"2,163",-368,-117
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,334,-251,316,"2,163",-368,-117
*(지배주주지분)주당순이익,334,-251,316,"2,163",-368,-117
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
