항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)",2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
자산총계,"2,748.4","2,876.9","3,048.8","3,295.6","3,531.9","3,680.0",7.2,4.2
유동자산,"1,718.1","1,878.3","2,049.8","2,143.5","2,424.1","2,406.0",13.1,-0.8
재고자산,213.5,259.0,282.2,327.6,327.5,,-0.1,
유동생물자산,,,,,,,,
당기손익-공정가치측정금융자산,,140.9,330.6,351.0,361.6,,3.0,
기타포괄손익-공정가치측정금융자산,,,,,,,,
상각후원가측정유가증권,,346.2,,,,,,
상각후원가측정금융자산,,,397.5,338.4,227.8,,-32.7,
단기금융자산,407.4,61.7,210.9,120.1,230.5,,91.9,
매출채권및기타채권,696.9,684.0,644.7,640.4,631.2,,-1.4,
당기법인세자산(선급법인세),,,,,,,,
계약자산,,,,,,,,
반품(환불)자산,,,,,,,,
배출권,,,,,,,,
기타유동자산,1.1,1.5,4.1,5.3,5.0,,-4.7,
현금및현금성자산,399.3,385.1,179.8,360.7,640.6,,77.6,
매각예정비유동자산및처분자산,,,,,,,,
비유동자산,"1,030.2",998.5,999.1,"1,152.0","1,107.8",,-3.8,
유형자산,398.1,392.8,381.1,435.8,450.8,,3.4,
무형자산,17.6,23.8,31.1,29.9,29.7,,-0.6,
비유동생물자산,,,,,,,,
투자부동산,358.2,355.4,350.4,345.5,340.6,,-1.4,
투자자산,256.3,226.6,220.5,318.4,268.8,,-15.6,
장기매출채권및기타채권,,,,,,,,
이연법인세자산,,,,,,,,
장기당기법인세자산,,,,,,,,
계약자산,,,,,,,,
반품(환불)자산,,,,,,,,
배출권,,,,,,,,
기타비유동자산,,,15.9,22.4,17.9,,-20.2,
기타금융업자산,,,,,,,,
*순자산1,"2,430.8","2,595.8","2,744.6","2,966.0","3,172.3",,7.0,
*순자산2,"2,413.2","2,572.1","2,713.5","2,936.1","3,142.6",,7.0,
부채총계,317.5,281.0,304.2,329.6,359.6,363.0,9.1,0.9
유동부채,279.9,236.6,247.4,267.2,309.0,316.0,15.6,2.3
단기사채,,,,,,,,
단기차입금,,,,,,,,
유동성장기부채,,,,,,,,
당기손익-공정가치측정금융부채,,,,,,,,
상각후원가측정금융부채,,,,,,,,
유동금융부채,,,4.3,5.5,4.2,,-23.9,
매입채무및기타채무,201.5,173.8,166.1,183.4,221.2,,20.6,
유동종업원급여충당부채,,,,,,,,
단기충당부채,,,,,,,,
당기법인세부채(미지급법인세),68.6,53.5,50.4,57.0,55.7,,-2.2,
계약부채,,,,,,,,
반품(환불)부채,8.4,6.7,24.1,17.3,25.5,,47.7,
배출부채,,,,,,,,
기타유동부채,1.4,2.6,2.6,4.2,2.4,,-41.9,
매각예정으로분류된처분자산에포함된부채,,,,,,,,
비유동부채,37.7,44.5,56.8,62.3,50.6,47.0,-18.8,-7.2
사채,,,,,,,,
장기차입금,,,,,,,,
당기손익-공정가치측정금융부채,,,,,,,,
상각후원가측정금융부채,,,,,,,,
비유동금융부채,,,11.3,16.4,13.1,,-20.6,
장기매입채무및기타채무,4.0,13.9,17.0,11.1,13.1,,17.5,
비유동종업원급여충당부채,,,,,,,,
장기충당부채,,,,,3.4,,,
이연법인세부채,24.6,18.1,12.3,20.1,11.0,,-45.4,
장기당기법인세부채(미지급법인세),,,,,,,,
계약부채,,,,,,,,
반품(환불)부채,9.1,12.5,16.1,14.6,10.1,,-30.8,
배출부채,,,,,,,,
기타비유동부채,,,,,,,,
기타금융업부채,,,,,,,,
*이자발생부채,,,15.6,21.9,17.2,,-21.4,
*순부채,-805.3,-932.2,"-1,102.3","-1,147.7","-1,442.4","-1,354.0",-25.7,6.1
*CAPEX,191.3,41.0,27.6,79.9,43.9,56.0,-45.1,27.6
자본총계,"2,430.8","2,595.8","2,744.6","2,966.0","3,172.3","3,317.0",7.0,4.6
지배주주지분,"2,430.8","2,595.8","2,737.8","2,961.1","3,169.4","3,312.0",7.0,4.5
자본금,97.0,97.0,97.0,97.0,97.0,97.0,0.0,0.0
신종자본증권,,,,,,,,
자본잉여금,211.4,211.4,211.4,211.4,211.4,,0.0,
기타자본,-96.7,-96.7,-96.7,-96.7,-96.7,,0.0,
기타포괄이익누계액,22.1,-15.4,-14.7,17.9,3.2,,-81.8,
이익잉여금,"2,197.1","2,399.6","2,540.8","2,731.6","2,954.5",,8.2,
*(지배)당기순이익,271.7,215.2,187.0,233.9,266.6,,14.0,
비지배주주지분,,,6.8,4.9,2.9,,-41.3,
*(비지배)당기순이익,,,-0.8,-2.0,-2.0,,-2.3,
수권주식수,"60,000","60,000","60,000","60,000","60,000",,0,
1주당금액,500,500,500,500,500,,0,
발행주식수,"18,600","18,600","18,600","18,600","18,600",,0,
보통주,"18,600","18,600","18,600","18,600","18,600",,0,
우선주,,,,,,,,
