항목,"2017/12
(IFRS별도)",2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
자산총계,"57,215.9","56,580.0","58,926.1","60,731.4","65,173.6","69,531.5",7.3,6.7
유동자산,"6,179.1","6,419.9","5,905.1","5,839.1","7,115.4","11,823.5",21.9,66.2
재고자산,563.2,330.8,347.6,388.5,391.4,,0.7,
유동생물자산,,,,,,,,
당기손익-공정가치측정금융자산,,430.0,0.0,1.8,5.2,,185.5,
기타포괄손익-공정가치측정금융자산,,,,,,,,
상각후원가측정유가증권,,,,,,,,
상각후원가측정금융자산,,,,,,,,
단기금융자산,160.2,15.8,70.0,90.6,119.8,,32.3,
매출채권및기타채권,"4,980.6","5,368.8","5,185.9","4,964.7","6,315.7",,27.2,
당기법인세자산(선급법인세),,26.2,31.1,0.3,,,,
계약자산,,,,,,,,
반품(환불)자산,,,,,,,,
배출권,,,,,,,,
기타유동자산,122.0,167.1,66.1,97.1,117.6,,21.1,
현금및현금성자산,335.5,81.2,204.4,296.0,165.8,,-44.0,
매각예정비유동자산및처분자산,17.7,,,,,,,
비유동자산,"51,036.8","50,160.1","53,021.1","54,892.3","58,058.2",,5.8,
유형자산,"49,082.7","47,798.9","49,557.4","50,803.4","53,480.6",,5.3,
무형자산,798.6,790.0,813.8,822.9,800.8,,-2.7,
비유동생물자산,,,,,,,,
투자부동산,,,,,,,,
투자자산,510.5,650.7,573.5,657.0,822.0,,25.1,
장기매출채권및기타채권,401.9,208.2,323.0,185.5,393.7,,112.3,
이연법인세자산,,540.4,597.5,798.0,753.2,,-5.6,
장기당기법인세자산,,,,,,,,
계약자산,,,,,,,,
반품(환불)자산,,,,,,,,
배출권,,,,,,,,
기타비유동자산,243.1,172.0,"1,155.9","1,625.6","1,807.8",,11.2,
기타금융업자산,,,,,,,,
*순자산1,"18,297.3","15,601.5","15,293.9","18,037.3","18,231.8",,1.1,
*순자산2,"17,498.8","14,811.5","14,480.1","17,214.4","17,431.0",,1.3,
부채총계,"38,918.6","40,978.5","43,632.2","42,694.0","46,941.8","53,493.0",9.9,14.0
유동부채,"9,776.7","9,590.7","9,150.4","9,209.4","15,146.8","16,577.0",64.5,9.4
단기사채,,,,,,,,
단기차입금,,300.0,600.0,,"4,702.9",,,
유동성장기부채,"5,199.0","3,998.7","4,099.0","4,299.1","3,299.5",,-23.3,
당기손익-공정가치측정금융부채,,,,,,,,
상각후원가측정금융부채,,,,,,,,
유동금융부채,0.0,,67.0,93.2,100.7,,8.0,
매입채무및기타채무,"4,185.6","4,289.1","3,533.5","3,236.6","6,000.6",,85.4,
유동종업원급여충당부채,286.1,330.6,384.5,456.6,428.9,,-6.1,
단기충당부채,,323.9,93.0,656.8,166.5,,-74.7,
당기법인세부채(미지급법인세),96.0,,2.5,49.2,8.5,,-82.8,
계약부채,,,,,,,,
반품(환불)부채,,,,,,,,
배출부채,,,,,,,,
기타유동부채,10.0,348.4,370.8,417.9,439.3,,5.1,
매각예정으로분류된처분자산에포함된부채,,,,,,,,
비유동부채,"29,141.8","31,387.8","34,481.8","33,484.7","31,795.0","36,916.0",-5.0,16.1
사채,"21,573.8","21,575.2","23,073.5","19,777.9","20,874.8",,5.5,
장기차입금,,"1,500.0","1,500.0","3,400.0",,,,
당기손익-공정가치측정금융부채,,,,,,,,
상각후원가측정금융부채,,,,,,,,
비유동금융부채,15.6,40.6,975.5,"1,066.5","1,082.0",,1.5,
장기매입채무및기타채무,70.0,101.7,101.7,70.0,70.0,,0.0,
비유동종업원급여충당부채,,93.0,153.3,,,,,
장기충당부채,66.9,73.9,108.5,,,,,
이연법인세부채,120.4,,,,,,,
장기당기법인세부채(미지급법인세),,,,,,,,
계약부채,,,,,,,,
반품(환불)부채,,,,,,,,
배출부채,,,,,,,,
기타비유동부채,"7,295.1","8,003.4","8,569.3","9,170.4","9,768.2",,6.5,
기타금융업부채,,,,,,,,
*이자발생부채,"26,788.5","27,387.7","30,273.0","28,593.4","30,050.9",,5.1,
*순부채,"26,293.0","26,866.5","30,048.5","28,275.6","29,859.9","32,078.0",5.6,7.4
*CAPEX,"6,769.8","3,999.3","3,976.4","4,260.7","5,157.3","1,746.0",21.0,-66.2
자본총계,"18,297.3","15,601.5","15,293.9","18,037.3","18,231.8","16,038.5",1.1,-12.0
지배주주지분,"18,297.3","15,601.5","15,293.9","18,037.3","18,231.8","16,038.5",1.1,-12.0
자본금,578.9,578.9,578.9,578.9,578.9,579.0,0.0,0.0
신종자본증권,,,,"2,498.0","2,498.0",,0.0,
자본잉여금,"1,137.1","1,137.1","1,137.1","1,137.1","1,137.1",,0.0,
기타자본,,,-0.0,,,,,
기타포괄이익누계액,-1.0,-21.3,-31.8,-24.8,38.2,,254.2,
이익잉여금,"16,582.2","13,906.8","13,609.7","13,848.0","13,979.5",,0.9,
*(지배)당기순이익,698.8,"-2,265.2",-255.8,279.4,214.6,,-23.2,
비지배주주지분,,,,,,,,
*(비지배)당기순이익,,,,,,,,
수권주식수,"40,000","40,000","40,000","40,000","40,000",,0,
1주당금액,"5,000","5,000","5,000","5,000","5,000",,0,
발행주식수,"11,579","11,579","11,579","11,579","11,579",,0,
보통주,"11,579","11,579","11,579","11,579","11,579",,0,
우선주,,,,,,,,
