항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)",2021/12
자산총계,"1,017.0",913.2,"1,034.1","1,071.3","1,097.1"
유동자산,854.9,751.4,876.4,893.6,735.8
재고자산,62.8,49.5,40.8,36.5,68.9
유동생물자산,,,,,
당기손익-공정가치측정금융자산,,,162.2,192.9,
기타포괄손익-공정가치측정금융자산,,,,,
상각후원가측정유가증권,,,,,
상각후원가측정금융자산,,,,,
단기금융자산,145.5,1.5,22.6,12.0,14.9
매출채권및기타채권,578.8,585.5,566.9,542.6,587.4
당기법인세자산(선급법인세),,,5.9,,0.0
계약자산,,0.5,4.6,,
반품(환불)자산,,4.2,4.5,1.5,7.5
배출권,,,,,
기타유동자산,5.2,2.1,8.0,4.3,4.2
현금및현금성자산,62.6,108.1,60.8,103.8,52.9
매각예정비유동자산및처분자산,,,,,
비유동자산,162.1,161.8,157.7,177.7,361.3
유형자산,65.7,68.4,65.8,60.8,97.0
무형자산,15.4,15.3,30.9,34.8,124.9
비유동생물자산,,,,,
투자부동산,2.2,2.2,2.2,2.2,59.5
투자자산,12.7,46.2,17.8,35.8,47.7
장기매출채권및기타채권,2.2,0.2,,2.1,1.0
이연법인세자산,28.3,29.6,17.7,6.7,7.2
장기당기법인세자산,,,,,
계약자산,,,,,
반품(환불)자산,,,,,
배출권,,,,,
기타비유동자산,35.6,,23.3,35.2,24.0
기타금융업자산,,,,,
*순자산1,359.5,384.9,410.6,436.6,500.4
*순자산2,344.1,369.6,379.7,401.7,375.6
부채총계,657.5,528.3,623.5,634.7,596.7
유동부채,638.2,507.2,598.2,603.0,534.3
단기사채,,,,,
단기차입금,22.9,20.0,,,9.1
유동성장기부채,,,,,
당기손익-공정가치측정금융부채,,,,,
상각후원가측정금융부채,,,,,
유동금융부채,,,14.7,20.5,19.7
매입채무및기타채무,605.1,473.6,575.4,578.6,470.9
유동종업원급여충당부채,,,,,
단기충당부채,1.6,4.5,4.8,1.6,9.3
당기법인세부채(미지급법인세),8.0,8.7,,1.9,8.5
계약부채,,,1.7,,
반품(환불)부채,0.3,,,,
배출부채,,,,,
기타유동부채,0.3,0.4,1.6,0.4,16.8
매각예정으로분류된처분자산에포함된부채,,,,,
비유동부채,19.3,21.1,25.4,31.7,62.4
사채,,,,,
장기차입금,,,,,35.2
당기손익-공정가치측정금융부채,,,,,
상각후원가측정금융부채,,,,,
비유동금융부채,,,17.2,25.7,12.8
장기매입채무및기타채무,10.1,10.4,0.9,1.3,
비유동종업원급여충당부채,8.6,10.0,4.1,1.8,2.5
장기충당부채,0.7,0.7,3.1,2.9,2.6
이연법인세부채,,,,,9.1
장기당기법인세부채(미지급법인세),,,,,
계약부채,,,,,
반품(환불)부채,,,,,
배출부채,,,,,
기타비유동부채,,,,,0.2
기타금융업부채,,,,,
*이자발생부채,22.9,20.0,26.5,41.3,71.1
*순부채,-185.2,-89.6,-199.5,-258.4,18.2
*CAPEX,19.4,10.3,5.6,3.9,7.5
자본총계,359.5,384.9,410.6,436.6,500.4
지배주주지분,359.5,384.9,410.6,436.6,465.8
자본금,102.5,102.5,102.5,102.5,102.5
신종자본증권,,,,,
자본잉여금,158.3,158.3,158.3,158.3,158.4
기타자본,-11.5,-11.5,-11.5,-11.5,-11.3
기타포괄이익누계액,5.6,-3.9,-4.0,-0.3,-2.5
이익잉여금,104.5,139.4,165.2,187.5,218.7
*(지배)당기순이익,24.6,35.8,31.6,29.5,34.7
비지배주주지분,,,,,34.7
*(비지배)당기순이익,,,,,1.4
수권주식수,"200,000","200,000","200,000","200,000","200,000"
1주당금액,500,500,500,500,500
발행주식수,"20,493","20,493","20,493","20,493","20,493"
보통주,"20,493","20,493","20,493","20,493","20,493"
우선주,,,,,
