항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)",전년대비
매출액(수익),"2,084.1","1,806.8","1,596.6","1,368.1","1,759.1",28.6
*내수,"1,558.4",,"1,229.4","1,061.4",,
*수출,525.7,,367.1,306.7,,
매출원가,"1,861.5","1,639.2","1,504.8","1,272.6","1,579.9",24.1
매출총이익,222.6,167.6,91.8,95.5,179.2,87.6
판매비와관리비,219.7,198.8,184.7,143.2,166.6,16.3
영업이익,2.9,-31.2,-92.9,-47.7,12.6,126.4
*기타영업손익,,,,,,
영업이익(발표기준),2.9,-31.2,-92.9,-47.7,12.6,126.4
*[구K-IFRS]영업이익,,,,,,
금융수익,5.7,9.5,8.5,11.2,8.6,-23.2
금융원가,8.5,0.9,0.9,3.5,0.2,-94.8
기타영업외손익,7.7,17.3,18.7,18.0,34.4,90.6
"종속기업,공동지배기업및관계기업관련손익",,,,,-0.5,
법인세비용차감전계속사업이익,7.8,-5.3,-66.5,-21.9,55.0,351.2
법인세비용,1.9,1.5,-5.2,23.7,1.2,-95.0
종속회사매수일전순손익,,,,,,
처분된종속회사순손익,,,,,,
계속사업이익,5.8,-6.7,-61.3,-45.5,53.8,218.1
중단사업이익,,,,,,
*중단사업법인세효과,,,,,,
당기순이익,5.8,-6.7,-61.3,-45.5,53.8,218.1
기타포괄이익,-2.3,-6.5,16.8,19.3,2.3,-88.0
총포괄이익,3.6,-13.3,-44.5,-26.2,56.1,314.0
*주당계속사업이익,294,-34,-305,-227,272,220
*주당순이익,294,-34,-305,-227,272,220
*희석주당계속사업이익,,,,,,
*희석주당순이익,,,,,,
*(지배주주지분)주당계속사업이익,294,-34,-305,-227,272,220
*(지배주주지분)주당순이익,294,-34,-305,-227,272,220
*(지배주주지분)희석주당계속사업이익,,,,,,
*(지배주주지분)희석주당순이익,,,,,,
