항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)",전년대비
자산총계,"1,652.8","1,624.9","1,633.6","1,713.7","2,169.7",26.6
유동자산,852.6,772.6,748.5,725.6,"1,041.0",43.5
재고자산,194.2,251.2,222.5,223.4,409.6,83.4
유동생물자산,,,,,,
당기손익-공정가치측정금융자산,,,,,5.2,
기타포괄손익-공정가치측정금융자산,,,,,,
상각후원가측정유가증권,,,,,,
상각후원가측정금융자산,,,,,,
단기금융자산,55.9,55.0,56.0,12.6,6.0,-52.2
매출채권및기타채권,526.1,427.8,417.0,449.3,541.4,20.5
당기법인세자산(선급법인세),,0.7,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타유동자산,20.1,20.7,18.4,13.4,41.8,211.1
현금및현금성자산,56.3,17.2,34.5,26.9,37.0,37.9
매각예정비유동자산및처분자산,,,,,,
비유동자산,800.2,852.3,885.1,988.2,"1,128.7",14.2
유형자산,640.4,676.6,677.5,774.1,898.5,16.1
무형자산,6.6,4.2,4.2,4.2,6.9,63.6
비유동생물자산,,,,,,
투자부동산,48.6,48.4,46.7,46.5,46.8,0.7
투자자산,104.5,123.1,135.6,144.7,161.6,11.7
장기매출채권및기타채권,,,,,,
이연법인세자산,,,,,,
장기당기법인세자산,,,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타비유동자산,,,21.1,18.7,14.8,-20.6
기타금융업자산,,,,,,
*순자산1,"1,084.4","1,124.2","1,202.7","1,308.5","1,477.1",12.9
*순자산2,"1,077.8","1,120.0","1,198.5","1,304.3","1,470.2",12.7
부채총계,568.4,500.7,430.8,405.2,692.6,70.9
유동부채,493.5,333.7,293.8,272.2,488.9,79.6
단기사채,,,,,,
단기차입금,163.9,95.2,14.7,16.9,177.3,947.3
유동성장기부채,100.0,50.0,100.0,35.0,25.0,-28.6
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
유동금융부채,,,3.2,3.2,3.2,-1.4
매입채무및기타채무,211.5,187.9,152.0,202.9,252.2,24.3
유동종업원급여충당부채,,,,,,
단기충당부채,,,,,,
당기법인세부채(미지급법인세),17.6,,22.7,13.2,30.7,131.6
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타유동부채,0.6,0.6,1.1,0.9,0.6,-32.5
매각예정으로분류된처분자산에포함된부채,,,,,,
비유동부채,74.8,167.1,137.0,133.0,203.7,53.1
사채,,,,,,
장기차입금,50.0,145.0,95.0,90.0,160.0,77.8
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
비유동금융부채,,,18.2,15.9,12.3,-22.9
장기매입채무및기타채무,0.9,0.9,0.6,0.9,3.7,313.2
비유동종업원급여충당부채,16.1,10.6,12.8,13.2,10.4,-21.1
장기충당부채,,,,,,
이연법인세부채,7.8,10.6,10.4,13.0,17.3,33.0
장기당기법인세부채(미지급법인세),,,,,,
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타비유동부채,,,,,,
기타금융업부채,,,,,,
*이자발생부채,313.9,290.2,231.1,161.1,377.8,134.5
*순부채,201.9,218.0,141.6,121.7,329.6,170.8
*CAPEX,88.7,88.9,70.7,192.7,189.6,-1.6
자본총계,"1,084.4","1,124.2","1,202.7","1,308.5","1,477.1",12.9
지배주주지분,"1,084.4","1,124.2","1,202.7","1,308.5","1,477.1",12.9
자본금,78.2,78.2,78.2,78.2,78.2,0.0
신종자본증권,,,,,,
자본잉여금,20.5,20.5,20.5,20.5,20.5,0.0
기타자본,-6.7,-6.7,-6.7,-6.7,-6.7,0.0
기타포괄이익누계액,-1.2,0.0,-0.0,0.3,-1.1,-437.2
이익잉여금,993.6,"1,032.2","1,110.8","1,216.2","1,386.2",14.0
*(지배)당기순이익,87.1,58.7,99.8,129.9,197.0,51.7
비지배주주지분,,,,,,
*(비지배)당기순이익,,,,,,
수권주식수,"40,000","40,000","40,000","40,000","40,000",0
1주당금액,500,500,500,500,500,0
발행주식수,"15,637","15,637","15,637","15,637","15,637",0
보통주,"15,637","15,637","15,637","15,637","15,637",0
우선주,,,,,,
