항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)",전년대비
자산총계,"1,501.8","1,502.3","1,470.2","1,485.7","1,805.1",21.5
유동자산,719.5,748.5,772.9,804.6,"1,052.4",30.8
재고자산,162.0,183.7,178.0,163.5,322.1,97.0
유동생물자산,,,,,,
당기손익-공정가치측정금융자산,,,,,,
기타포괄손익-공정가치측정금융자산,,,,,,
상각후원가측정유가증권,,,,,,
상각후원가측정금융자산,,,,,,
단기금융자산,80.0,45.0,,150.0,80.0,-46.7
매출채권및기타채권,403.5,409.3,386.3,341.7,463.3,35.6
당기법인세자산(선급법인세),,1.2,,,,
계약자산,,0.2,0.1,0.1,0.1,-11.0
반품(환불)자산,,,,,,
배출권,,,,,,
기타유동자산,0.5,0.2,0.2,0.2,0.1,-26.9
현금및현금성자산,73.5,109.0,208.3,149.2,186.8,25.2
매각예정비유동자산및처분자산,,,,,,
비유동자산,782.3,753.8,697.3,681.1,752.7,10.5
유형자산,681.0,521.2,495.4,346.5,390.5,12.7
무형자산,1.4,1.4,1.2,1.2,1.2,0.0
비유동생물자산,,,,,,
투자부동산,8.1,3.8,3.7,139.6,134.4,-3.7
투자자산,91.8,93.8,60.9,59.6,93.2,56.4
장기매출채권및기타채권,,,,,,
이연법인세자산,,,,,,
장기당기법인세자산,,,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타비유동자산,,133.7,136.0,134.2,133.4,-0.6
기타금융업자산,,,,,,
*순자산1,"1,313.0","1,308.9","1,305.5","1,298.0","1,535.5",18.3
*순자산2,"1,311.7","1,307.6","1,304.3","1,296.8","1,534.3",18.3
부채총계,188.7,193.4,164.7,187.7,269.6,43.6
유동부채,148.1,156.8,132.8,159.6,235.9,47.8
단기사채,,,,,,
단기차입금,16.9,11.9,4.9,0.6,0.7,23.8
유동성장기부채,0.3,0.3,0.1,,,
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
유동금융부채,,,1.3,1.2,1.4,14.2
매입채무및기타채무,129.3,144.1,123.5,152.7,218.0,42.8
유동종업원급여충당부채,,,,,,
단기충당부채,,,,,,
당기법인세부채(미지급법인세),1.2,,2.5,3.0,15.0,397.1
계약부채,,0.2,0.1,0.1,0.1,12.8
반품(환불)부채,,,,,,
배출부채,,,,,,
기타유동부채,0.4,0.4,0.4,2.0,0.7,-66.5
매각예정으로분류된처분자산에포함된부채,,,,,,
비유동부채,40.6,36.5,32.0,28.1,33.8,19.9
사채,,,,,,
장기차입금,0.3,0.1,,,,
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
비유동금융부채,,,0.0,,0.0,
장기매입채무및기타채무,,,,,,
비유동종업원급여충당부채,2.2,,,,1.9,
장기충당부채,,,,,,
이연법인세부채,38.1,36.5,31.9,28.1,31.8,12.9
장기당기법인세부채(미지급법인세),,,,,,
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타비유동부채,,,,,,
기타금융업부채,,,,,,
*이자발생부채,17.5,12.2,6.3,1.8,2.1,18.8
*순부채,-135.9,-141.8,-202.0,-297.4,-264.7,11.0
*CAPEX,29.9,13.0,12.7,27.6,76.5,176.6
자본총계,"1,313.0","1,308.9","1,305.5","1,298.0","1,535.5",18.3
지배주주지분,"1,313.0","1,308.9","1,305.5","1,298.0","1,535.5",18.3
자본금,75.0,75.0,75.0,75.0,101.5,35.3
신종자본증권,,,,,,
자본잉여금,291.5,291.4,291.4,291.4,397.3,36.4
기타자본,-0.1,,,-10.0,-10.0,0.0
기타포괄이익누계액,17.2,15.0,1.5,2.6,25.1,853.6
이익잉여금,929.5,927.6,937.6,939.0,"1,021.6",8.8
*(지배)당기순이익,13.7,1.4,11.2,3.0,82.5,"2,616.4"
비지배주주지분,,,,,,
*(비지배)당기순이익,,,,,,
수권주식수,"100,000","100,000","100,000","100,000","100,000",0
1주당금액,500,500,500,500,500,0
발행주식수,"15,000","15,000","15,000","15,000","20,300",35
보통주,"15,000","15,000","15,000","15,000","20,300",35
우선주,,,,,,
