항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)",전년대비
자산총계,"2,658.0","3,019.5","3,312.4","3,534.3","3,800.3",7.5
유동자산,"1,278.2","1,524.5","1,645.2","1,809.2","2,043.6",12.9
재고자산,338.3,394.7,401.2,460.2,424.3,-7.8
유동생물자산,,,,,,
당기손익-공정가치측정금융자산,,,,,,
기타포괄손익-공정가치측정금융자산,,,,,,
상각후원가측정유가증권,,,,,,
상각후원가측정금융자산,,,,,,
단기금융자산,325.1,371.9,380.9,540.6,626.6,15.9
매출채권및기타채권,509.8,512.2,459.4,398.0,367.0,-7.8
당기법인세자산(선급법인세),,,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타유동자산,4.9,2.6,3.6,5.8,17.3,200.1
현금및현금성자산,100.1,243.1,400.0,404.8,608.3,50.3
매각예정비유동자산및처분자산,,,,,,
비유동자산,"1,379.8","1,495.0","1,667.3","1,725.1","1,756.8",1.8
유형자산,958.2,"1,065.4","1,187.7","1,220.9","1,193.8",-2.2
무형자산,65.0,55.5,59.9,62.2,72.7,16.8
비유동생물자산,,,,,,
투자부동산,230.8,238.8,236.3,233.9,284.6,21.7
투자자산,116.2,126.4,141.3,167.8,164.0,-2.3
장기매출채권및기타채권,7.0,6.4,28.1,24.8,27.4,10.4
이연법인세자산,,,,,,
장기당기법인세자산,,,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타비유동자산,2.6,2.5,14.1,15.4,14.2,-7.4
기타금융업자산,,,,,,
*순자산1,"2,016.8","2,284.8","2,551.0","2,768.9","3,007.1",8.6
*순자산2,"1,951.9","2,229.3","2,491.1","2,706.7","2,934.4",8.4
부채총계,641.1,734.7,761.4,765.4,793.2,3.6
유동부채,501.6,600.7,587.0,597.9,608.5,1.8
단기사채,,,,,,
단기차입금,106.1,185.4,185.0,215.7,160.0,-25.8
유동성장기부채,75.7,33.5,22.8,29.1,40.2,38.0
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
유동금융부채,,0.9,1.5,3.3,,
매입채무및기타채무,281.6,293.7,295.1,278.0,292.5,5.2
유동종업원급여충당부채,,,,,,
단기충당부채,,,,,,
당기법인세부채(미지급법인세),29.9,65.1,34.8,34.2,80.8,136.1
계약부채,8.4,22.2,35.3,24.5,21.2,-13.4
반품(환불)부채,,,12.5,13.0,13.8,6.1
배출부채,,,,,,
기타유동부채,,,,,,
매각예정으로분류된처분자산에포함된부채,,,,,,
비유동부채,139.5,134.0,174.5,167.5,184.7,10.3
사채,,,,,,
장기차입금,70.0,66.5,108.3,102.1,119.0,16.5
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
비유동금융부채,18.4,16.4,20.8,19.7,18.8,-4.5
장기매입채무및기타채무,19.0,27.5,31.9,33.6,37.0,10.1
비유동종업원급여충당부채,,,,,,
장기충당부채,,,,,,
이연법인세부채,14.7,6.0,6.2,4.7,1.9,-60.5
장기당기법인세부채(미지급법인세),,,,,,
계약부채,,,1.2,0.8,0.5,-40.0
반품(환불)부채,17.4,17.6,6.0,6.5,7.5,15.2
배출부채,,,,,,
기타비유동부채,,,,,,
기타금융업부채,,,,,,
*이자발생부채,251.8,285.4,326.6,358.7,329.9,-8.0
*순부채,-168.4,-326.2,-451.0,-583.8,-902.1,-54.5
*CAPEX,263.0,172.3,188.8,120.0,107.2,-10.7
자본총계,"2,016.8","2,284.8","2,551.0","2,768.9","3,007.1",8.6
지배주주지분,"2,016.8","2,284.8","2,551.0","2,768.9","3,007.1",8.6
자본금,81.0,81.0,81.2,81.2,81.2,0.0
신종자본증권,,,,,,
자본잉여금,200.7,200.7,207.2,210.9,210.9,0.0
기타자본,-218.6,-218.0,-218.8,-217.7,-214.5,1.5
기타포괄이익누계액,0.1,0.1,0.2,-3.9,-3.6,9.4
이익잉여금,"1,953.6","2,221.0","2,481.3","2,698.5","2,933.0",8.7
*(지배)당기순이익,278.6,316.7,309.2,266.1,286.5,7.7
비지배주주지분,,,,,,
*(비지배)당기순이익,,,,,,
수권주식수,"40,000","40,000","40,000","40,000","40,000",0
1주당금액,500,500,500,500,500,0
발행주식수,"16,207","16,207","16,232","16,245","16,245",0
보통주,"16,207","16,207","16,232","16,245","16,245",0
우선주,,,,,,
