항목,2017/12,2018/12,2019/12,2020/12,2021/12,전년대비
자산총계,"9,803.8","9,775.5","10,174.0","9,967.6","10,072.3",1.1
유동자산,"5,007.3","4,121.9","3,882.2","3,523.2","4,137.3",17.4
재고자산,663.9,781.5,772.5,707.7,721.6,2.0
유동생물자산,,,,,,
당기손익-공정가치측정금융자산,,666.7,"1,069.4",469.4,644.0,37.2
기타포괄손익-공정가치측정금융자산,,,,,,
상각후원가측정유가증권,,200.0,50.0,218.8,364.0,66.3
상각후원가측정금융자산,,,,,,
단기금융자산,"2,310.9",456.9,158.7,9.0,178.8,"1,886.2"
매출채권및기타채권,"1,666.4","1,580.7","1,554.8","1,380.7","1,216.8",-11.9
당기법인세자산(선급법인세),6.6,4.1,7.5,5.0,1.1,-77.6
계약자산,117.6,116.8,89.0,105.4,160.3,52.1
반품(환불)자산,,,,,,
배출권,,,,,,
기타유동자산,82.8,49.9,77.5,39.9,54.2,36.0
현금및현금성자산,159.2,265.4,102.9,587.2,796.3,35.6
매각예정비유동자산및처분자산,,,,,,
비유동자산,"4,796.5","5,653.6","6,291.7","6,444.4","5,935.1",-7.9
유형자산,"2,549.9","2,654.4","2,728.8","2,733.7","2,731.6",-0.1
무형자산,96.0,49.3,53.3,22.0,24.5,11.5
비유동생물자산,,,,,,
투자부동산,891.2,921.9,889.1,921.8,928.8,0.8
투자자산,899.2,"1,639.9","2,094.3","2,207.7","1,756.9",-20.4
장기매출채권및기타채권,123.8,123.7,109.7,116.7,112.3,-3.8
이연법인세자산,234.2,244.4,187.5,229.1,194.4,-15.2
장기당기법인세자산,,,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타비유동자산,2.2,20.0,229.1,213.4,186.7,-12.5
기타금융업자산,,,,,,
*순자산1,"8,516.5","8,341.1","8,191.5","7,795.9","7,839.9",0.6
*순자산2,"8,420.5","8,291.9","8,138.2","7,773.9","7,815.4",0.5
부채총계,"1,287.3","1,434.4","1,982.5","2,171.7","2,232.4",2.8
유동부채,"1,116.4","1,229.5","1,637.7","1,805.5","1,869.2",3.5
단기사채,,,,,,
단기차입금,18.7,24.1,161.6,320.9,290.0,-9.6
유동성장기부채,,,66.9,46.1,52.0,12.7
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
유동금융부채,,,,,,
매입채무및기타채무,986.5,"1,124.3","1,237.7","1,197.4","1,319.0",10.2
유동종업원급여충당부채,,,,,,
단기충당부채,,,,0.1,0.1,-25.7
당기법인세부채(미지급법인세),12.6,16.1,38.1,55.3,50.3,-9.1
계약부채,51.3,39.0,82.7,170.3,149.2,-12.4
반품(환불)부채,,,,,,
배출부채,,,,,,
기타유동부채,47.2,26.0,50.7,15.4,8.6,-44.0
매각예정으로분류된처분자산에포함된부채,,,,,,
비유동부채,170.9,204.9,344.8,366.2,363.2,-0.8
사채,,,,,,
장기차입금,,,2.8,,43.8,
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
비유동금융부채,4.1,,124.2,155.5,127.7,-17.9
장기매입채무및기타채무,28.5,13.5,27.7,15.4,15.2,-1.4
비유동종업원급여충당부채,85.5,148.4,151.6,139.9,108.1,-22.7
장기충당부채,49.3,37.6,31.8,47.7,56.4,18.1
이연법인세부채,3.4,5.4,6.6,7.7,12.1,57.5
장기당기법인세부채(미지급법인세),,,,,,
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타비유동부채,,,,,,
기타금융업부채,,,,,,
*이자발생부채,18.7,24.1,355.5,522.6,513.5,-1.7
*순부채,"-2,432.8","-1,564.7","-1,024.0",-757.9,"-1,295.0",-70.9
*CAPEX,346.8,200.0,120.9,201.8,149.6,-25.9
자본총계,"8,516.5","8,341.1","8,191.5","7,795.9","7,839.9",0.6
지배주주지분,"8,522.8","8,349.2","8,218.1","7,875.0","7,980.1",1.3
자본금,"1,198.6","1,198.6","1,198.6","1,198.6","1,198.6",0.0
신종자본증권,,,,,,
자본잉여금,"7,411.7","7,411.7","7,411.7","7,411.7","7,411.7",0.0
기타자본,"-1,730.6","-1,772.9","-1,795.8","-1,830.0","-1,830.0",0.0
기타포괄이익누계액,28.6,21.7,35.9,24.3,23.4,-3.5
이익잉여금,"1,614.6","1,490.1","1,367.7","1,070.5","1,176.5",9.9
*(지배)당기순이익,162.9,33.2,-3.9,-234.9,161.9,168.9
비지배주주지분,-6.3,-8.1,-26.6,-79.1,-140.2,-77.1
*(비지배)당기순이익,-5.1,-1.8,-18.7,-54.2,-49.5,8.8
수권주식수,"500,000","5,000,000","5,000,000","5,000,000","5,000,000",0
1주당금액,500,500,500,500,500,0
발행주식수,"239,710","239,710","239,710","239,710","239,710",0
보통주,"238,684","238,684","238,684","238,684","238,684",0
우선주,"1,026","1,026","1,026","1,026","1,026",0
