항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)",전년대비
자산총계,133.9,243.2,909.2,968.8,"2,744.7",183.3
유동자산,133.2,239.6,326.8,858.5,319.0,-62.8
재고자산,10.7,17.3,21.3,10.1,14.8,46.2
유동생물자산,,,,,,
당기손익-공정가치측정금융자산,,198.0,,699.2,,
기타포괄손익-공정가치측정금융자산,,,,,,
상각후원가측정유가증권,,4.1,200.0,,,
상각후원가측정금융자산,,,,,,
단기금융자산,43.1,,,,0.4,
매출채권및기타채권,22.3,13.9,23.7,54.4,65.4,20.2
당기법인세자산(선급법인세),0.0,0.1,1.4,0.2,0.1,-55.1
계약자산,,,,,,
반품(환불)자산,,,,,3.2,
배출권,,,,,,
기타유동자산,54.5,0.0,0.1,3.4,3.6,6.1
현금및현금성자산,2.5,6.2,80.4,91.1,231.5,154.0
매각예정비유동자산및처분자산,,,,,,
비유동자산,0.7,3.6,582.3,110.3,"2,425.7","2,098.5"
유형자산,0.6,0.3,2.8,5.6,25.3,350.8
무형자산,,,1.2,5.4,4.6,-13.7
비유동생물자산,,,,,,
투자부동산,,,,,,
투자자산,0.1,3.4,558.0,56.5,"2,333.9","4,031.4"
장기매출채권및기타채권,,,16.9,37.3,43.6,17.0
이연법인세자산,,,,,,
장기당기법인세자산,,,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타비유동자산,,,3.5,5.6,18.3,228.6
기타금융업자산,,,,,,
*순자산1,113.2,233.5,660.0,779.1,"1,780.2",128.5
*순자산2,113.2,233.5,658.7,773.7,"1,775.6",129.5
부채총계,20.7,9.7,249.2,189.7,964.5,408.3
유동부채,13.2,6.4,243.0,181.3,777.7,328.9
단기사채,,,95.2,42.4,116.3,174.2
단기차입금,0.4,,,,,
유동성장기부채,,,,,,
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
유동금융부채,,,132.8,115.9,629.3,443.2
매입채무및기타채무,12.7,6.2,9.7,18.0,20.4,13.6
유동종업원급여충당부채,,,,,,
단기충당부채,0.0,,4.7,2.7,,
당기법인세부채(미지급법인세),,,,,,
계약부채,,,,,7.6,
반품(환불)부채,,0.0,0.4,2.3,4.0,79.0
배출부채,,,,,,
기타유동부채,0.1,0.2,0.2,0.1,0.1,-46.2
매각예정으로분류된처분자산에포함된부채,,,,,,
비유동부채,7.5,3.3,6.2,8.4,186.8,"2,118.2"
사채,,,,,,
장기차입금,3.2,,,,,
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
비유동금융부채,,,1.2,2.5,10.6,333.4
장기매입채무및기타채무,,2.2,2.1,2.0,0.8,-61.0
비유동종업원급여충당부채,1.1,1.2,1.8,,,
장기충당부채,,,,,,
이연법인세부채,,,,,169.5,
장기당기법인세부채(미지급법인세),,,,,,
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타비유동부채,3.2,,1.2,4.0,5.8,46.5
기타금융업부채,,,,,,
*이자발생부채,3.6,,98.8,47.7,633.4,"1,227.6"
*순부채,-42.0,-208.3,-181.6,-742.6,401.9,154.1
*CAPEX,,,2.9,4.3,23.6,451.6
자본총계,113.2,233.5,660.0,779.1,"1,780.2",128.5
지배주주지분,113.2,233.5,660.0,779.1,"1,780.2",128.5
자본금,118.2,145.0,198.3,257.8,267.0,3.6
신종자본증권,,,,,,
자본잉여금,495.4,595.3,837.1,"1,342.5","1,392.7",3.7
기타자본,-0.8,-23.9,-23.9,-23.9,-23.9,0.0
기타포괄이익누계액,,,,,0.5,
이익잉여금,-499.5,-482.9,-351.6,-797.4,143.9,118.0
*(지배)당기순이익,-12.1,16.6,131.2,-450.8,941.2,308.8
비지배주주지분,,,,,,
*(비지배)당기순이익,,,,,,
수권주식수,"200,000","200,000","500,000","200,000","200,000",0
1주당금액,500,500,500,500,500,0
발행주식수,"23,642","28,996","39,662","51,562","53,398",4
보통주,"23,641","28,996","39,662","51,561","53,397",4
우선주,1,,,1,1,0
