항목,2017/12,"2018/12
(IFRS별도)",2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
자산총계,227.0,187.0,419.7,481.6,"2,901.2","3,225.0",502.5,11.2
유동자산,121.4,71.8,222.7,252.5,799.6,990.0,216.7,23.8
재고자산,,,,,3.5,,,
유동생물자산,,,,,,,,
당기손익-공정가치측정금융자산,,,,,124.3,,,
기타포괄손익-공정가치측정금융자산,,,,,,,,
상각후원가측정유가증권,,,,,,,,
상각후원가측정금융자산,,,,,,,,
단기금융자산,57.8,9.6,0.0,0.0,0.7,,"2,166,666.7",
매출채권및기타채권,11.2,10.7,17.7,28.6,103.4,,261.8,
당기법인세자산(선급법인세),0.2,,,,8.9,,,
계약자산,,,,,,,,
반품(환불)자산,,,,,,,,
배출권,,,,,,,,
기타유동자산,30.6,42.7,96.3,113.9,289.3,,153.9,
현금및현금성자산,21.6,8.8,108.6,110.0,269.7,,145.1,
매각예정비유동자산및처분자산,,,,,,,,
비유동자산,105.6,115.2,197.1,229.1,"2,101.6",,817.5,
유형자산,1.8,1.6,4.8,15.6,25.2,,61.0,
무형자산,42.0,39.7,122.8,127.8,"1,744.8",,"1,265.3",
비유동생물자산,,,,,,,,
투자부동산,,,,,,,,
투자자산,46.1,60.7,67.4,74.3,176.6,,137.7,
장기매출채권및기타채권,,11.2,,,,,,
이연법인세자산,2.7,0.8,2.0,11.3,36.2,,220.5,
장기당기법인세자산,,,,,,,,
계약자산,,,,,,,,
반품(환불)자산,,,,,,,,
배출권,,,,,,,,
기타비유동자산,13.0,1.2,,,118.8,,,
기타금융업자산,,,,,,,,
*순자산1,164.9,165.7,209.7,271.9,"2,227.7",,719.3,
*순자산2,122.9,126.0,86.9,144.1,482.9,,235.1,
부채총계,62.1,21.3,210.1,209.6,673.5,923.0,221.3,37.0
유동부채,61.3,19.8,81.9,202.2,648.9,886.0,220.9,36.5
단기사채,,,,44.6,26.6,,-40.5,
단기차입금,28.0,,30.0,36.7,185.7,,406.1,
유동성장기부채,,,,3.2,,,,
당기손익-공정가치측정금융부채,,,,,,,,
상각후원가측정금융부채,,,,,,,,
유동금융부채,,,2.0,39.3,13.7,,-65.2,
매입채무및기타채무,13.6,7.9,24.2,33.5,157.6,,370.5,
유동종업원급여충당부채,,,,,,,,
단기충당부채,,,,,,,,
당기법인세부채(미지급법인세),,0.2,0.7,9.5,1.6,,-82.9,
계약부채,,,,,,,,
반품(환불)부채,,,,,,,,
배출부채,,,,,,,,
기타유동부채,19.7,11.7,25.0,35.4,263.7,,645.7,
매각예정으로분류된처분자산에포함된부채,,,,,,,,
비유동부채,0.8,1.5,128.1,7.4,24.6,37.0,230.3,50.4
사채,,,88.2,,,,,
장기차입금,,,5.5,,2.4,,,
당기손익-공정가치측정금융부채,,,,,,,,
상각후원가측정금융부채,,,,,,,,
비유동금융부채,,,31.7,7.3,3.4,,-53.7,
장기매입채무및기타채무,,,,,,,,
비유동종업원급여충당부채,0.8,1.5,2.7,0.1,15.4,,"10,692.5",
장기충당부채,,,,,3.4,,,
이연법인세부채,,,,,,,,
장기당기법인세부채(미지급법인세),,,,,,,,
계약부채,,,,,,,,
반품(환불)부채,,,,,,,,
배출부채,,,,,,,,
기타비유동부채,,,,,,,,
기타금융업부채,,,,,,,,
*이자발생부채,28.0,,126.3,98.0,227.2,,131.8,
*순부채,-51.4,-18.4,17.7,-12.0,-166.8,-268.0,"-1,292.0",-60.7
*CAPEX,1.9,0.4,0.7,1.2,8.6,0.0,606.6,-100.0
자본총계,164.9,165.7,209.7,271.9,"2,227.7","2,302.0",719.3,3.3
지배주주지분,164.9,165.7,205.6,271.9,"2,227.8","2,302.0",719.5,3.3
자본금,79.2,79.2,84.8,92.5,173.5,166.0,87.6,-4.3
신종자본증권,,,,,,,,
자본잉여금,19.0,20.8,60.1,130.8,"2,015.0",,"1,440.4",
기타자본,,-1.8,-31.4,-45.5,-94.8,,-108.6,
기타포괄이익누계액,0.1,0.0,-0.2,1.7,2.4,,42.8,
이익잉여금,66.7,67.5,92.3,92.3,131.7,,42.6,
*(지배)당기순이익,-22.4,1.5,26.9,0.5,35.5,,"6,575.0",
비지배주주지분,,,4.0,0.1,-0.1,,-276.8,
*(비지배)당기순이익,-0.2,,-4.2,0.2,-0.2,,-182.9,
수권주식수,"100,000","100,000","100,000","100,000","100,000",,0,
1주당금액,500,500,500,500,500,,0,
발행주식수,"15,833","15,833","16,959","18,506","34,709",,88,
보통주,"15,833","15,833","16,959","18,506","34,709",,88,
우선주,,,,,,,,
