항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)",전년대비
자산총계,934.7,940.3,916.9,878.6,"1,037.8",18.1
유동자산,420.4,430.1,408.8,375.6,529.3,40.9
재고자산,255.3,260.9,295.6,282.9,374.5,32.4
유동생물자산,,,,,,
당기손익-공정가치측정금융자산,,,,,,
기타포괄손익-공정가치측정금융자산,,,,,,
상각후원가측정유가증권,,,0.0,,,
상각후원가측정금융자산,,,,,,
단기금융자산,27.3,60.2,2.5,,,
매출채권및기타채권,112.3,74.7,93.7,75.8,129.2,70.6
당기법인세자산(선급법인세),,,0.7,,,
계약자산,,,,,,
반품(환불)자산,,7.1,8.3,5.1,7.1,39.4
배출권,,,,,,
기타유동자산,1.6,1.0,2.5,1.4,11.9,732.9
현금및현금성자산,23.9,26.3,5.6,10.4,6.6,-36.5
매각예정비유동자산및처분자산,,,,,,
비유동자산,514.3,510.2,508.0,502.9,508.5,1.1
유형자산,498.1,494.6,491.0,483.9,486.9,0.6
무형자산,1.9,1.8,1.9,1.9,2.0,9.0
비유동생물자산,,,,,,
투자부동산,,,,,,
투자자산,12.1,11.6,13.1,14.4,15.6,8.4
장기매출채권및기타채권,2.2,2.2,2.1,2.7,3.9,41.8
이연법인세자산,,,,,,
장기당기법인세자산,,,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타비유동자산,,,,,,
기타금융업자산,,,,,,
*순자산1,464.2,482.5,479.6,512.0,532.6,4.0
*순자산2,462.2,480.7,477.8,510.2,530.5,4.0
부채총계,470.5,457.8,437.2,366.5,505.2,37.8
유동부채,357.1,344.8,315.6,244.5,381.1,55.8
단기사채,17.4,,,,,
단기차입금,250.8,270.3,228.4,156.1,252.0,61.4
유동성장기부채,16.1,8.0,1.6,1.9,1.0,-44.5
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
유동금융부채,,,,,,
매입채무및기타채무,65.8,53.9,71.6,74.0,116.7,57.8
유동종업원급여충당부채,,,,,,
단기충당부채,2.5,,,,,
당기법인세부채(미지급법인세),0.3,0.2,,2.3,0.2,-92.3
계약부채,,,,,,
반품(환불)부채,,9.8,11.4,7.0,9.6,37.6
배출부채,,,,,,
기타유동부채,4.2,2.5,2.6,3.2,1.5,-52.7
매각예정으로분류된처분자산에포함된부채,,,,,,
비유동부채,113.4,113.0,121.6,122.0,124.1,1.8
사채,,,,,,
장기차입금,8.0,,,,,
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
비유동금융부채,,,1.5,1.0,0.9,-7.8
장기매입채무및기타채무,5.1,5.4,6.5,8.4,8.5,0.6
비유동종업원급여충당부채,44.8,49.0,53.6,54.8,55.2,0.8
장기충당부채,,,,5.0,4.9,-2.4
이연법인세부채,55.5,58.6,60.0,52.8,54.6,3.5
장기당기법인세부채(미지급법인세),,,,,,
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타비유동부채,,,,,,
기타금융업부채,,,,,,
*이자발생부채,292.3,278.3,231.5,159.0,254.0,59.7
*순부채,268.4,252.1,225.9,148.6,247.3,66.5
*CAPEX,30.6,7.6,4.5,6.8,16.1,136.7
자본총계,464.2,482.5,479.6,512.0,532.6,4.0
지배주주지분,464.2,482.5,479.6,512.0,532.6,4.0
자본금,252.2,259.6,259.6,259.6,259.6,0.0
신종자본증권,,,,,,
자본잉여금,211.0,221.6,221.6,221.6,221.6,0.0
기타자본,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
기타포괄이익누계액,-2.6,-7.2,-8.8,-6.4,-4.4,31.7
이익잉여금,3.6,8.5,7.2,37.3,55.8,49.7
*(지배)당기순이익,10.5,3.3,-1.3,30.0,18.5,-38.4
비지배주주지분,,,,,,
*(비지배)당기순이익,,,,,,
수권주식수,"10,000","10,000","10,000","10,000","10,000",0
1주당금액,"5,000","5,000","5,000","5,000","5,000",0
발행주식수,"5,044","5,192","5,192","5,192","5,192",0
보통주,"5,044","5,192","5,192","5,192","5,192",0
우선주,,,,,,
