항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)",전년대비
자산총계,412.3,399.6,374.6,382.6,336.6,-12.0
유동자산,132.4,128.1,104.7,122.3,87.6,-28.3
재고자산,26.4,31.2,26.6,28.3,16.0,-43.7
유동생물자산,,,,,,
당기손익-공정가치측정금융자산,,,,,,
기타포괄손익-공정가치측정금융자산,,,,,,
상각후원가측정유가증권,,,,17.0,,
상각후원가측정금융자산,,,,,,
단기금융자산,15.8,11.9,18.4,10.0,,
매출채권및기타채권,78.4,77.7,54.0,55.6,29.2,-47.4
당기법인세자산(선급법인세),,,,,0.2,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타유동자산,0.7,1.2,0.5,0.5,0.5,-14.4
현금및현금성자산,11.0,6.2,5.1,10.9,41.5,280.3
매각예정비유동자산및처분자산,,,,,0.3,
비유동자산,279.9,271.5,270.0,260.3,248.9,-4.4
유형자산,264.4,261.7,261.6,252.3,210.9,-16.4
무형자산,14.2,8.7,5.6,5.6,0.6,-89.5
비유동생물자산,,,,,,
투자부동산,,,,,36.3,
투자자산,,,,,,
장기매출채권및기타채권,1.0,1.0,1.0,1.0,1.0,-0.3
이연법인세자산,,,,,,
장기당기법인세자산,,,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타비유동자산,0.3,,1.7,1.4,0.1,-89.5
기타금융업자산,,,,,,
*순자산1,292.9,287.6,266.5,276.1,253.9,-8.0
*순자산2,278.7,278.9,260.9,270.4,253.3,-6.3
부채총계,119.3,112.0,108.1,106.5,82.6,-22.4
유동부채,82.8,75.8,81.1,80.5,51.2,-36.3
단기사채,,,,,,
단기차입금,,1.1,0.7,2.2,0.6,-70.8
유동성장기부채,0.1,0.1,0.1,0.0,,
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
유동금융부채,,,0.8,0.9,0.1,-83.3
매입채무및기타채무,73.7,74.0,76.8,75.0,49.7,-33.8
유동종업원급여충당부채,,,,,,
단기충당부채,,,,,,
당기법인세부채(미지급법인세),,,,,,
계약부채,,0.4,2.8,2.3,0.5,-80.3
반품(환불)부채,,,,,,
배출부채,,,,,,
기타유동부채,9.0,0.1,,,0.3,
매각예정으로분류된처분자산에포함된부채,,,,,,
비유동부채,36.5,36.2,27.0,26.1,31.4,20.4
사채,,,,,,
장기차입금,0.3,0.2,0.0,,,
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
비유동금융부채,,,0.2,0.1,0.0,-92.1
장기매입채무및기타채무,5.8,5.4,6.7,2.4,1.0,-58.1
비유동종업원급여충당부채,,3.1,,,0.3,
장기충당부채,,,,,,
이연법인세부채,30.4,27.5,20.1,23.6,30.1,27.4
장기당기법인세부채(미지급법인세),,,,,,
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타비유동부채,,,,,,
기타금융업부채,,,,,,
*이자발생부채,0.4,1.4,1.8,3.1,0.8,-74.9
*순부채,-26.4,-16.7,-10.7,-34.7,-40.7,-17.1
*CAPEX,3.5,3.9,5.4,,12.0,
자본총계,292.9,287.6,266.5,276.1,253.9,-8.0
지배주주지분,292.9,287.6,266.5,276.1,253.9,-8.0
자본금,60.0,60.0,60.0,60.0,60.0,0.0
신종자본증권,,,,,,
자본잉여금,50.0,50.0,50.0,50.0,50.0,0.0
기타자본,,,,,,
기타포괄이익누계액,,,,,,
이익잉여금,182.9,177.6,156.5,166.0,143.9,-13.3
*(지배)당기순이익,-3.4,-3.3,-21.0,8.3,-22.1,-367.8
비지배주주지분,,,,,,
*(비지배)당기순이익,,,,,,
수권주식수,"20,000","20,000","40,000","40,000","40,000",0
1주당금액,500,500,500,500,500,0
발행주식수,"12,000","12,000","12,000","12,000","12,000",0
보통주,"12,000","12,000","12,000","12,000","12,000",0
우선주,,,,,,
