항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)",2021/12
자산총계,534.5,637.2,738.3,635.9,478.4
유동자산,128.0,144.0,180.8,138.5,93.1
재고자산,42.9,64.5,37.5,34.3,29.6
유동생물자산,,,,,
당기손익-공정가치측정금융자산,,,20.3,2.1,2.1
기타포괄손익-공정가치측정금융자산,,,,,
상각후원가측정유가증권,,,,,
상각후원가측정금융자산,,,,,
단기금융자산,0.8,1.0,5.4,,
매출채권및기타채권,65.4,60.5,77.7,81.6,40.9
당기법인세자산(선급법인세),0.1,0.0,0.2,0.0,0.0
계약자산,,,,,
반품(환불)자산,,,,,
배출권,,,,,
기타유동자산,6.4,7.0,8.2,7.2,5.3
현금및현금성자산,12.4,10.9,0.1,13.3,15.3
매각예정비유동자산및처분자산,,,31.4,,
비유동자산,406.5,493.2,557.4,497.4,385.3
유형자산,401.4,483.0,543.9,487.2,379.1
무형자산,1.3,5.0,0.3,3.9,2.4
비유동생물자산,,,,,
투자부동산,,,,,
투자자산,3.8,5.2,9.6,5.1,3.5
장기매출채권및기타채권,,,,,
이연법인세자산,,,,,
장기당기법인세자산,,,,,
계약자산,,,,,
반품(환불)자산,,,,,
배출권,,,,,
기타비유동자산,,,3.6,1.1,0.2
기타금융업자산,,,,,
*순자산1,196.4,268.2,193.6,95.1,323.6
*순자산2,195.0,263.2,193.4,91.2,321.1
부채총계,338.1,369.0,544.6,540.8,154.8
유동부채,243.0,199.9,382.9,487.2,102.1
단기사채,79.3,,,,
단기차입금,31.0,47.5,60.9,20.0,
유동성장기부채,41.1,40.0,54.0,135.0,
당기손익-공정가치측정금융부채,,,,,
상각후원가측정금융부채,,,0.3,0.2,
유동금융부채,0.2,0.3,1.9,1.0,0.2
매입채무및기타채무,87.0,108.3,258.4,321.9,90.0
유동종업원급여충당부채,,,,,
단기충당부채,4.4,3.8,7.4,7.3,10.1
당기법인세부채(미지급법인세),,,,,
계약부채,,,,,
반품(환불)부채,,,,,
배출부채,,,,,
기타유동부채,0.0,0.0,,1.7,1.8
매각예정으로분류된처분자산에포함된부채,,,,,
비유동부채,95.1,169.0,161.7,53.6,52.7
사채,,,,,
장기차입금,50.6,124.5,99.5,,
당기손익-공정가치측정금융부채,,,,,
상각후원가측정금융부채,,,,,
비유동금융부채,,,1.8,0.2,
장기매입채무및기타채무,1.8,1.8,2.0,2.3,2.0
비유동종업원급여충당부채,42.6,42.7,58.3,51.1,50.8
장기충당부채,,,,,
이연법인세부채,,,,,
장기당기법인세부채(미지급법인세),,,,,
계약부채,,,,,
반품(환불)부채,,,,,
배출부채,,,,,
기타비유동부채,,,,,
기타금융업부채,,,,,
*이자발생부채,202.1,212.0,218.4,156.4,0.2
*순부채,189.7,201.1,193.0,141.0,-17.2
*CAPEX,20.5,111.0,87.4,51.1,47.2
자본총계,196.4,268.2,193.6,95.1,323.6
지배주주지분,196.4,268.2,193.6,95.1,323.6
자본금,250.7,278.3,322.9,322.9,327.5
신종자본증권,,,,,
자본잉여금,94.9,107.2,112.3,112.3,500.5
기타자본,-0.3,-0.3,0.2,0.9,-0.1
기타포괄이익누계액,-0.0,-0.1,,,
이익잉여금,-148.9,-116.9,-241.8,-341.0,-504.4
*(지배)당기순이익,-54.3,28.4,-112.0,-110.5,-166.1
비지배주주지분,,,,,
*(비지배)당기순이익,,,,,
수권주식수,"200,000","200,000","220,000","200,000","220,000"
1주당금액,500,500,500,500,500
발행주식수,"50,143","55,660","64,582","64,583","65,497"
보통주,"45,004","50,521","64,582","64,583","65,497"
우선주,"5,139","5,139",,,
