항목,2017/12,2018/12,2019/12,2020/12,2021/12,전년대비
자산총계,"6,756.0","7,052.6","8,510.8","8,441.4","8,949.6",6.0
유동자산,"3,586.6","3,024.5","3,444.4","3,332.3","4,038.5",21.2
재고자산,"1,589.7","1,569.4","1,506.8","1,682.5","2,509.0",49.1
유동생물자산,,,,,,
당기손익-공정가치측정금융자산,,,,,,
기타포괄손익-공정가치측정금융자산,,,,,,
상각후원가측정유가증권,,0.1,,,,
상각후원가측정금융자산,,,,,,
단기금융자산,20.0,69.9,95.7,142.0,68.7,-51.6
매출채권및기타채권,910.8,937.9,983.0,821.3,874.5,6.5
당기법인세자산(선급법인세),0.6,0.6,0.5,0.4,0.4,-0.6
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,4.8,3.0,0.9,-70.2
기타유동자산,81.2,119.4,117.0,115.5,88.0,-23.8
현금및현금성자산,984.4,327.3,736.6,567.5,497.0,-12.4
매각예정비유동자산및처분자산,,,,,,
비유동자산,"3,169.3","4,028.0","5,066.4","5,109.0","4,911.2",-3.9
유형자산,"2,895.2","3,720.2","4,569.8","4,316.0","4,234.6",-1.9
무형자산,141.9,139.3,138.2,136.8,136.6,-0.1
비유동생물자산,,,,,,
투자부동산,35.7,35.7,35.7,35.7,35.7,0.0
투자자산,31.1,33.8,37.7,352.1,204.1,-42.0
장기매출채권및기타채권,40.0,42.7,40.3,40.1,39.2,-2.4
이연법인세자산,15.6,47.7,90.4,143.0,194.7,36.2
장기당기법인세자산,,,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타비유동자산,9.8,8.6,154.2,85.3,66.1,-22.5
기타금융업자산,,,,,,
*순자산1,"3,236.6","3,206.0","3,242.7","3,147.4","2,620.3",-16.8
*순자산2,"3,094.7","3,066.8","3,104.5","3,010.7","2,483.7",-17.5
부채총계,"3,519.4","3,846.5","5,268.1","5,293.9","6,329.3",19.6
유동부채,"2,990.7","3,232.0","3,226.1","3,512.5","4,994.6",42.2
단기사채,,,,100.5,103.2,2.7
단기차입금,"2,020.9","2,114.1","1,917.7","2,099.6","3,517.6",67.5
유동성장기부채,122.4,189.7,321.6,341.1,465.2,36.4
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
유동금융부채,1.0,0.8,21.3,141.8,142.7,0.7
매입채무및기타채무,732.8,782.6,786.8,732.3,705.7,-3.6
유동종업원급여충당부채,,,,,,
단기충당부채,12.5,13.2,11.5,14.3,15.9,11.0
당기법인세부채(미지급법인세),72.9,23.5,58.0,29.2,6.2,-78.9
계약부채,1.4,105.5,93.9,33.4,21.5,-35.6
반품(환불)부채,,,,,,
배출부채,,0.3,4.4,2.9,2.3,-20.3
기타유동부채,26.8,2.2,10.8,17.5,14.4,-17.6
매각예정으로분류된처분자산에포함된부채,,,,,,
비유동부채,528.6,614.5,"2,042.0","1,781.4","1,334.8",-25.1
사채,,,,,,
장기차입금,208.0,284.9,"1,599.9","1,304.8",958.6,-26.5
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
비유동금융부채,1.7,2.6,93.2,78.8,47.1,-40.3
장기매입채무및기타채무,2.7,,,0.2,2.6,"1,242.8"
비유동종업원급여충당부채,271.7,303.2,342.3,381.4,312.1,-18.2
장기충당부채,7.5,8.7,6.5,7.4,14.4,94.1
이연법인세부채,37.0,15.1,,8.8,,
장기당기법인세부채(미지급법인세),,,,,,
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타비유동부채,,,,,,
기타금융업부채,,,,,,
*이자발생부채,"2,351.3","2,588.7","3,930.6","4,039.3","5,222.8",29.3
*순부채,"1,347.0","2,208.6","3,099.9","3,329.8","4,658.9",39.9
*CAPEX,195.7,975.4,"1,179.9",194.8,383.9,97.1
자본총계,"3,236.6","3,206.0","3,242.7","3,147.4","2,620.3",-16.8
지배주주지분,"3,232.0","3,202.7","3,237.4","3,143.7","2,619.8",-16.7
자본금,109.3,109.3,109.3,109.3,109.3,0.0
신종자본증권,,,,,,
자본잉여금,"1,020.1","1,006.6","1,006.6","1,007.0","1,020.4",1.3
기타자본,,-30.0,-30.0,-30.0,-30.0,0.0
기타포괄이익누계액,-20.8,-50.7,-59.0,-42.2,-3.7,91.2
이익잉여금,"2,123.3","2,167.5","2,210.4","2,099.6","1,523.8",-27.4
*(지배)당기순이익,233.8,42.1,68.7,-80.2,-636.2,-692.9
비지배주주지분,4.6,3.4,5.3,3.8,0.5,-86.5
*(비지배)당기순이익,-1.4,-1.2,2.0,-1.6,-3.3,-104.0
수권주식수,"50,000","50,000","50,000","50,000","50,000",0
1주당금액,500,500,500,500,500,0
발행주식수,"21,863","21,863","21,863","23,337","23,337",0
보통주,"21,863","21,863","21,863","21,863","21,863",0
우선주,,,,"1,474","1,474",0
