항목,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(GAAP개별)",2020/12,2021/12,전년대비
자산총계,"1,764.9","1,817.1","1,995.2","4,053.8","6,272.3",54.7
유동자산,897.5,947.1,"1,041.6","2,162.1","3,682.7",70.3
재고자산,321.8,282.7,396.3,891.7,"1,810.1",103.0
유동생물자산,,,,,,
당기손익-공정가치측정금융자산,,,,,,
기타포괄손익-공정가치측정금융자산,,,,,,
상각후원가측정유가증권,,,,,,
상각후원가측정금융자산,,,,,,
단기금융자산,150.7,141.5,93.8,61.4,104.1,69.5
매출채권및기타채권,413.1,507.6,493.8,"1,018.5","1,576.4",54.8
당기법인세자산(선급법인세),,,,0.6,1.7,185.7
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타유동자산,11.7,15.2,32.7,26.2,53.0,102.0
현금및현금성자산,0.2,0.0,24.9,163.6,137.4,-16.0
매각예정비유동자산및처분자산,,,,,,
비유동자산,867.5,870.0,953.6,"1,891.8","2,589.6",36.9
유형자산,600.9,604.3,632.2,"1,789.7","2,447.3",36.7
무형자산,4.0,3.3,2.7,58.6,46.0,-21.4
비유동생물자산,0.0,0.0,0.0,,,
투자부동산,,,,,66.6,
투자자산,236.7,237.8,306.5,36.1,15.8,-56.2
장기매출채권및기타채권,25.8,24.5,12.3,1.0,0.4,-56.7
이연법인세자산,,,,6.4,8.8,36.9
장기당기법인세자산,,,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타비유동자산,0.0,0.0,0.0,,4.7,
기타금융업자산,,,,,,
*순자산1,531.1,555.6,"1,122.9","1,275.1","2,366.4",85.6
*순자산2,527.1,552.2,"1,120.2","1,216.5","2,320.3",90.7
부채총계,"1,233.8","1,261.5",872.3,"2,778.8","3,905.9",40.6
유동부채,"1,047.8","1,054.9",771.0,"2,215.1","3,056.0",38.0
단기사채,,,,,,
단기차입금,470.8,512.5,303.2,648.9,844.3,30.1
유동성장기부채,144.9,74.2,87.4,62.8,86.0,37.0
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
유동금융부채,,,,252.3,157.4,-37.6
매입채무및기타채무,429.7,455.3,361.5,"1,215.8","1,878.7",54.5
유동종업원급여충당부채,,,,,,
단기충당부채,,,,1.2,2.5,108.8
당기법인세부채(미지급법인세),2.3,6.5,17.6,21.4,69.2,223.3
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타유동부채,,6.3,1.4,12.7,17.9,40.6
매각예정으로분류된처분자산에포함된부채,,,,,,
비유동부채,186.1,206.7,101.3,563.7,849.9,50.8
사채,50.0,65.0,15.0,25.0,25.0,0.0
장기차입금,96.0,104.0,53.3,445.5,685.1,53.8
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
비유동금융부채,6.3,10.0,,4.0,2.5,-36.8
장기매입채무및기타채무,,,,0.5,3.5,600.0
비유동종업원급여충당부채,11.1,8.0,3.6,27.8,16.4,-41.0
장기충당부채,,,,,,
이연법인세부채,22.7,19.7,29.5,60.8,117.3,93.0
장기당기법인세부채(미지급법인세),,,,,,
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타비유동부채,,,,,,
기타금융업부채,,,,,,
*이자발생부채,768.0,765.8,458.9,"1,375.1","1,716.6",24.8
*순부채,666.9,659.7,340.7,"1,150.1","1,493.2",29.8
*CAPEX,104.8,57.6,90.8,418.3,"1,017.0",143.1
자본총계,531.1,555.6,"1,122.9","1,275.1","2,366.4",85.6
지배주주지분,531.1,555.6,"1,122.9","1,251.1","2,354.5",88.2
자본금,19.5,19.5,34.1,97.1,132.3,36.2
신종자본증권,,,,,,
자본잉여금,73.8,73.8,540.6,379.1,"1,078.4",184.5
기타자본,,,,,,
기타포괄이익누계액,110.0,105.0,108.6,103.3,134.3,30.1
이익잉여금,327.8,357.2,439.5,671.6,"1,009.6",50.3
*(지배)당기순이익,25.2,29.4,82.3,128.0,338.2,164.3
비지배주주지분,,,,24.0,11.8,-50.7
*(비지배)당기순이익,,,,-10.9,-13.5,-23.7
수권주식수,"5,000","5,000","5,000","50,000","50,000",0
1주당금액,"5,000","5,000","5,000",500,500,0
발행주식수,390,390,683,"22,219","26,452",19
보통주,390,390,390,"19,425","26,452",36
우선주,,,293,"2,795",,
