항목,2017/12,2018/12,2019/12,2020/12,2021/12,전년대비
자산총계,"9,405.5","9,502.1","9,475.0","9,162.3","10,226.0",11.6
유동자산,"7,495.0","7,668.4","7,747.5","7,469.3","8,750.2",17.1
재고자산,685.8,668.2,526.3,626.5,670.9,7.1
유동생물자산,,,,,,
당기손익-공정가치측정금융자산,,,,,,
기타포괄손익-공정가치측정금융자산,,,68.2,,,
상각후원가측정유가증권,,,,,,
상각후원가측정금융자산,,,,,,
단기금융자산,"4,518.5","4,808.1","5,508.6","4,674.5","5,644.1",20.7
매출채권및기타채권,701.4,627.6,488.8,551.4,393.5,-28.6
당기법인세자산(선급법인세),,,,17.7,0.9,-95.1
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타유동자산,24.3,10.6,12.3,7.5,11.3,50.7
현금및현금성자산,"1,427.3","1,554.0","1,143.2","1,591.8","2,029.5",27.5
매각예정비유동자산및처분자산,137.7,,,,,
비유동자산,"1,910.5","1,833.7","1,727.6","1,693.0","1,475.8",-12.8
유형자산,"1,381.5","1,328.8","1,209.8","1,180.5",959.4,-18.7
무형자산,53.7,52.9,52.0,1.7,1.1,-36.1
비유동생물자산,,,,,,
투자부동산,361.8,360.0,358.5,361.5,360.4,-0.3
투자자산,69.9,63.2,67.7,75.1,104.5,39.1
장기매출채권및기타채권,,,,,,
이연법인세자산,16.9,2.7,7.1,41.5,5.9,-85.7
장기당기법인세자산,,,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타비유동자산,26.7,26.1,32.5,32.7,44.6,36.4
기타금융업자산,,,,,,
*순자산1,"8,558.5","8,715.6","8,706.4","8,485.2","9,486.7",11.8
*순자산2,"8,504.7","8,662.7","8,654.4","8,483.5","9,485.6",11.8
부채총계,847.0,786.5,768.7,677.1,739.3,9.2
유동부채,748.9,632.7,624.8,572.8,649.4,13.4
단기사채,,,,,,
단기차입금,83.1,76.5,89.2,78.3,68.9,-11.9
유동성장기부채,,,,,,
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
유동금융부채,,,4.9,5.9,10.6,79.3
매입채무및기타채무,568.8,504.2,442.4,431.3,267.0,-38.1
유동종업원급여충당부채,,,,,,
단기충당부채,5.8,12.2,5.0,3.5,3.7,3.9
당기법인세부채(미지급법인세),46.6,6.1,33.7,,248.4,
계약부채,,,7.9,13.1,6.1,-53.2
반품(환불)부채,,,5.1,1.9,0.3,-82.7
배출부채,,,,,,
기타유동부채,43.2,33.6,36.5,38.7,44.3,14.4
매각예정으로분류된처분자산에포함된부채,1.4,,,,,
비유동부채,98.1,153.9,143.8,104.3,89.9,-13.8
사채,,,,,,
장기차입금,,,,,,
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
비유동금융부채,19.1,,1.5,2.6,5.7,120.7
장기매입채무및기타채무,31.5,49.0,59.3,52.2,40.4,-22.6
비유동종업원급여충당부채,22.1,77.2,72.2,45.3,3.3,-92.8
장기충당부채,,,,,,
이연법인세부채,25.4,27.7,10.8,4.3,40.6,841.2
장기당기법인세부채(미지급법인세),,,,,,
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타비유동부채,,,,,,
기타금융업부채,,,,,,
*이자발생부채,83.1,76.5,95.6,86.8,85.2,-1.8
*순부채,"-5,862.7","-6,285.5","-6,624.4","-6,179.5","-7,588.4",-22.8
*CAPEX,51.5,55.7,22.1,27.2,50.7,86.4
자본총계,"8,558.5","8,715.6","8,706.4","8,485.2","9,486.7",11.8
지배주주지분,"8,558.5","8,715.6","8,706.4","8,485.2","9,486.7",11.8
자본금,504.0,504.0,504.0,504.0,504.0,0.0
신종자본증권,,,,,,
자본잉여금,"1,144.1","1,144.1","1,144.1","1,144.1","1,144.1",0.0
기타자본,-109.5,-109.5,-109.5,-114.2,-217.4,-90.4
기타포괄이익누계액,11.4,-19.6,-16.3,-0.4,149.9,"41,639.0"
이익잉여금,"7,008.5","7,196.6","7,184.1","6,951.7","7,906.0",13.7
*(지배)당기순이익,316.8,350.3,144.9,-134.2,954.4,811.4
비지배주주지분,,,,,,
*(비지배)당기순이익,,,,,,
수권주식수,"16,000","16,000","16,000","16,000","16,000",0
1주당금액,"5,000","5,000","5,000","5,000","5,000",0
발행주식수,"10,080","10,080","10,080","10,080","10,080",0
보통주,"10,080","10,080","10,080","10,080","10,080",0
우선주,,,,,,
