항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)",전년대비
자산총계,"3,441.1","3,417.1","3,174.8","3,523.3","4,587.1",30.2
유동자산,"1,420.3","1,387.1","1,234.7","1,496.4","2,013.6",34.6
재고자산,681.2,875.9,762.5,563.8,979.5,73.7
유동생물자산,,,,,,
당기손익-공정가치측정금융자산,,,,,,
기타포괄손익-공정가치측정금융자산,,,,,,
상각후원가측정유가증권,,0.1,,,,
상각후원가측정금융자산,,,,,,
단기금융자산,3.5,56.8,57.0,56.2,18.1,-67.9
매출채권및기타채권,554.5,287.3,348.5,525.5,574.1,9.2
당기법인세자산(선급법인세),0.2,0.1,0.3,0.1,0.3,217.9
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타유동자산,1.7,0.7,1.4,1.7,2.2,29.4
현금및현금성자산,46.3,166.2,65.0,349.1,439.4,25.9
매각예정비유동자산및처분자산,133.0,,,,,
비유동자산,"2,020.8","2,030.0","1,940.1","2,026.9","2,573.6",27.0
유형자산,"1,999.8","2,010.9","1,875.1","1,996.7","2,546.6",27.5
무형자산,8.8,8.8,8.8,19.1,23.9,24.7
비유동생물자산,,,,,,
투자부동산,,,,,,
투자자산,10.1,8.1,14.3,9.8,0.1,-99.5
장기매출채권및기타채권,,,39.5,,,
이연법인세자산,,,,,,
장기당기법인세자산,,,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타비유동자산,2.2,2.3,2.4,1.3,3.1,138.5
기타금융업자산,,,,,,
*순자산1,618.0,946.7,714.1,"1,013.9","1,419.9",40.0
*순자산2,609.3,938.0,705.3,994.8,"1,396.0",40.3
부채총계,"2,823.1","2,470.4","2,460.7","2,509.4","3,167.2",26.2
유동부채,725.9,557.0,337.2,529.9,"1,130.9",113.4
단기사채,,,,,,
단기차입금,,,,,,
유동성장기부채,518.2,309.5,79.5,33.0,475.0,"1,339.4"
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
유동금융부채,,,2.8,3.3,1.3,-61.7
매입채무및기타채무,207.1,228.1,254.2,484.7,617.4,27.4
유동종업원급여충당부채,,,,,,
단기충당부채,,,,,,
당기법인세부채(미지급법인세),,,,,,
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,6.5,20.2,212.5
기타유동부채,0.6,19.4,0.6,2.4,17.0,601.5
매각예정으로분류된처분자산에포함된부채,,,,,,
비유동부채,"2,097.2","1,913.4","2,123.5","1,979.6","2,036.3",2.9
사채,,18.2,16.4,,,
장기차입금,,777.3,"1,141.5","1,109.0","1,283.6",15.7
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
비유동금융부채,,,7.6,7.4,21.8,194.4
장기매입채무및기타채무,"1,917.9",914.3,664.5,575.1,459.2,-20.1
비유동종업원급여충당부채,75.3,80.5,153.9,148.5,158.6,6.8
장기충당부채,,,,,,
이연법인세부채,104.0,123.2,139.6,139.6,113.1,-18.9
장기당기법인세부채(미지급법인세),,,,,,
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타비유동부채,,,,,,
기타금융업부채,,,,,,
*이자발생부채,518.2,"1,104.9","1,247.9","1,152.7","1,762.0",52.9
*순부채,468.8,882.2,"1,126.0",747.6,"1,304.6",74.5
*CAPEX,8.0,16.5,21.8,233.7,551.4,135.9
자본총계,618.0,946.7,714.1,"1,013.9","1,419.9",40.0
지배주주지분,618.0,946.7,714.1,"1,013.9","1,419.9",40.0
자본금,90.1,161.8,161.8,266.2,266.2,0.0
신종자본증권,,,,,,
자본잉여금,168.9,485.2,485.2,662.1,710.4,7.3
기타자본,,,,,,
기타포괄이익누계액,,,0.2,0.3,,
이익잉여금,359.1,299.8,67.0,85.3,443.3,419.6
*(지배)당기순이익,116.0,-57.2,-215.2,36.2,367.8,917.3
비지배주주지분,,,,,,
*(비지배)당기순이익,,,,,,
수권주식수,"100,000","200,000","200,000","200,000","200,000",0
1주당금액,500,500,500,500,500,0
발행주식수,"18,021","32,353","32,353","53,242","53,242",0
보통주,"18,021","32,353","32,353","53,242","53,242",0
우선주,,,,,,
