항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)",전년대비
자산총계,801.2,804.0,"1,088.3","1,080.3","1,097.6",1.6
유동자산,112.5,58.4,40.6,43.6,306.5,603.3
재고자산,,,,,,
유동생물자산,,,,,,
당기손익-공정가치측정금융자산,,,,,,
기타포괄손익-공정가치측정금융자산,,,,,,
상각후원가측정유가증권,,,,,,
상각후원가측정금융자산,,,,,,
단기금융자산,,,5.5,5.6,10.1,81.3
매출채권및기타채권,3.8,4.5,6.6,8.4,13.7,63.7
당기법인세자산(선급법인세),,,,1.4,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타유동자산,0.6,0.0,0.8,0.7,1.1,55.5
현금및현금성자산,108.1,53.8,27.6,27.4,21.7,-21.1
매각예정비유동자산및처분자산,,,,,259.9,
비유동자산,688.7,745.6,"1,047.7","1,036.8",791.1,-23.7
유형자산,5.6,4.2,15.5,11.5,8.1,-30.0
무형자산,0.1,0.1,0.0,0.0,0.0,-39.6
비유동생물자산,,,,,,
투자부동산,682.5,687.6,939.2,933.3,662.7,-29.0
투자자산,,52.7,87.4,88.3,117.5,33.0
장기매출채권및기타채권,0.4,1.1,1.1,1.1,1.1,0.0
이연법인세자산,0.1,,1.1,,,
장기당기법인세자산,,,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타비유동자산,,,3.3,2.5,1.7,-32.4
기타금융업자산,,,,,,
*순자산1,417.6,419.2,438.0,436.4,449.7,3.0
*순자산2,417.5,419.2,438.0,436.4,449.7,3.0
부채총계,383.6,384.7,650.3,643.9,647.9,0.6
유동부채,143.1,212.6,14.2,182.5,643.3,252.5
단기사채,,,,,,
단기차입금,140.0,,,,169.9,
유동성장기부채,,210.0,,164.8,455.0,176.2
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
유동금융부채,,,0.9,8.9,1.6,-81.8
매입채무및기타채무,2.0,1.2,10.0,8.9,13.4,50.7
유동종업원급여충당부채,,,,,,
단기충당부채,,,,,,
당기법인세부채(미지급법인세),1.1,1.3,3.3,,3.5,
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타유동부채,0.0,0.1,,,,
매각예정으로분류된처분자산에포함된부채,,,,,,
비유동부채,240.5,172.1,636.1,461.4,4.6,-99.0
사채,,167.7,174.8,,,
장기차입금,240.0,,455.0,455.0,,
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
비유동금융부채,,3.7,4.5,5.0,0.8,-83.0
장기매입채무및기타채무,0.5,0.5,1.5,0.8,0.8,0.0
비유동종업원급여충당부채,,,,,,
장기충당부채,,0.3,0.3,0.3,0.3,3.3
이연법인세부채,,0.0,,0.4,2.7,630.4
장기당기법인세부채(미지급법인세),,,,,,
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타비유동부채,,,,,,
기타금융업부채,,,,,,
*이자발생부채,380.0,377.7,633.1,622.3,626.6,0.7
*순부채,271.9,323.9,605.4,589.3,594.8,0.9
*CAPEX,22.9,11.1,14.9,0.2,0.0,-76.4
자본총계,417.6,419.2,438.0,436.4,449.7,3.0
지배주주지분,417.6,419.2,438.0,436.4,449.7,3.0
자본금,391.3,391.3,391.3,391.3,391.3,0.0
신종자본증권,,,,,,
자본잉여금,20.2,20.2,20.2,20.2,20.2,0.0
기타자본,,,,,,
기타포괄이익누계액,,-1.4,-3.5,-3.9,-0.3,91.4
이익잉여금,6.0,9.1,30.0,28.7,38.5,33.9
*(지배)당기순이익,6.0,9.1,27.3,11.9,21.5,80.6
비지배주주지분,,,,,,
*(비지배)당기순이익,,,,,,
수권주식수,"100,000","100,000","100,000","100,000","100,000",0
1주당금액,"5,000","5,000","5,000","5,000","5,000",0
발행주식수,"7,827","7,827","7,827","7,827","7,827",0
보통주,"7,827","7,827","7,827","7,827","7,827",0
우선주,,,,,,
