항목,2017/12,2018/12,2019/12,2020/12,2021/12,전년대비
자산총계,"3,115.6","3,209.2","3,385.8","3,811.6","4,427.4",16.2
유동자산,"1,145.5","1,226.5","1,338.6","1,762.5","2,100.2",19.2
재고자산,367.5,362.2,364.6,445.4,570.9,28.2
유동생물자산,,,,,,
당기손익-공정가치측정금융자산,77.7,57.4,,,,
기타포괄손익-공정가치측정금융자산,,,,,,
상각후원가측정유가증권,,,,,,
상각후원가측정금융자산,,,,,,
단기금융자산,234.3,318.9,498.2,574.0,842.5,46.8
매출채권및기타채권,287.0,284.2,304.0,387.6,345.0,-11.0
당기법인세자산(선급법인세),,,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타유동자산,38.4,48.2,28.2,39.8,36.6,-8.2
현금및현금성자산,140.6,155.5,143.6,315.7,305.2,-3.3
매각예정비유동자산및처분자산,,,,,,
비유동자산,"1,970.2","1,982.7","2,047.1","2,049.0","2,327.2",13.6
유형자산,"1,236.2","1,322.3","1,418.7","1,412.4","1,650.1",16.8
무형자산,407.4,382.3,355.9,330.4,306.5,-7.2
비유동생물자산,,,,,,
투자부동산,101.3,100.2,99.9,99.5,99.1,-0.4
투자자산,139.4,91.2,83.5,95.3,144.9,52.0
장기매출채권및기타채권,,,,,,
이연법인세자산,,,,25.5,34.0,33.0
장기당기법인세자산,,,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타비유동자산,85.8,86.6,89.2,86.0,92.7,7.8
기타금융업자산,,,,,,
*순자산1,"2,167.9","2,330.4","2,564.1","2,910.1","3,134.1",7.7
*순자산2,"1,760.5","1,948.0","2,208.2","2,579.7","2,827.6",9.6
부채총계,947.7,878.8,821.7,901.5,"1,293.3",43.5
유동부채,720.2,550.9,554.0,560.4,845.9,50.9
단기사채,,,,,,
단기차입금,345.8,142.7,5.5,7.9,173.3,"2,097.9"
유동성장기부채,,9.1,139.5,5.0,103.8,"1,975.0"
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
유동금융부채,,,22.8,33.1,31.1,-6.2
매입채무및기타채무,316.5,328.6,314.4,428.2,499.6,16.7
유동종업원급여충당부채,,,,,,
단기충당부채,13.1,15.0,14.1,14.2,17.3,22.2
당기법인세부채(미지급법인세),40.5,50.5,48.4,59.4,7.7,-87.0
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타유동부채,4.4,5.2,9.4,12.6,13.1,4.0
매각예정으로분류된처분자산에포함된부채,,,,,,
비유동부채,227.5,327.9,267.7,341.0,447.4,31.2
사채,,,,,,
장기차입금,34.7,154.4,14.9,103.8,229.6,121.3
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
비유동금융부채,,,81.3,68.7,43.4,-36.8
장기매입채무및기타채무,1.5,1.6,1.6,1.9,3.0,57.6
비유동종업원급여충당부채,10.4,13.2,6.3,6.8,3.5,-48.1
장기충당부채,14.3,9.7,15.8,19.4,19.5,0.2
이연법인세부채,166.7,149.0,147.8,140.5,148.5,5.7
장기당기법인세부채(미지급법인세),,,,,,
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타비유동부채,,,,,,
기타금융업부채,,,,,,
*이자발생부채,380.5,306.1,264.0,218.5,581.1,166.0
*순부채,4.2,-225.8,-377.8,-671.2,-566.6,15.6
*CAPEX,128.8,177.3,131.5,132.4,381.0,187.7
자본총계,"2,167.9","2,330.4","2,564.1","2,910.1","3,134.1",7.7
지배주주지분,"1,414.9","1,500.2","1,614.9","1,791.5","1,908.8",6.5
자본금,28.8,28.8,28.8,28.8,28.8,0.0
신종자본증권,,,,,,
자본잉여금,"1,179.4","1,179.4","1,179.4","1,179.4",954.4,-19.1
기타자본,-858.0,-858.0,-858.0,-858.0,-858.0,0.0
기타포괄이익누계액,43.7,6.4,17.7,19.6,22.6,15.3
이익잉여금,"1,020.9","1,143.6","1,246.9","1,421.6","1,760.9",23.9
*(지배)당기순이익,79.2,128.5,120.7,178.8,118.8,-33.6
비지배주주지분,753.0,830.1,949.2,"1,118.6","1,225.3",9.5
*(비지배)당기순이익,49.0,83.9,126.6,173.9,111.0,-36.2
수권주식수,"50,000","50,000","50,000","50,000","50,000",0
1주당금액,"1,000","1,000","1,000","1,000","1,000",0
발행주식수,"2,876","2,876","2,876","2,876","2,876",0
보통주,"2,876","2,876","2,876","2,876","2,876",0
우선주,,,,,,
