항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)",2021/12,"2022/12(E)

연간컨센서스닫기",전년대비
자산총계,"3,613.0","3,389.1","3,372.2","3,264.0","3,518.7","3,733.0",6.1
유동자산,"1,609.8","1,771.3","1,483.9","1,255.5","1,277.6","1,572.0",23.0
재고자산,369.8,388.5,317.0,244.8,445.4,,
유동생물자산,,,,,,,
당기손익-공정가치측정금융자산,,521.1,390.7,,,,
기타포괄손익-공정가치측정금융자산,,,,,,,
상각후원가측정유가증권,,,,,,,
상각후원가측정금융자산,,,,,,,
단기금융자산,47.8,18.5,5.2,9.3,145.2,,
매출채권및기타채권,564.2,282.7,367.3,264.9,374.9,,
당기법인세자산(선급법인세),10.8,10.9,,6.6,,,
계약자산,,87.0,58.6,114.5,94.2,,
반품(환불)자산,,,,,,,
배출권,,,,,,,
기타유동자산,30.3,21.1,26.3,22.0,49.2,,
현금및현금성자산,586.9,172.6,284.2,558.8,168.7,,
매각예정비유동자산및처분자산,,268.9,34.6,34.6,,,
비유동자산,"2,003.3","1,617.8","1,888.3","2,008.5","2,241.1",,
유형자산,"1,841.7","1,530.3","1,729.3","1,797.5","1,916.9",,
무형자산,140.3,19.8,19.2,13.2,104.7,,
비유동생물자산,,,,,,,
투자부동산,,,,,,,
투자자산,20.1,60.6,82.5,176.9,198.3,,
장기매출채권및기타채권,1.1,0.4,0.1,,,,
이연법인세자산,,,,,1.1,,
장기당기법인세자산,,,,,,,
계약자산,,,31.4,,,,
반품(환불)자산,,,,,,,
배출권,,,,,,,
기타비유동자산,,6.8,25.8,20.9,19.9,,
기타금융업자산,,,,,,,
*순자산1,"2,855.1","2,765.0","2,787.7","2,773.6","2,770.3",,
*순자산2,"2,714.7","2,745.2","2,768.5","2,760.4","2,665.6",,
부채총계,758.0,624.1,584.5,490.4,748.4,831.0,11.0
유동부채,625.4,519.2,454.3,389.7,549.2,620.0,12.9
단기사채,,,,,,,
단기차입금,90.0,90.0,,10.0,10.5,,
유동성장기부채,,,,,,,
당기손익-공정가치측정금융부채,,,,,,,
상각후원가측정금융부채,,,,,,,
유동금융부채,,,5.3,5.0,5.3,,
매입채무및기타채무,533.1,272.6,291.9,264.9,378.8,,
유동종업원급여충당부채,,,,,,,
단기충당부채,,10.6,11.4,18.6,27.7,,
당기법인세부채(미지급법인세),,,0.3,,3.8,,
계약부채,,145.2,141.9,85.3,70.7,,
반품(환불)부채,,,,,,,
배출부채,,,,,,,
기타유동부채,2.3,0.8,3.5,5.9,52.5,,
매각예정으로분류된처분자산에포함된부채,,,,,,,
비유동부채,132.6,104.9,130.2,100.7,199.2,211.0,5.9
사채,,,,,,,
장기차입금,,,,,101.9,,
당기손익-공정가치측정금융부채,,,,,,,
상각후원가측정금융부채,,,,,,,
비유동금융부채,,,15.9,12.6,8.7,,
장기매입채무및기타채무,6.9,5.6,6.8,7.0,7.6,,
비유동종업원급여충당부채,16.0,6.5,18.9,1.7,,,
장기충당부채,24.5,21.1,17.5,5.0,,,
이연법인세부채,85.3,71.6,71.1,74.4,81.0,,
장기당기법인세부채(미지급법인세),,,,,,,
계약부채,,,,,,,
반품(환불)부채,,,,,,,
배출부채,,,,,,,
기타비유동부채,,,,,,,
기타금융업부채,,,,,,,
*이자발생부채,90.0,90.0,21.2,27.6,126.3,,
*순부채,-500.2,-606.8,-653.7,-531.1,-44.1,-353.0,-700.0
*CAPEX,46.2,26.7,37.6,130.7,123.8,,
자본총계,"2,855.1","2,765.0","2,787.7","2,773.6","2,770.3","2,902.0",4.8
지배주주지분,"2,855.1","2,765.0","2,787.7","2,773.6","2,743.9","2,883.0",5.1
자본금,127.3,127.3,127.3,127.3,127.3,127.0,-0.3
신종자본증권,,,,,,,
자본잉여금,805.7,805.7,805.7,805.7,805.7,,
기타자본,-64.5,-64.5,-64.5,-64.5,-64.5,,
기타포괄이익누계액,,,,,,,
이익잉여금,"1,986.6","1,896.5","1,919.2","1,905.1","1,875.4",,
*(지배)당기순이익,44.0,-73.6,26.8,-10.4,-32.3,,
비지배주주지분,,,,,26.4,,
*(비지배)당기순이익,,,,,1.6,,
수권주식수,"40,000","40,000","40,000","40,000","40,000",,
1주당금액,"1,000","1,000","1,000","1,000","1,000",,
발행주식수,"12,732","12,732","12,732","12,732","12,732",,
보통주,"12,732","12,732","12,732","12,732","12,732",,
우선주,,,,,,,
