항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)",2020/12,2021/12,전년대비
자산총계,"5,759.2","6,408.6","6,126.3","5,804.8","8,079.7",39.2
유동자산,"3,695.1","4,484.0","4,583.3","3,945.3","6,151.7",55.9
재고자산,"1,748.2","2,109.9","1,624.4",339.4,"1,592.8",369.2
유동생물자산,,,,,,
당기손익-공정가치측정금융자산,,5.5,,,60.8,
기타포괄손익-공정가치측정금융자산,,98.9,15.2,12.5,55.9,348.4
상각후원가측정유가증권,,,,,,
상각후원가측정금융자산,,,,,,
단기금융자산,346.5,266.7,345.4,556.2,"1,437.0",158.4
매출채권및기타채권,844.7,643.2,945.1,443.1,695.7,57.0
당기법인세자산(선급법인세),,,,0.0,0.0,301.0
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타유동자산,34.0,40.5,125.7,142.8,132.1,-7.5
현금및현금성자산,721.6,"1,319.2","1,527.6","2,436.3","2,162.5",-11.2
매각예정비유동자산및처분자산,,,,15.0,15.0,0.0
비유동자산,"2,064.1","1,924.7","1,542.9","1,859.6","1,927.9",3.7
유형자산,540.0,524.8,520.0,517.7,573.2,10.7
무형자산,5.4,5.4,5.4,5.1,5.6,9.5
비유동생물자산,,,,,,
투자부동산,308.8,299.2,55.6,46.9,39.3,-16.2
투자자산,"1,100.1",988.9,831.3,"1,174.0","1,176.0",0.2
장기매출채권및기타채권,,,,,,
이연법인세자산,36.5,91.3,118.3,106.6,127.5,19.7
장기당기법인세자산,,,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타비유동자산,73.2,15.1,12.2,9.2,6.3,-31.6
기타금융업자산,,,,,,
*순자산1,"3,486.5","3,747.9","3,710.0","3,944.6","4,169.8",5.7
*순자산2,"3,481.1","3,742.5","3,704.5","3,939.5","4,164.2",5.7
부채총계,"2,272.7","2,660.7","2,416.3","1,860.2","3,909.8",110.2
유동부채,"1,164.8","1,572.2","1,758.9","1,364.4","2,235.7",63.9
단기사채,,,,,,
단기차입금,,,,524.1,,
유동성장기부채,180.0,,,46.7,267.5,473.4
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
유동금융부채,,,2.3,8.8,31.6,258.3
매입채무및기타채무,745.5,835.5,619.1,595.8,"1,532.4",157.2
유동종업원급여충당부채,,,,,,
단기충당부채,,,,94.7,180.3,90.3
당기법인세부채(미지급법인세),111.9,114.6,85.1,39.3,69.1,75.8
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타유동부채,127.4,622.0,"1,052.4",55.0,154.9,181.5
매각예정으로분류된처분자산에포함된부채,,,,,,
비유동부채,"1,107.9","1,088.5",657.4,495.8,"1,674.1",237.7
사채,,,,,,
장기차입금,430.6,110.6,75.9,,"1,242.5",
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
비유동금융부채,0.1,0.9,1.5,5.5,5.9,7.0
장기매입채무및기타채무,212.1,9.4,16.5,36.0,17.4,-51.7
비유동종업원급여충당부채,83.0,69.6,51.3,47.5,33.0,-30.6
장기충당부채,373.2,358.8,506.2,402.3,372.3,-7.5
이연법인세부채,,,,,,
장기당기법인세부채(미지급법인세),,,,,,
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타비유동부채,8.9,539.2,6.0,4.6,3.1,-31.6
기타금융업부채,,,,,,
*이자발생부채,610.6,110.6,79.4,583.1,"1,543.1",164.6
*순부채,-274.2,"-1,315.0","-1,464.4","-1,865.7","-1,855.8",0.5
*CAPEX,8.0,7.0,15.8,2.5,52.8,"2,033.3"
자본총계,"3,486.5","3,747.9","3,710.0","3,944.6","4,169.8",5.7
지배주주지분,"3,486.5","3,747.9","3,710.0","3,939.9","4,167.1",5.8
자본금,622.5,622.5,622.5,622.5,622.5,0.0
신종자본증권,,,,,,
자본잉여금,474.3,474.3,474.3,474.3,474.3,0.0
기타자본,-37.0,-37.0,-37.0,-37.0,-37.0,0.0
기타포괄이익누계액,77.3,-60.4,-57.4,-78.0,-102.1,-30.8
이익잉여금,"2,349.4","2,748.4","2,707.5","2,958.1","3,209.3",8.5
*(지배)당기순이익,446.5,492.3,76.7,332.1,298.7,-10.0
비지배주주지분,,,,4.7,2.7,-41.6
*(비지배)당기순이익,,,,-2.8,-2.0,30.2
수권주식수,"30,000","30,000","30,000","30,000","30,000",0
1주당금액,"5,000","5,000","5,000","5,000","5,000",0
발행주식수,"12,451","12,451","12,451","12,451","12,451",0
보통주,"12,451","12,451","12,451","12,451","12,451",0
우선주,,,,,,
