항목,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
자산총계,220.9,"2,465.2","3,200.1","3,423.1","5,500.2","5,920.0",60.7,7.6
유동자산,220.9,"1,412.3","1,685.2","1,889.1","2,869.9","3,192.5",51.9,11.2
재고자산,,"1,253.8","1,504.2","1,613.3","2,192.0",,35.9,
유동생물자산,,,,,,,,
당기손익-공정가치측정금융자산,,,,,,,,
기타포괄손익-공정가치측정금융자산,,,,,,,,
상각후원가측정유가증권,,,,,,,,
상각후원가측정금융자산,,,,,,,,
단기금융자산,,37.0,46.0,49.2,75.9,,54.1,
매출채권및기타채권,,73.9,40.4,46.7,91.9,,96.9,
당기법인세자산(선급법인세),,0.7,,,,,,
계약자산,,,,,,,,
반품(환불)자산,,,,,,,,
배출권,,,,,,,,
기타유동자산,220.0,36.6,26.7,24.5,56.2,,129.2,
현금및현금성자산,0.9,10.4,68.0,155.3,454.1,,192.3,
매각예정비유동자산및처분자산,,,,,,,,
비유동자산,,"1,052.9","1,514.9","1,534.1","2,630.3",,71.5,
유형자산,,268.3,275.1,260.5,"1,259.4",,383.4,
무형자산,,662.3,774.2,776.9,766.6,,-1.3,
비유동생물자산,,,,,,,,
투자부동산,,,,,,,,
투자자산,,112.7,124.9,137.4,189.3,,37.8,
장기매출채권및기타채권,,,,,,,,
이연법인세자산,,9.5,,,,,,
장기당기법인세자산,,,,,,,,
계약자산,,,,,,,,
반품(환불)자산,,,,,,,,
배출권,,,,,,,,
기타비유동자산,,,340.8,359.3,414.9,,15.5,
기타금융업자산,,,,,,,,
*순자산1,220.9,"1,277.3","1,483.7","1,709.7","2,754.7",,61.1,
*순자산2,220.9,615.0,709.5,932.7,"1,988.1",,113.2,
부채총계,,"1,187.8","1,716.5","1,713.5","2,745.5","2,933.8",60.2,6.9
유동부채,,189.5,285.9,366.8,"1,986.0","2,036.0",441.5,2.5
단기사채,,,,,,,,
단기차입금,,,,,"1,339.4",,,
유동성장기부채,,,,,,,,
당기손익-공정가치측정금융부채,,,,,,,,
상각후원가측정금융부채,,,,,,,,
유동금융부채,,,104.6,121.8,156.5,,28.5,
매입채무및기타채무,,144.6,135.8,161.4,232.6,,44.1,
유동종업원급여충당부채,,,,,,,,
단기충당부채,,,,,,,,
당기법인세부채(미지급법인세),,,4.1,37.9,186.7,,393.1,
계약부채,,,,0.2,0.7,,292.3,
반품(환불)부채,,,,,,,,
배출부채,,,,,,,,
기타유동부채,,44.9,41.5,45.5,70.1,,54.0,
매각예정으로분류된처분자산에포함된부채,,,,,,,,
비유동부채,,998.3,"1,430.6","1,346.7",759.5,897.8,-43.6,18.2
사채,,,,,292.4,,,
장기차입금,,974.4,"1,117.6",992.8,49.0,,-95.1,
당기손익-공정가치측정금융부채,,,,,,,,
상각후원가측정금융부채,,,,,,,,
비유동금융부채,,,245.6,252.3,275.9,,9.4,
장기매입채무및기타채무,,0.3,5.0,4.8,37.0,,675.0,
비유동종업원급여충당부채,,15.6,21.7,32.8,8.1,,-75.2,
장기충당부채,,4.0,,,,,,
이연법인세부채,,,32.9,57.4,91.2,,59.0,
장기당기법인세부채(미지급법인세),,,,,,,,
계약부채,,,,,,,,
반품(환불)부채,,,,,,,,
배출부채,,,,,,,,
기타비유동부채,,4.0,7.8,6.7,5.9,,-11.9,
기타금융업부채,,,,,,,,
*이자발생부채,,974.4,"1,467.8","1,366.9","2,113.0",,54.6,
*순부채,-0.9,964.1,"1,399.7","1,211.5","1,659.0","1,522.8",36.9,-8.2
*CAPEX,,43.8,35.5,11.9,41.4,399.8,247.9,865.0
자본총계,220.9,"1,277.3","1,483.7","1,709.7","2,754.7","2,983.8",61.1,8.3
지배주주지분,220.9,"1,277.3","1,483.7","1,709.7","2,754.7","2,983.8",61.1,8.3
자본금,11.1,66.8,66.8,66.8,240.4,240.0,260.2,-0.2
신종자본증권,,,,,,,,
자본잉여금,209.9,"1,267.4","1,267.4",267.4,"1,007.3",,276.7,
기타자본,,,,,22.4,,,
기타포괄이익누계액,,,,,,,,
이익잉여금,,-56.8,149.5,"1,375.5","1,484.6",,7.9,
*(지배)당기순이익,,-56.8,147.8,241.3,467.8,,93.8,
비지배주주지분,,,,,,,,
*(비지배)당기순이익,,,,,,,,
수권주식수,"100,000","100,000","100,000","100,000","100,000",,0,
1주당금액,500,500,500,500,500,,0,
발행주식수,"2,211","13,351","13,351","13,351","48,087",,260,
보통주,"2,211","13,351","13,351","13,351","48,087",,260,
우선주,,,,,,,,
