항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)",전년대비
자산총계,"1,462.3","2,272.7","2,609.7","2,479.0","2,673.4",7.8
유동자산,675.5,"1,473.4","1,767.4","1,724.0","1,922.8",11.5
재고자산,263.4,760.1,624.6,897.0,958.9,6.9
유동생물자산,,,,,,
당기손익-공정가치측정금융자산,,254.3,,,,
기타포괄손익-공정가치측정금융자산,,,,,,
상각후원가측정유가증권,,,,,,
상각후원가측정금융자산,,,,,,
단기금융자산,5.7,250.0,46.2,,,
매출채권및기타채권,231.0,124.6,154.3,104.5,127.0,21.6
당기법인세자산(선급법인세),,2.9,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타유동자산,76.2,69.8,669.8,68.8,406.2,490.6
현금및현금성자산,99.2,11.6,272.4,653.7,430.7,-34.1
매각예정비유동자산및처분자산,,,,,,
비유동자산,786.8,799.3,842.3,754.9,750.6,-0.6
유형자산,748.2,730.7,716.9,697.2,685.1,-1.7
무형자산,6.9,29.5,33.3,20.3,23.5,16.1
비유동생물자산,,,,,,
투자부동산,,,,,,
투자자산,31.7,39.0,92.0,37.5,42.0,12.0
장기매출채권및기타채권,,,,,,
이연법인세자산,,,,,,
장기당기법인세자산,,,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타비유동자산,,,,,,
기타금융업자산,,,,,,
*순자산1,"1,095.9","1,085.8","1,158.5","1,199.3","1,331.8",11.1
*순자산2,"1,089.0","1,056.3","1,125.2","1,179.0","1,308.3",11.0
부채총계,366.4,"1,186.9","1,451.2","1,279.7","1,341.6",4.8
유동부채,246.9,"1,109.6","1,382.8","1,193.8","1,272.6",6.6
단기사채,,,,,,
단기차입금,40.0,,80.0,80.0,80.0,0.0
유동성장기부채,49.6,91.4,11.4,23.4,25.8,10.5
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
유동금융부채,,,4.0,3.9,3.0,-22.6
매입채무및기타채무,121.9,125.2,220.9,292.8,110.2,-62.4
유동종업원급여충당부채,6.9,7.1,7.6,8.0,7.8,-2.4
단기충당부채,4.1,1.8,3.7,7.4,3.3,-55.5
당기법인세부채(미지급법인세),12.5,,11.0,8.2,30.9,277.1
계약부채,,884.1,"1,044.2",770.1,"1,011.5",31.3
반품(환불)부채,,,,,,
배출부채,,,,,,
기타유동부채,11.9,,,,,
매각예정으로분류된처분자산에포함된부채,,,,,,
비유동부채,119.4,77.3,68.4,85.8,69.0,-19.6
사채,,,,,,
장기차입금,80.0,34.2,22.8,33.2,6.1,-81.7
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
비유동금융부채,,,,,,
장기매입채무및기타채무,3.1,4.6,5.9,5.0,6.6,32.9
비유동종업원급여충당부채,26.9,21.5,24.1,29.7,32.1,8.3
장기충당부채,,,,,,
이연법인세부채,9.4,16.9,15.5,18.0,24.2,34.7
장기당기법인세부채(미지급법인세),,,,,,
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타비유동부채,,,,,,
기타금융업부채,,,,,,
*이자발생부채,169.6,125.6,118.2,140.5,115.0,-18.2
*순부채,66.2,-390.3,-154.2,-513.2,-315.7,38.5
*CAPEX,49.5,18.2,22.1,19.1,27.3,42.6
자본총계,"1,095.9","1,085.8","1,158.5","1,199.3","1,331.8",11.1
지배주주지분,"1,095.9","1,085.8","1,158.5","1,199.3","1,331.8",11.1
자본금,705.8,705.8,705.8,705.8,705.8,0.0
신종자본증권,,,,,,
자본잉여금,143.7,143.7,143.7,143.7,143.7,0.0
기타자본,-35.4,-65.4,-65.4,-85.4,-85.4,0.0
기타포괄이익누계액,,,,,,
이익잉여금,281.8,301.7,374.4,435.2,567.7,30.5
*(지배)당기순이익,175.8,264.8,79.6,63.3,130.2,105.5
비지배주주지분,,,,,,
*(비지배)당기순이익,,,,,,
수권주식수,"20,000","20,000","20,000","20,000","20,000",0
1주당금액,"5,000","5,000","5,000","5,000","5,000",0
발행주식수,"14,116","14,116","14,116","14,116","14,116",0
보통주,"14,116","14,116","14,116","14,116","14,116",0
우선주,,,,,,
