항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)",전년대비
자산총계,"1,309.5","1,446.0","1,411.1","1,486.1","1,657.1",11.5
유동자산,"1,118.6","1,199.5","1,106.1","1,202.5","1,386.4",15.3
재고자산,249.2,252.4,218.7,172.6,272.7,58.0
유동생물자산,,,,,,
당기손익-공정가치측정금융자산,,,,,,
기타포괄손익-공정가치측정금융자산,,,,,,
상각후원가측정유가증권,,,,,,
상각후원가측정금융자산,,,,,,
단기금융자산,350.9,400.8,350.6,500.3,520.2,4.0
매출채권및기타채권,345.4,326.1,307.5,273.6,312.5,14.2
당기법인세자산(선급법인세),,,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타유동자산,4.7,3.1,3.2,3.3,3.5,5.5
현금및현금성자산,168.4,217.1,226.1,252.7,277.4,9.8
매각예정비유동자산및처분자산,,,,,,
비유동자산,190.9,246.5,305.1,283.5,270.7,-4.5
유형자산,143.3,199.6,247.6,240.7,218.2,-9.3
무형자산,13.2,12.4,12.4,12.4,13.5,8.9
비유동생물자산,,,,,,
투자부동산,,,,,,
투자자산,3.8,3.0,2.1,0.9,0.6,-36.7
장기매출채권및기타채권,19.8,18.3,23.6,20.5,18.3,-10.7
이연법인세자산,10.7,11.1,11.7,5.6,10.3,84.4
장기당기법인세자산,,,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타비유동자산,,2.1,7.7,3.5,9.9,182.1
기타금융업자산,,,,,,
*순자산1,994.4,995.5,979.2,981.2,"1,095.5",11.7
*순자산2,981.2,983.1,966.8,968.8,"1,082.1",11.7
부채총계,315.0,450.5,432.0,504.9,561.6,11.2
유동부채,314.0,450.5,420.4,482.6,528.4,9.5
단기사채,,,,,,
단기차입금,,,,,,
유동성장기부채,,,,,,
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
유동금융부채,,,4.4,1.1,2.1,86.8
매입채무및기타채무,276.2,410.4,388.6,423.7,454.1,7.2
유동종업원급여충당부채,,,,,,
단기충당부채,,,,,,
당기법인세부채(미지급법인세),37.6,40.1,27.3,57.7,72.1,25.0
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타유동부채,0.2,0.0,0.0,0.1,0.2,38.7
매각예정으로분류된처분자산에포함된부채,,,,,,
비유동부채,1.1,,11.6,22.3,33.2,48.7
사채,,,,,,
장기차입금,,,,,,
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
비유동금융부채,,,1.4,0.3,6.5,"2,062.6"
장기매입채무및기타채무,,,,,,
비유동종업원급여충당부채,1.1,,10.2,22.0,26.7,21.2
장기충당부채,,,,,,
이연법인세부채,,,,,,
장기당기법인세부채(미지급법인세),,,,,,
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타비유동부채,,,,,,
기타금융업부채,,,,,,
*이자발생부채,,,5.8,1.4,8.6,501.8
*순부채,-518.4,-617.1,-570.3,-751.3,-788.8,-5.0
*CAPEX,22.3,66.1,68.7,39.1,18.5,-52.7
자본총계,994.4,995.5,979.2,981.2,"1,095.5",11.7
지배주주지분,994.4,995.5,979.2,981.2,"1,095.5",11.7
자본금,70.0,70.0,70.0,70.0,70.0,0.0
신종자본증권,,,,,,
자본잉여금,5.8,6.2,6.6,6.9,7.7,12.1
기타자본,,,,,,
기타포괄이익누계액,,,,,,
이익잉여금,918.7,919.3,902.6,904.3,"1,017.8",12.6
*(지배)당기순이익,242.4,249.6,210.3,210.1,290.5,38.2
비지배주주지분,,,,,,
*(비지배)당기순이익,,,,,,
수권주식수,"2,400","2,400","2,400","2,400","2,400",0
1주당금액,"5,000","5,000","5,000","5,000","5,000",0
발행주식수,"1,300","1,300","1,300","1,300","1,300",0
보통주,"1,300","1,300","1,300","1,300","1,300",0
우선주,,,,,,
