항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)",전년대비
자산총계,"1,399.4","1,422.4","1,688.8","1,662.2","1,950.6",17.4
유동자산,412.1,428.5,746.3,525.6,648.0,23.3
재고자산,14.8,19.8,12.2,14.3,36.7,156.3
유동생물자산,,,,,,
당기손익-공정가치측정금융자산,,,,,,
기타포괄손익-공정가치측정금융자산,,,,,,
상각후원가측정유가증권,,,0.2,0.2,0.0,-84.3
상각후원가측정금융자산,,,,,,
단기금융자산,2.0,1.0,3.6,29.6,,
매출채권및기타채권,330.9,227.4,310.1,279.5,286.9,2.6
당기법인세자산(선급법인세),2.0,,6.4,,,
계약자산,,139.3,225.2,150.7,275.4,82.8
반품(환불)자산,,,,,,
배출권,,,,,,
기타유동자산,7.6,5.9,4.8,8.1,7.3,-10.6
현금및현금성자산,54.8,35.0,183.8,43.1,41.7,-3.5
매각예정비유동자산및처분자산,,,,,,
비유동자산,987.3,993.9,942.4,"1,136.5","1,302.6",14.6
유형자산,499.3,500.3,499.7,532.7,529.0,-0.7
무형자산,9.5,12.0,10.7,9.8,8.8,-10.8
비유동생물자산,,,,,,
투자부동산,,,,7.3,7.0,-4.3
투자자산,93.5,115.0,152.7,438.9,672.3,53.2
장기매출채권및기타채권,326.6,312.3,212.5,91.4,70.0,-23.4
이연법인세자산,58.4,54.4,47.4,39.2,,
장기당기법인세자산,,,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타비유동자산,,,19.5,17.3,15.6,-9.8
기타금융업자산,,,,,,
*순자산1,591.1,595.6,709.3,827.7,988.1,19.4
*순자산2,581.5,583.7,698.6,817.8,979.3,19.8
부채총계,808.3,826.8,979.4,834.5,962.5,15.3
유동부채,696.9,623.8,527.8,496.7,670.1,34.9
단기사채,,,,,,
단기차입금,170.0,98.8,,78.5,158.5,101.9
유동성장기부채,53.3,109.8,65.3,160.3,152.1,-5.2
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
유동금융부채,,,6.0,6.1,7.1,15.7
매입채무및기타채무,469.4,400.7,386.8,207.5,319.3,53.9
유동종업원급여충당부채,,,,,,
단기충당부채,,2.6,30.9,36.9,16.3,-56.0
당기법인세부채(미지급법인세),,6.6,,4.6,2.0,-56.0
계약부채,,4.7,38.8,2.7,14.8,452.4
반품(환불)부채,,,,,,
배출부채,,,,,,
기타유동부채,4.2,0.6,,,0.0,
매각예정으로분류된처분자산에포함된부채,,,,,,
비유동부채,111.4,203.0,451.6,337.8,292.4,-13.4
사채,,,,,,
장기차입금,24.7,122.3,347.0,237.7,165.6,-30.3
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
비유동금융부채,,,13.8,10.6,7.2,-32.3
장기매입채무및기타채무,7.9,6.1,4.1,4.7,4.6,-1.2
비유동종업원급여충당부채,27.2,24.9,29.4,14.7,24.6,67.8
장기충당부채,51.6,49.7,57.2,70.2,83.5,19.0
이연법인세부채,,,,,6.9,
장기당기법인세부채(미지급법인세),,,,,,
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타비유동부채,,,,,,
기타금융업부채,,,,,,
*이자발생부채,248.0,331.0,432.1,493.3,490.5,-0.6
*순부채,193.2,296.0,245.5,447.3,448.8,0.3
*CAPEX,12.5,12.1,10.5,12.7,1.8,-86.1
자본총계,591.1,595.6,709.3,827.7,988.1,19.4
지배주주지분,591.1,595.6,709.3,827.7,988.1,19.4
자본금,225.8,225.8,225.8,225.8,225.8,0.0
신종자본증권,,,,,,
자본잉여금,72.2,72.2,72.2,72.2,72.2,0.0
기타자본,-10.3,-10.3,-10.3,-10.3,-10.3,0.0
기타포괄이익누계액,136.9,117.7,117.2,151.5,350.8,131.5
이익잉여금,166.5,190.2,304.5,388.4,349.7,-10.0
*(지배)당기순이익,84.4,17.4,134.9,92.0,-30.2,-132.8
비지배주주지분,,,,,,
*(비지배)당기순이익,,,,,,
수권주식수,"18,000","180,000","180,000","180,000","180,000",0
1주당금액,"5,000",500,500,500,500,0
발행주식수,"4,515","45,152","45,152","45,152","45,152",0
보통주,"4,515","45,152","45,152","45,152","45,152",0
우선주,,,,,,
