항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)",2020/12,2021/12,전년대비
자산총계,"4,137.3","4,029.0","4,004.0","4,096.6","4,264.9",4.1
유동자산,"2,986.0","2,733.6","2,641.3","2,775.1","2,846.7",2.6
재고자산,836.9,884.5,840.7,"1,093.1","1,024.6",-6.3
유동생물자산,,,,,,
당기손익-공정가치측정금융자산,,,,,,
기타포괄손익-공정가치측정금융자산,,,,,,
상각후원가측정유가증권,,,,,,
상각후원가측정금융자산,,,,,,
단기금융자산,,3.5,0.0,26.9,40.4,49.9
매출채권및기타채권,"1,960.8","1,757.6","1,618.8","1,569.2","1,446.9",-7.8
당기법인세자산(선급법인세),,,,,,
계약자산,,,,,,
반품(환불)자산,,55.0,42.2,42.9,52.2,21.6
배출권,,,,,,
기타유동자산,26.3,8.0,4.4,4.0,23.1,475.7
현금및현금성자산,162.1,25.0,135.2,38.9,259.6,566.8
매각예정비유동자산및처분자산,,,,,,
비유동자산,"1,151.2","1,295.5","1,362.6","1,321.5","1,418.1",7.3
유형자산,"1,026.6","1,204.8","1,204.4","1,155.5","1,257.1",8.8
무형자산,40.9,43.6,43.2,41.0,37.6,-8.1
비유동생물자산,,,,,,
투자부동산,,,26.6,27.3,23.7,-13.3
투자자산,30.3,9.8,10.9,19.2,50.3,162.1
장기매출채권및기타채권,33.4,27.8,55.6,45.4,34.9,-23.1
이연법인세자산,20.1,9.4,21.9,33.2,14.5,-56.3
장기당기법인세자산,,,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타비유동자산,,,,,,
기타금융업자산,,,,,,
*순자산1,"1,779.9","1,849.3","1,688.6","1,724.8","1,673.5",-3.0
*순자산2,"1,739.0","1,805.8","1,645.3","1,683.8","1,635.8",-2.9
부채총계,"2,357.4","2,179.7","2,315.4","2,371.8","2,591.4",9.3
유동부채,"2,064.6","1,945.6","2,085.2","2,180.6","2,219.4",1.8
단기사채,,,,,,
단기차입금,343.1,123.8,60.0,304.2,241.7,-20.6
유동성장기부채,20.0,55.9,80.1,77.2,80.4,4.1
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
유동금융부채,,,,,,
매입채무및기타채무,"1,632.7","1,598.3","1,759.2","1,620.2","1,730.3",6.8
유동종업원급여충당부채,,,,,,
단기충당부채,33.7,,,,,
당기법인세부채(미지급법인세),20.8,13.6,42.4,34.3,1.1,-96.7
계약부채,,14.7,16.8,13.5,12.9,-4.4
반품(환불)부채,,119.8,126.8,131.1,153.0,16.7
배출부채,,,,,,
기타유동부채,14.2,19.4,,,,
매각예정으로분류된처분자산에포함된부채,,,,,,
비유동부채,292.8,234.1,230.2,191.3,372.0,94.5
사채,,,,,,
장기차입금,255.0,199.1,137.8,76.6,15.3,-80.0
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
비유동금융부채,,,46.4,35.1,334.4,853.8
장기매입채무및기타채무,2.9,2.6,3.5,4.6,9.6,109.3
비유동종업원급여충당부채,34.9,32.5,42.6,75.0,12.6,-83.2
장기충당부채,,,,,,
이연법인세부채,,,,,,
장기당기법인세부채(미지급법인세),,,,,,
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타비유동부채,,,,,,
기타금융업부채,,,,,,
*이자발생부채,618.1,378.8,324.2,493.0,478.0,-3.0
*순부채,456.1,353.8,189.0,427.2,198.0,-53.7
*CAPEX,39.5,101.2,10.9,24.1,53.4,121.7
자본총계,"1,779.9","1,849.3","1,688.6","1,724.8","1,673.5",-3.0
지배주주지분,"1,779.9","1,849.3","1,688.6","1,723.9","1,682.1",-2.4
자본금,52.5,73.5,73.5,73.5,73.5,0.0
신종자본증권,,,,,,
자본잉여금,"1,712.2","1,491.2","1,491.2","1,491.2","1,553.0",4.1
기타자본,-2.3,-3.1,-33.1,-36.2,-44.3,-22.4
기타포괄이익누계액,,98.5,168.7,167.1,204.1,22.2
이익잉여금,17.5,189.2,-11.8,28.4,-104.1,-466.6
*(지배)당기순이익,10.7,18.9,-102.4,69.2,-124.7,-280.4
비지배주주지분,,,,0.9,-8.7,"-1,118.5"
*(비지배)당기순이익,,,,0.5,-25.1,"-5,260.8"
수권주식수,"40,000","40,000","40,000","40,000","40,000",0
1주당금액,500,500,500,500,500,0
발행주식수,"10,504","14,705","14,705","14,705","14,705",0
보통주,"10,504","14,705","14,705","14,705","14,705",0
우선주,,,,,,
