항목,2017/12,2018/12,2019/12,2020/12,2021/12,전년대비
자산총계,"19,070.4","25,426.7","27,161.7","26,430.4","26,666.5",0.9
유동자산,"5,323.5","7,041.7","7,710.8","8,300.5","8,279.3",-0.3
재고자산,"1,626.9","2,371.4","2,351.0","2,310.3","2,471.8",7.0
유동생물자산,,,,,,
당기손익-공정가치측정금융자산,,,135.0,135.0,135.0,0.0
기타포괄손익-공정가치측정금융자산,,1.2,,,,
상각후원가측정유가증권,,,,,,
상각후원가측정금융자산,,,,0.8,1.0,24.1
단기금융자산,306.3,5.6,426.5,352.2,326.3,-7.4
매출채권및기타채권,"2,609.4","2,342.4","2,352.6","2,098.7","1,860.6",-11.3
당기법인세자산(선급법인세),5.9,87.6,112.6,78.5,83.0,5.7
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타유동자산,114.3,247.6,171.2,204.1,300.1,47.1
현금및현금성자산,660.7,"1,985.9","2,162.1","3,120.9","2,950.0",-5.5
매각예정비유동자산및처분자산,,,,,151.6,
비유동자산,"13,746.9","18,385.1","19,450.9","18,129.8","18,387.1",1.4
유형자산,"11,211.1","12,895.0","13,147.9","12,554.7","12,936.9",3.0
무형자산,"1,978.4","3,700.3","4,054.6","3,467.0","3,169.0",-8.6
비유동생물자산,,,,,,
투자부동산,184.1,905.2,"1,412.6","1,409.0","1,530.0",8.6
투자자산,358.9,798.6,270.1,111.3,213.5,92.0
장기매출채권및기타채권,,,,,,
이연법인세자산,7.9,54.0,44.1,79.1,154.1,94.9
장기당기법인세자산,,,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타비유동자산,6.6,31.9,521.6,508.8,383.6,-24.6
기타금융업자산,,,,,,
*순자산1,"8,272.1","12,579.1","13,007.9","12,799.0","13,269.7",3.7
*순자산2,"6,293.7","8,878.8","8,953.3","9,332.0","10,100.7",8.2
부채총계,"10,798.4","12,847.6","14,153.8","13,631.4","13,396.8",-1.7
유동부채,"5,357.6","4,492.8","5,008.7","5,081.3","6,856.4",34.9
단기사채,,,,,,
단기차입금,"1,530.6","1,756.9",552.1,218.1,44.3,-79.7
유동성장기부채,"1,499.3",,"1,599.7","2,113.6","3,605.0",70.6
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
유동금융부채,,6.0,102.5,116.0,94.2,-18.7
매입채무및기타채무,"2,052.4","2,374.7","2,166.2","2,065.1","2,597.2",25.8
유동종업원급여충당부채,,,,,,
단기충당부채,265.9,265.0,303.1,269.2,208.1,-22.7
당기법인세부채(미지급법인세),,41.3,89.8,117.0,84.0,-28.3
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타유동부채,9.4,48.9,195.4,182.3,199.6,9.5
매각예정으로분류된처분자산에포함된부채,,,,,24.0,
비유동부채,"5,440.8","8,354.8","9,145.1","8,550.1","6,540.3",-23.5
사채,"3,793.3","5,472.4","5,131.8","4,494.9","3,181.9",-29.2
장기차입금,22.1,693.1,"1,664.1","1,877.9","1,366.3",-27.3
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
비유동금융부채,,44.7,295.2,264.9,173.0,-34.7
장기매입채무및기타채무,108.6,127.3,129.5,98.1,10.6,-89.2
비유동종업원급여충당부채,0.2,122.3,79.1,88.2,45.2,-48.8
장기충당부채,,6.0,1.6,1.9,1.3,-28.6
이연법인세부채,"1,421.5","1,778.7","1,712.7","1,596.3","1,632.4",2.3
장기당기법인세부채(미지급법인세),,,,,,
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타비유동부채,95.1,110.5,131.2,127.8,129.6,1.4
기타금융업부채,,,,,,
*이자발생부채,"6,845.2","7,971.8","9,336.8","9,080.2","8,464.8",-6.8
*순부채,"5,878.2","5,983.7","6,655.0","5,554.2","5,099.1",-8.2
*CAPEX,168.7,891.4,786.9,839.5,"1,429.4",70.3
자본총계,"8,272.1","12,579.1","13,007.9","12,799.0","13,269.7",3.7
지배주주지분,"8,247.4","11,748.0","12,095.6","11,873.8","12,341.2",3.9
자본금,21.0,32.1,32.1,32.1,32.1,0.0
신종자본증권,,,,,,
자본잉여금,"8,198.2","11,785.1","11,785.1","11,785.1","11,785.1",0.0
기타자본,11.5,11.5,-60.4,-60.4,-60.4,0.0
기타포괄이익누계액,-13.8,-175.4,-21.8,-579.3,-354.1,38.9
이익잉여금,30.5,94.7,360.5,696.3,938.4,34.8
*(지배)당기순이익,20.3,93.6,380.6,409.9,348.9,-14.9
비지배주주지분,24.6,831.1,912.3,925.1,928.6,0.4
*(비지배)당기순이익,-0.8,-9.4,35.7,7.4,14.5,96.6
수권주식수,"30,000","30,000","30,000","30,000","30,000",0
1주당금액,500,500,500,500,500,0
발행주식수,"4,209","6,417","6,417","6,417","6,417",0
보통주,"4,209","6,417","6,417","6,417","6,417",0
우선주,,,,,,
