항목,"2017/12
(IFRS별도)",2018/12,"2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
자산총계,"4,982.7","5,195.3","7,044.2","5,567.7","6,015.9","6,077.2",8.1,1.0
유동자산,"3,991.8","4,269.9","3,532.7","1,612.9","1,942.7","2,023.4",20.4,4.2
재고자산,3.9,14.0,16.3,12.7,14.0,,10.5,
유동생물자산,,,,,,,,
당기손익-공정가치측정금융자산,,"1,570.5",,,,,,
기타포괄손익-공정가치측정금융자산,,,,,,,,
상각후원가측정유가증권,,,,,,,,
상각후원가측정금융자산,,,,,,,,
단기금융자산,"3,099.2","1,584.7","2,446.1","1,169.7","1,411.8",,20.7,
매출채권및기타채권,307.1,320.9,284.9,36.4,33.5,,-8.0,
당기법인세자산(선급법인세),,,70.5,4.8,1.7,,-64.7,
계약자산,,,,,,,,
반품(환불)자산,,,,,,,,
배출권,,,,,,,,
기타유동자산,158.2,207.8,85.6,74.0,38.3,,-48.3,
현금및현금성자산,423.5,571.9,629.3,315.3,443.5,,40.7,
매각예정비유동자산및처분자산,,,,,,,,
비유동자산,990.9,925.4,"3,511.5","3,954.8","4,073.2",,3.0,
유형자산,518.8,294.2,23.9,15.5,7.9,,-48.9,
무형자산,9.1,65.8,59.2,43.1,27.3,,-36.6,
비유동생물자산,,,,,,,,
투자부동산,,,,,,,,
투자자산,308.4,398.9,307.5,293.2,294.6,,0.5,
장기매출채권및기타채권,,,,,,,,
이연법인세자산,114.1,129.1,257.9,134.5,974.0,,624.0,
장기당기법인세자산,,,,,,,,
계약자산,,,,,,,,
반품(환불)자산,,,,,,,,
배출권,,,,,,,,
기타비유동자산,40.5,37.5,"2,863.0","3,468.5","2,769.4",,-20.2,
기타금융업자산,,,,,,,,
*순자산1,"2,318.0","2,661.9","1,917.5",981.6,"1,727.5",,76.0,
*순자산2,"2,308.9","2,596.1","1,858.3",938.5,"1,700.2",,81.2,
부채총계,"2,664.7","2,533.3","5,126.7","4,586.1","4,288.5","5,324.0",-6.5,24.1
유동부채,"2,327.1","2,336.6","3,063.9","1,875.1","2,007.4","2,220.4",7.1,10.6
단기사채,,,,,,,,
단기차입금,,,,400.0,400.0,,0.0,
유동성장기부채,,,,,,,,
당기손익-공정가치측정금융부채,,,,,,,,
상각후원가측정금융부채,,,,,,,,
유동금융부채,175.3,197.7,964.0,852.8,923.9,,8.3,
매입채무및기타채무,896.3,988.9,"1,172.0",567.5,537.5,,-5.3,
유동종업원급여충당부채,,,,,,,,
단기충당부채,0.0,,,,,,,
당기법인세부채(미지급법인세),187.2,36.1,,,,,,
계약부채,,,,,,,,
반품(환불)부채,,,,,,,,
배출부채,,,,,,,,
기타유동부채,"1,068.3","1,114.0",927.8,54.8,146.0,,166.4,
매각예정으로분류된처분자산에포함된부채,,,,,,,,
비유동부채,337.6,196.7,"2,062.8","2,711.0","2,281.0","3,103.8",-15.9,36.1
사채,,,,,148.6,,,
장기차입금,,,,,,,,
당기손익-공정가치측정금융부채,,,,,,,,
상각후원가측정금융부채,,,,,,,,
비유동금융부채,281.5,96.1,"1,959.2","2,451.3","1,978.3",,-19.3,
장기매입채무및기타채무,1.8,2.1,2.7,4.5,9.8,,119.5,
비유동종업원급여충당부채,42.6,79.1,79.5,241.4,137.9,,-42.9,
장기충당부채,,,,,,,,
이연법인세부채,,,,,,,,
장기당기법인세부채(미지급법인세),,,,,,,,
계약부채,,,,,,,,
반품(환불)부채,,,,,,,,
배출부채,,,,,,,,
기타비유동부채,11.8,19.4,21.3,13.8,6.3,,-54.0,
기타금융업부채,,,,,,,,
*이자발생부채,456.7,293.7,"2,923.3","3,704.1","3,450.9",,-6.8,
*순부채,"-3,037.5","-3,398.9",-47.5,"2,268.4","1,671.6","1,271.5",-26.3,-23.9
*CAPEX,77.2,7.3,5.4,1.6,0.3,389.8,-83.7,"150,930.1"
자본총계,"2,318.0","2,661.9","1,917.5",981.6,"1,727.5",753.2,76.0,-56.4
지배주주지분,"2,318.0","2,661.9","1,917.5",981.6,"1,727.5",753.2,76.0,-56.4
자본금,300.0,300.0,300.0,450.0,522.0,520.8,16.0,-0.2
신종자본증권,,,,,744.7,,,
자본잉여금,917.6,917.6,917.6,"1,810.3","2,970.9",,64.1,
기타자본,,,-69.8,-99.0,-95.9,,3.1,
기타포괄이익누계액,-2.1,-1.0,-1.2,-5.7,-6.4,,-11.9,
이익잉여금,"1,102.5","1,445.4",770.9,"-1,174.0","-2,407.9",,-105.1,
*(지배)당기순이익,740.8,444.7,-566.5,"-1,904.0","-1,335.8",,29.8,
비지배주주지분,,,,,,,,
*(비지배)당기순이익,,,,,,,,
수권주식수,"100,000","100,000","100,000","100,000","200,000",,100,
1주당금액,"1,000","1,000","1,000","1,000","1,000",,0,
발행주식수,"30,000","30,000","30,000","45,000","52,200",,16,
보통주,"30,000","30,000","30,000","45,000","52,200",,16,
우선주,,,,,,,,
