항목,"2018/12
(IFRS별도)","2019/12
(IFRS별도)",2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
자산총계,"13,680.0","13,835.6","23,996.6","23,703.3","24,861.0",-1.2,4.9
유동자산,"5,652.2","4,959.5","6,666.8","6,029.2","7,237.0",-9.6,20.0
재고자산,"1,073.1",700.1,809.8,806.7,,-0.4,
유동생물자산,,,,,,,
당기손익-공정가치측정금융자산,,573.8,"2,345.3","1,537.7",,-34.4,
기타포괄손익-공정가치측정금융자산,,,,,,,
상각후원가측정유가증권,,,,,,,
상각후원가측정금융자산,92.5,107.2,157.8,355.7,,125.4,
단기금융자산,,,4.9,5.7,,16.4,
매출채권및기타채권,"2,728.4","2,407.3","2,878.0","2,893.4",,0.5,
당기법인세자산(선급법인세),,,,,,,
계약자산,,,,,,,
반품(환불)자산,,,,,,,
배출권,,,,,,,
기타유동자산,57.5,72.1,87.9,67.7,,-23.0,
현금및현금성자산,"1,700.7","1,099.0",383.0,362.2,,-5.4,
매각예정비유동자산및처분자산,,,,,,,
비유동자산,"8,027.8","8,876.2","17,329.8","17,674.1",,2.0,
유형자산,"7,714.6","7,671.6","10,804.8","10,845.7",,0.4,
무형자산,193.8,132.1,"4,869.6","4,851.1",,-0.4,
비유동생물자산,,,,,,,
투자부동산,,,15.9,77.7,,387.4,
투자자산,119.5,637.2,967.5,"1,076.6",,11.3,
장기매출채권및기타채권,0.0,0.0,0.0,0.5,,"7,013.5",
이연법인세자산,,,,,,,
장기당기법인세자산,,,,,,,
계약자산,,,,,,,
반품(환불)자산,,,,,,,
배출권,,,,,,,
기타비유동자산,,435.3,672.0,822.6,,22.4,
기타금융업자산,,,,,,,
*순자산1,"8,682.2","8,870.6","13,582.4","14,583.8",,7.4,
*순자산2,"8,488.4","8,738.5","8,712.9","9,732.7",,11.7,
부채총계,"4,997.8","4,965.1","10,414.2","9,119.5","9,238.0",-12.4,1.3
유동부채,"3,056.1","2,203.3","5,983.1","4,926.7","5,045.0",-17.7,2.4
단기사채,,,,,,,
단기차입금,300.0,200.0,660.0,330.0,,-50.0,
유동성장기부채,643.5,33.0,"1,833.8","1,699.6",,-7.3,
당기손익-공정가치측정금융부채,,,,,,,
상각후원가측정금융부채,,,,,,,
유동금융부채,,43.1,"1,171.6",595.9,,-49.1,
매입채무및기타채무,"1,917.2","1,848.3","2,017.2","2,028.6",,0.6,
유동종업원급여충당부채,,,,,,,
단기충당부채,,4.8,,,,,
당기법인세부채(미지급법인세),68.4,41.6,260.8,189.2,,-27.5,
계약부채,,,,,,,
반품(환불)부채,,,,,,,
배출부채,34.0,,,52.9,,,
기타유동부채,93.0,32.6,39.5,30.5,,-22.9,
매각예정으로분류된처분자산에포함된부채,,,,,,,
비유동부채,"1,941.7","2,761.8","4,431.1","4,192.8","4,193.0",-5.4,0.0
사채,"1,297.3","1,897.1","1,098.8",799.4,,-27.2,
장기차입금,41.7,8.8,"1,518.6","1,631.2",,7.4,
당기손익-공정가치측정금융부채,,,,,,,
상각후원가측정금융부채,,,,,,,
비유동금융부채,,321.5,467.3,484.9,,3.8,
장기매입채무및기타채무,11.5,11.9,21.4,25.7,,20.3,
비유동종업원급여충당부채,193.3,94.3,333.9,195.7,,-41.4,
장기충당부채,79.7,84.3,174.8,193.7,,10.8,
이연법인세부채,318.2,343.9,816.3,862.1,,5.6,
장기당기법인세부채(미지급법인세),,,,,,,
계약부채,,,,,,,
반품(환불)부채,,,,,,,
배출부채,,,,,,,
기타비유동부채,,,,,,,
기타금융업부채,,,,,,,
*이자발생부채,"2,282.5","2,503.4","5,625.7","4,993.0",,-11.3,
*순부채,489.3,723.5,"2,739.4","2,737.3","2,525.0",-0.1,-7.8
*CAPEX,143.4,313.4,393.4,592.8,520.0,50.7,-12.3
자본총계,"8,682.2","8,870.6","13,582.4","14,583.8","15,623.0",7.4,7.1
지배주주지분,"8,682.2","8,870.6","13,006.5","13,708.1","14,650.0",5.4,6.9
자본금,207.2,207.2,346.3,346.3,346.0,0.0,-0.1
신종자본증권,,,,,,,
자본잉여금,"7,948.7","3,910.9","7,137.7","7,288.4",,2.1,
기타자본,-0.1,-0.1,-216.3,-216.3,,0.0,
기타포괄이익누계액,3.0,-5.3,145.9,216.6,,48.4,
이익잉여금,523.4,"4,757.8","5,592.8","6,073.1",,8.6,
*(지배)당기순이익,537.3,405.0,950.2,786.4,,-17.2,
비지배주주지분,,,576.0,875.7,,52.0,
*(비지배)당기순이익,,,49.7,73.7,,48.4,
수권주식수,"24,000","24,000","24,000","240,000",,900,
1주당금액,"5,000","5,000","5,000",500,,-90,
발행주식수,"4,145","4,145","6,926","69,262",,900,
보통주,"4,145","4,145","6,926","69,262",,900,
우선주,,,,,,,
