항목,"2017/12
(IFRS별도)",2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
자산총계,"2,257.7","4,308.8","8,077.6","7,057.9","7,350.5","8,453.3",4.2,15.0
유동자산,"1,564.2","3,249.9","2,589.4","1,224.8","1,052.4","1,947.3",-14.1,85.0
재고자산,65.9,93.4,117.4,110.8,94.9,,-14.4,
유동생물자산,,,,,,,,
당기손익-공정가치측정금융자산,,,,,,,,
기타포괄손익-공정가치측정금융자산,,,,,,,,
상각후원가측정유가증권,,,,,,,,
상각후원가측정금융자산,,,,,,,,
단기금융자산,5.0,383.0,615.5,677.9,652.0,,-3.8,
매출채권및기타채권,144.0,155.6,194.8,28.7,36.6,,27.4,
당기법인세자산(선급법인세),,0.1,66.3,1.2,1.3,,12.2,
계약자산,,,,,,,,
반품(환불)자산,,,,,,,,
배출권,,,,,,,,
기타유동자산,272.9,423.3,364.3,84.7,102.6,,21.1,
현금및현금성자산,"1,076.4","2,194.5","1,231.0",321.4,165.0,,-48.7,
매각예정비유동자산및처분자산,,,,,,,,
비유동자산,693.5,"1,058.9","5,488.2","5,833.1","6,298.1",,8.0,
유형자산,314.1,509.3,572.3,599.9,498.1,,-17.0,
무형자산,44.5,42.2,44.5,28.9,20.0,,-30.6,
비유동생물자산,,,,,,,,
투자부동산,,,,,,,,
투자자산,16.4,,1.4,17.4,16.9,,-2.9,
장기매출채권및기타채권,,,,,,,,
이연법인세자산,49.1,125.3,252.0,627.0,"1,048.9",,67.3,
장기당기법인세자산,,,,,,,,
계약자산,,,,,,,,
반품(환불)자산,,,,,,,,
배출권,,,,,,,,
기타비유동자산,269.5,382.1,"4,617.9","4,559.9","4,714.2",,3.4,
기타금융업자산,,,,,,,,
*순자산1,365.1,"2,257.1","1,888.8","1,169.9",473.4,,-59.5,
*순자산2,320.6,"2,214.9","1,844.3","1,141.0",453.4,,-60.3,
부채총계,"1,892.6","2,051.7","6,188.8","5,888.0","6,877.1","7,845.3",16.8,14.1
유동부채,"1,659.3","1,730.5","2,610.0","1,819.5","2,479.8","2,677.0",36.3,8.0
단기사채,,,,,,,,
단기차입금,,,,496.5,463.6,,-6.6,
유동성장기부채,,,739.4,697.3,794.2,,13.9,
당기손익-공정가치측정금융부채,,,,,,,,
상각후원가측정금융부채,,,,,,,,
유동금융부채,,,,0.8,34.4,,"4,222.3",
매입채무및기타채무,659.6,679.2,795.7,483.9,556.4,,15.0,
유동종업원급여충당부채,,,,,,,,
단기충당부채,,,27.8,42.2,181.6,,330.6,
당기법인세부채(미지급법인세),95.1,91.2,1.5,0.4,18.6,,"4,714.3",
계약부채,,,,,,,,
반품(환불)부채,,,,,,,,
배출부채,,,,,1.0,,,
기타유동부채,904.6,960.0,"1,045.7",98.5,430.0,,336.7,
매각예정으로분류된처분자산에포함된부채,,,,,,,,
비유동부채,233.3,321.3,"3,578.8","4,068.5","4,397.3","5,168.3",8.1,17.5
사채,,,,84.4,,,,
장기차입금,,,,,,,,
당기손익-공정가치측정금융부채,,,,,,,,
상각후원가측정금융부채,,,,,,,,
비유동금융부채,,,"2,867.9","2,154.1","1,967.6",,-8.7,
장기매입채무및기타채무,,,,,,,,
비유동종업원급여충당부채,23.2,25.3,32.0,150.4,180.3,,19.9,
장기충당부채,210.1,295.9,678.9,"1,679.6","2,249.4",,33.9,
이연법인세부채,,,,,,,,
장기당기법인세부채(미지급법인세),,,,,,,,
계약부채,,,,,,,,
반품(환불)부채,,,,,,,,
배출부채,,,,,,,,
기타비유동부채,,,,,,,,
기타금융업부채,,,,,,,,
*이자발생부채,,,"3,607.3","3,412.0","3,225.4",,-5.5,
*순부채,"-1,076.4","-2,577.5","1,760.8","2,412.7","2,408.4","2,141.7",-0.2,-11.1
*CAPEX,108.4,231.1,361.3,207.9,34.6,640.0,-83.4,"1,751.0"
자본총계,365.1,"2,257.1","1,888.8","1,169.9",473.4,608.0,-59.5,28.4
지배주주지분,365.1,"2,257.1","1,888.8","1,169.9",473.4,797.0,-59.5,68.3
자본금,169.1,234.9,234.9,551.7,710.9,964.7,28.9,35.7
신종자본증권,,,,,,,,
자본잉여금,322.6,"1,775.2","1,775.2","1,842.7","2,482.6",,34.7,
기타자본,0.2,14.8,20.0,17.5,23.6,,34.9,
기타포괄이익누계액,,,,,,,,
이익잉여금,-126.8,232.2,-141.2,"-1,242.0","-2,743.7",,-120.9,
*(지배)당기순이익,397.1,378.8,-432.1,"-1,378.7","-1,562.4",,-13.3,
비지배주주지분,,,,,,,,
*(비지배)당기순이익,,,,,,,,
수권주식수,"400,000","400,000","400,000","500,000","500,000",,0,
1주당금액,500,500,500,500,500,,0,
발행주식수,"33,817","46,975","46,975","110,330","142,177",,29,
보통주,"33,817","46,975","46,975","110,330","110,330",,0,
우선주,,,,,"31,847",,,
