항목,"2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
자산총계,"4,957.6","7,901.9","6,988.5","8,822.1",-11.6,26.2
유동자산,"4,083.6","6,519.9","4,982.3","6,355.5",-23.6,27.6
재고자산,776.5,"1,122.5","2,090.1",,86.2,
유동생물자산,,,,,,
당기손익-공정가치측정금융자산,,"2,604.0","1,810.2",,-30.5,
기타포괄손익-공정가치측정금융자산,,,,,,
상각후원가측정유가증권,,,,,,
상각후원가측정금융자산,,,,,,
단기금융자산,200.0,0.9,1.0,,5.2,
매출채권및기타채권,"1,593.5","1,193.9",672.6,,-43.7,
당기법인세자산(선급법인세),,,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타유동자산,180.5,274.9,348.3,,26.7,
현금및현금성자산,"1,333.1","1,323.7",60.1,,-95.5,
매각예정비유동자산및처분자산,,,,,,
비유동자산,874.0,"1,382.0","2,006.2",,45.2,
유형자산,427.3,512.8,909.3,,77.3,
무형자산,286.0,279.8,372.8,,33.3,
비유동생물자산,,,,,,
투자부동산,,,,,,
투자자산,43.9,78.8,78.2,,-0.8,
장기매출채권및기타채권,9.4,308.5,343.1,,11.2,
이연법인세자산,38.8,89.0,106.1,,19.2,
장기당기법인세자산,,,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타비유동자산,68.7,113.2,196.8,,73.9,
기타금융업자산,,,,,,
*순자산1,"1,667.7","5,125.4","5,181.9",,1.1,
*순자산2,"1,381.7","4,845.7","4,809.1",,-0.8,
부채총계,"3,289.9","2,776.4","1,806.7","3,434.4",-34.9,90.1
유동부채,"2,253.0","2,645.7",776.1,"2,103.0",-70.7,171.0
단기사채,,,,,,
단기차입금,,,,,,
유동성장기부채,14.2,"1,002.9",28.7,,-97.1,
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
유동금융부채,,,,,,
매입채무및기타채무,798.8,894.2,374.4,,-58.1,
유동종업원급여충당부채,,,,,,
단기충당부채,45.6,166.0,160.7,,-3.2,
당기법인세부채(미지급법인세),55.2,50.4,69.2,,37.4,
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타유동부채,"1,339.2",532.3,143.1,,-73.1,
매각예정으로분류된처분자산에포함된부채,,,,,,
비유동부채,"1,036.9",130.7,"1,030.5","1,331.4",688.5,29.2
사채,987.7,,747.5,,,
장기차입금,,,,,,
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
비유동금융부채,9.2,9.3,70.6,,659.5,
장기매입채무및기타채무,6.2,12.1,18.1,,49.5,
비유동종업원급여충당부채,21.3,16.0,1.7,,-89.2,
장기충당부채,12.5,93.2,192.5,,106.5,
이연법인세부채,,,,,,
장기당기법인세부채(미지급법인세),,,,,,
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타비유동부채,,,,,,
기타금융업부채,,,,,,
*이자발생부채,"1,011.1","1,012.2",846.9,,-16.3,
*순부채,-522.0,"-2,915.5","-1,023.4",-601.3,64.9,41.2
*CAPEX,2.2,128.1,349.3,519.3,172.7,48.7
자본총계,"1,667.7","5,125.4","5,181.9","5,387.8",1.1,4.0
지배주주지분,"1,667.7","5,125.4","5,181.9","5,387.8",1.1,4.0
자본금,71.8,81.8,81.8,81.3,0.0,-0.7
신종자본증권,,,,,,
자본잉여금,"1,485.4","4,794.3","4,775.6",,-0.4,
기타자본,-0.3,-0.3,-0.3,,0.0,
기타포괄이익누계액,4.7,4.7,6.4,,37.3,
이익잉여금,106.0,244.9,318.3,,29.9,
*(지배)당기순이익,118.7,141.9,87.0,,-38.7,
비지배주주지분,,,,,,
*(비지배)당기순이익,,,,,,
수권주식수,"400,000","400,000","400,000",,0,
1주당금액,100,100,100,,0,
발행주식수,"71,844","81,844","81,844",,0,
보통주,"55,494","65,494","65,494",,0,
우선주,"16,351","16,351","16,351",,0,
