항목,"2017/12
(IFRS별도)",2018/12,2019/12,2020/12,2021/12,전년대비
자산총계,"6,071.0","11,369.2","12,018.5","16,387.5","17,239.6",5.2
유동자산,"3,103.0","5,309.9","5,225.0","6,095.9","7,264.0",19.2
재고자산,489.0,"1,024.4",990.7,"1,478.9","1,855.7",25.5
유동생물자산,,,,,,
당기손익-공정가치측정금융자산,,5.3,4.8,11.5,,
기타포괄손익-공정가치측정금융자산,,,,,,
상각후원가측정유가증권,,0.3,3.4,0.1,0.1,-33.0
상각후원가측정금융자산,,,,,,
단기금융자산,"1,706.0","1,911.7","1,881.2","2,017.4","1,512.5",-25.0
매출채권및기타채권,599.8,"1,865.6","1,685.8","1,786.4","2,139.7",19.8
당기법인세자산(선급법인세),,,,,0.1,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타유동자산,26.9,153.7,166.9,150.1,161.9,7.8
현금및현금성자산,281.3,348.9,492.2,651.6,"1,507.6",131.4
매각예정비유동자산및처분자산,,,,,86.5,
비유동자산,"2,968.0","6,059.3","6,793.5","10,291.6","9,975.6",-3.1
유형자산,"1,854.2","4,923.6","4,641.5","8,450.3","8,451.1",0.0
무형자산,33.9,89.9,115.1,925.6,570.4,-38.4
비유동생물자산,,,,,,
투자부동산,,,,,,
투자자산,"1,051.1","1,045.5","1,964.7",641.3,600.9,-6.3
장기매출채권및기타채권,,,5.7,2.0,1.5,-23.0
이연법인세자산,6.1,0.3,0.4,182.0,293.1,61.0
장기당기법인세자산,,,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타비유동자산,22.6,0.0,66.0,90.4,58.5,-35.3
기타금융업자산,,,,,,
*순자산1,"5,200.7","9,839.3","10,397.1","13,462.7","13,729.0",2.0
*순자산2,"5,166.7","9,749.4","10,281.9","12,537.1","13,158.6",5.0
부채총계,870.3,"1,530.0","1,621.5","2,924.8","3,510.6",20.0
유동부채,840.7,"1,405.3","1,469.1","2,435.4","2,438.6",0.1
단기사채,,,,,,
단기차입금,62.8,118.9,174.4,209.6,71.7,-65.8
유동성장기부채,,,,0.1,10.0,"9,900.0"
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
유동금융부채,,8.8,5.7,20.4,15.6,-23.9
매입채무및기타채무,692.7,"1,185.3","1,127.9","2,118.0","1,994.1",-5.8
유동종업원급여충당부채,,,,,,
단기충당부채,,,14.9,40.3,41.3,2.3
당기법인세부채(미지급법인세),66.9,91.5,145.2,45.2,220.9,388.3
계약부채,,,,,83.7,
반품(환불)부채,,,,,,
배출부채,,,,0.3,,
기타유동부채,18.3,0.8,0.9,1.4,1.3,-3.0
매각예정으로분류된처분자산에포함된부채,,,,,,
비유동부채,29.7,124.6,152.4,489.4,"1,071.9",119.0
사채,,,,,,
장기차입금,,,,,,
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
비유동금융부채,,,54.2,51.4,5.6,-89.1
장기매입채무및기타채무,1.2,1.3,,9.3,2.8,-69.6
비유동종업원급여충당부채,24.0,82.2,80.5,111.3,185.6,66.8
장기충당부채,4.6,13.9,0.4,5.3,6.1,14.6
이연법인세부채,,27.2,17.4,312.2,284.0,-9.0
장기당기법인세부채(미지급법인세),,,,,,
계약부채,,,,,587.8,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타비유동부채,,,,,,
기타금융업부채,,,,,,
*이자발생부채,62.8,127.7,234.2,276.8,102.2,-63.1
*순부채,"-1,924.5","-2,136.7","-2,146.2","-2,396.3","-2,909.5",-21.4
*CAPEX,559.1,403.4,908.4,358.7,"1,926.1",437.0
자본총계,"5,200.7","9,839.3","10,397.1","13,462.7","13,729.0",2.0
지배주주지분,"5,200.7","9,839.3","10,397.1","6,072.8","5,958.9",-1.9
자본금,244.0,406.6,406.6,175.5,175.5,0.0
신종자본증권,,,,,,
자본잉여금,801.2,"3,129.7","3,212.0","2,421.3","2,421.3",0.0
기타자본,-447.6,-439.1,-382.8,"-4,749.7",31.5,100.7
기타포괄이익누계액,276.9,-16.4,-6.5,-201.9,-167.4,17.1
이익잉여금,"4,326.2","6,758.6","7,167.7","8,427.5","3,497.9",-58.5
*(지배)당기순이익,356.1,"2,647.1",645.6,"1,472.4",-23.2,-101.6
비지배주주지분,,,,"7,389.9","7,770.1",5.2
*(비지배)당기순이익,,,,,570.4,
수권주식수,"80,000","200,000","200,000","200,000","200,000",0
1주당금액,500,500,500,500,500,0
발행주식수,"48,796","81,315","81,315","35,103","35,103",0
보통주,"48,796","78,007","78,007","33,890","33,890",0
우선주,,"3,308","3,308","1,212","1,212",0
