항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)",전년대비
자산총계,678.4,804.1,800.4,670.2,627.1,-6.4
유동자산,291.4,128.1,121.5,155.0,148.0,-4.5
재고자산,2.8,3.3,3.4,3.0,2.8,-8.0
유동생물자산,,,,,,
당기손익-공정가치측정금융자산,,,,,,
기타포괄손익-공정가치측정금융자산,,,,,,
상각후원가측정유가증권,,,,,,
상각후원가측정금융자산,,,,,,
단기금융자산,166.2,8.7,3.1,2.1,0.5,-74.6
매출채권및기타채권,94.7,101.0,101.6,10.9,9.5,-12.8
당기법인세자산(선급법인세),,,0.0,0.0,0.0,132.9
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타유동자산,2.5,2.3,3.0,2.4,2.2,-6.1
현금및현금성자산,25.3,12.7,10.5,48.5,132.9,174.2
매각예정비유동자산및처분자산,,,,88.2,,
비유동자산,387.0,676.0,679.0,515.2,479.1,-7.0
유형자산,157.4,167.5,191.8,158.9,128.8,-18.9
무형자산,7.2,7.2,9.3,9.3,9.3,0.0
비유동생물자산,,,,,,
투자부동산,130.4,128.9,127.5,38.9,38.5,-1.1
투자자산,73.8,357.9,338.4,278.8,278.9,0.0
장기매출채권및기타채권,18.2,14.5,12.0,8.6,8.4,-2.5
이연법인세자산,,,,,,
장기당기법인세자산,,,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타비유동자산,,,,20.8,15.2,-26.5
기타금융업자산,,,,,,
*순자산1,471.4,618.8,510.0,379.4,359.3,-5.3
*순자산2,464.2,611.7,500.8,370.1,350.0,-5.4
부채총계,207.0,185.3,290.4,290.8,267.8,-7.9
유동부채,153.7,98.9,178.5,87.7,61.6,-29.7
단기사채,,,,,,
단기차입금,,15.8,83.5,,,
유동성장기부채,,,,,,
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
유동금융부채,,,6.1,5.6,5.5,-1.9
매입채무및기타채무,76.3,82.1,87.9,63.1,55.2,-12.5
유동종업원급여충당부채,,,,,,
단기충당부채,,,,,,
당기법인세부채(미지급법인세),77.4,1.1,0.4,,,
계약부채,,,,,0.9,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타유동부채,,,0.5,19.0,,
매각예정으로분류된처분자산에포함된부채,,,,,,
비유동부채,53.3,86.3,111.9,203.1,206.2,1.5
사채,,,,,,
장기차입금,,,,110.0,110.0,0.0
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
비유동금융부채,,,13.3,14.2,9.8,-30.8
장기매입채무및기타채무,,,,,2.0,
비유동종업원급여충당부채,39.6,5.8,23.5,40.1,36.7,-8.3
장기충당부채,,,,,,
이연법인세부채,13.7,80.5,75.1,38.8,47.6,22.6
장기당기법인세부채(미지급법인세),,,,,,
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타비유동부채,,,,,,
기타금융업부채,,,,,,
*이자발생부채,,15.8,102.9,129.8,125.3,-3.5
*순부채,-187.3,3.0,92.5,81.3,-7.7,-109.5
*CAPEX,47.9,41.4,30.9,10.3,0.8,-92.5
자본총계,471.4,618.8,510.0,379.4,359.3,-5.3
지배주주지분,471.4,618.8,510.0,379.4,359.3,-5.3
자본금,71.5,71.5,71.5,71.5,71.5,0.0
신종자본증권,,,,,,
자본잉여금,,,,,,
기타자본,-0.7,-0.7,-0.7,-0.7,-0.7,0.0
기타포괄이익누계액,-0.2,221.3,206.1,159.3,158.9,-0.2
이익잉여금,400.9,326.8,233.2,149.4,129.7,-13.2
*(지배)당기순이익,271.0,-2.1,7.2,-67.6,-5.7,91.6
비지배주주지분,,,,,,
*(비지배)당기순이익,,,,,,
수권주식수,"2,400","2,400","2,400","2,400","2,400",0
1주당금액,"5,000","5,000","5,000","5,000","5,000",0
발행주식수,"1,429","1,429","1,429","1,429","1,429",0
보통주,"1,429","1,429","1,429","1,429","1,429",0
우선주,,,,,,
