항목,"2020/05
(IFRS별도)",2020/11,2021/05,2021/11,전년대비
자산총계,43.7,"3,582.8","11,876.2","14,431.5",21.5
유동자산,43.7,"3,582.8",326.7,318.4,-2.5
재고자산,,,,,
유동생물자산,,,,,
당기손익-공정가치측정금융자산,,,,,
기타포괄손익-공정가치측정금융자산,,,,,
상각후원가측정유가증권,,,,,
상각후원가측정금융자산,,,,,
단기금융자산,,,,,
매출채권및기타채권,,0.0,52.0,19.6,-62.3
당기법인세자산(선급법인세),0.0,0.0,0.1,9.3,"13,336.2"
계약자산,,,,,
반품(환불)자산,,,,,
배출권,,,,,
기타유동자산,0.1,,5.7,54.3,853.3
현금및현금성자산,43.5,"3,582.8",268.9,235.2,-12.6
매각예정비유동자산및처분자산,,,,,
비유동자산,,0.0,"11,549.5","14,113.0",22.2
유형자산,,,,,
무형자산,,0.0,0.0,0.0,0.0
비유동생물자산,,,,,
투자부동산,,,"9,757.4","11,994.3",22.9
투자자산,,,"1,785.8","2,099.7",17.6
장기매출채권및기타채권,,,6.3,19.0,203.8
이연법인세자산,,,,,
장기당기법인세자산,,,,,
계약자산,,,,,
반품(환불)자산,,,,,
배출권,,,,,
기타비유동자산,,,,,
기타금융업자산,,,,,
*순자산1,43.7,"2,392.5","7,106.8","7,043.6",-0.9
*순자산2,43.7,"2,392.4","7,106.8","7,043.5",-0.9
부채총계,,"1,190.4","4,769.4","7,387.9",54.9
유동부채,,"1,190.4",107.5,426.4,296.5
단기사채,,"1,186.6",,,
단기차입금,,,,281.4,
유동성장기부채,,,,,
당기손익-공정가치측정금융부채,,,,,
상각후원가측정금융부채,,,,,
유동금융부채,,,,,
매입채무및기타채무,,3.8,74.5,132.7,78.1
유동종업원급여충당부채,,,,,
단기충당부채,,,,,
당기법인세부채(미지급법인세),,,,,
계약부채,,,,,
반품(환불)부채,,,,,
배출부채,,,,,
기타유동부채,,,33.0,12.3,-62.9
매각예정으로분류된처분자산에포함된부채,,,,,
비유동부채,,,"4,661.9","6,961.5",49.3
사채,,,,,
장기차입금,,,"4,465.7","6,681.4",49.6
당기손익-공정가치측정금융부채,,,,,
상각후원가측정금융부채,,,,,
비유동금융부채,,,,,
장기매입채무및기타채무,,,196.2,250.1,27.5
비유동종업원급여충당부채,,,,,
장기충당부채,,,,,
이연법인세부채,,,,,
장기당기법인세부채(미지급법인세),,,,,
계약부채,,,,,
반품(환불)부채,,,,,
배출부채,,,,,
기타비유동부채,,,,30.0,
기타금융업부채,,,,,
*이자발생부채,,"1,186.6","4,465.7","6,962.9",55.9
*순부채,-43.5,"-2,396.2","4,196.8","6,727.7",60.3
*CAPEX,,,,,
자본총계,43.7,"2,392.5","7,106.8","7,043.6",-0.9
지배주주지분,43.7,"2,392.5","7,106.8","7,008.6",-1.4
자본금,9.0,482.0,"1,432.6","1,432.6",0.0
신종자본증권,,,,,
자본잉여금,35.9,"1,925.4","5,418.5","5,411.0",-0.1
기타자본,,,,,
기타포괄이익누계액,,,,,
이익잉여금,-1.3,-14.9,255.7,164.9,-35.5
*(지배)당기순이익,-1.3,-13.7,54.1,94.9,75.4
비지배주주지분,,,,35.0,
*(비지배)당기순이익,,,,,
수권주식수,"2,000","2,000,000","2,000,000","2,000,000",0
1주당금액,"1,000","1,000","1,000","1,000",0
발행주식수,900,"48,200","143,259","143,259",0
보통주,900,"48,200","143,259","143,259",0
우선주,,,,,
