항목,"2017/12
(GAAP개별)",2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
자산총계,611.7,"2,055.3","3,629.9","19,244.4","47,289.2","51,032.2",145.7,7.9
유동자산,523.5,"1,717.1","2,946.5","13,892.6","20,031.3","22,946.2",44.2,14.6
재고자산,,57.1,129.7,619.6,831.8,,34.3,
유동생물자산,,,,,,,,
당기손익-공정가치측정금융자산,,368.2,,649.9,"6,510.6",,901.7,
기타포괄손익-공정가치측정금융자산,,,,,,,,
상각후원가측정유가증권,,,,,,,,
상각후원가측정금융자산,,,,,,,,
단기금융자산,160.0,102.7,41.6,"7,180.5","3,229.8",,-55.0,
매출채권및기타채권,65.9,513.8,962.0,"1,166.6","1,850.1",,58.6,
당기법인세자산(선급법인세),,,,73.9,19.9,,-73.1,
계약자산,,,,,,,,
반품(환불)자산,,,,37.5,17.5,,-53.3,
배출권,,,,,,,,
기타유동자산,8.2,94.7,205.4,362.1,794.8,,119.5,
현금및현금성자산,289.3,580.6,"1,607.8","3,802.4","6,776.8",,78.2,
매각예정비유동자산및처분자산,,,,,,,,
비유동자산,88.2,338.2,683.4,"5,351.9","27,257.8",,409.3,
유형자산,11.4,87.5,81.8,484.1,868.7,,79.4,
무형자산,2.4,63.3,257.4,"2,883.7","13,300.4",,361.2,
비유동생물자산,,,,,,,,
투자부동산,,,,,,,,
투자자산,15.0,83.2,146.6,337.3,"11,232.2",,"3,229.7",
장기매출채권및기타채권,59.4,,,,,,,
이연법인세자산,,4.6,85.2,136.8,321.9,,135.3,
장기당기법인세자산,,,,,,,,
계약자산,,,,,,,,
반품(환불)자산,,,,,,,,
배출권,,,,,,,,
기타비유동자산,,99.6,112.3,"1,509.9","1,534.6",,1.6,
기타금융업자산,,,,,,,,
*순자산1,405.2,872.6,"1,735.2","11,989.4","28,865.9",,140.8,
*순자산2,402.8,809.3,"1,477.8","9,105.6","15,565.5",,70.9,
부채총계,206.5,"1,182.7","1,894.7","7,255.0","18,423.3","19,711.8",153.9,7.0
유동부채,190.5,"1,054.6","1,745.6","2,962.4","5,866.2","7,458.7",98.0,27.1
단기사채,,,,,,,,
단기차입금,,,,,"1,500.0",,,
유동성장기부채,,,10.1,8.7,148.2,,"1,606.4",
당기손익-공정가치측정금융부채,,,,,,,,
상각후원가측정금융부채,,,,,,,,
유동금융부채,,168.5,104.3,197.2,229.7,,16.5,
매입채무및기타채무,117.9,564.3,853.3,"1,419.2","2,334.7",,64.5,
유동종업원급여충당부채,,,,,,,,
단기충당부채,,0.3,0.7,5.4,0.5,,-90.2,
당기법인세부채(미지급법인세),43.2,132.6,159.5,309.6,477.2,,54.1,
계약부채,,185.5,606.8,930.9,"1,139.7",,22.4,
반품(환불)부채,,3.4,10.9,80.2,35.3,,-56.0,
배출부채,,,,,,,,
기타유동부채,29.4,,,11.2,0.9,,-92.2,
매각예정으로분류된처분자산에포함된부채,,,,,,,,
비유동부채,16.0,128.1,149.1,"4,292.6","12,557.1","12,253.6",192.5,-2.4
사채,,,,,"3,322.7",,,
장기차입금,,,2.1,"2,001.2","5,897.3",,194.7,
당기손익-공정가치측정금융부채,,,,,,,,
상각후원가측정금융부채,,,,,,,,
비유동금융부채,,48.8,28.4,"1,224.2","1,476.2",,20.6,
장기매입채무및기타채무,,,0.0,662.9,895.1,,35.0,
비유동종업원급여충당부채,16.0,29.9,42.9,50.5,38.7,,-23.5,
장기충당부채,,17.5,17.2,100.2,181.9,,81.6,
이연법인세부채,,5.9,0.7,216.3,680.9,,214.8,
장기당기법인세부채(미지급법인세),,,,,,,,
계약부채,,25.9,57.7,37.4,64.5,,72.3,
반품(환불)부채,,,,,,,,
배출부채,,,,,,,,
기타비유동부채,,,,,,,,
기타금융업부채,,,,,,,,
*이자발생부채,,171.4,144.9,"3,431.3","12,259.5",,257.3,
*순부채,-289.3,-827.4,"-1,462.9","-8,079.5","-4,127.9","-3,918.8",48.9,5.1
*CAPEX,14.3,66.1,48.4,394.8,540.3,364.0,36.8,-32.6
자본총계,405.2,872.6,"1,735.2","11,989.4","28,865.9","31,319.8",140.8,8.5
지배주주지분,405.2,872.6,"1,741.8","11,953.3","28,119.3","30,505.0",135.2,8.5
자본금,8.4,7.7,8.3,178.1,206.8,209.1,16.1,1.1
신종자본증권,,,,,,,,
자본잉여금,146.1,"1,996.2","2,134.5","11,323.2","25,443.9",,124.7,
기타자본,14.3,24.7,16.8,16.8,53.3,,217.7,
기타포괄이익누계액,,-0.7,-0.6,-4.7,607.3,,"12,947.4",
이익잉여금,236.4,"-1,155.4",-417.2,440.0,"1,808.0",,310.9,
*(지배)당기순이익,245.7,-704.7,738.2,857.2,"1,368.0",,59.6,
비지배주주지분,,,-6.6,36.0,746.5,,"1,971.1",
*(비지배)당기순이익,,,-14.0,13.4,40.3,,200.9,
수권주식수,"50,000","50,000","50,000","500,000","500,000",,0,
1주당금액,500,500,500,500,500,,0,
발행주식수,"1,670","1,546","1,670","35,624","41,353",,16,
보통주,"1,050","1,546","1,670","35,624","41,353",,16,
우선주,620,,,,,,,
