항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)",전년대비
자산총계,883.2,886.7,809.2,"1,011.8","1,450.3",43.3
유동자산,400.1,416.2,350.4,481.9,880.1,82.6
재고자산,163.8,172.2,160.8,174.9,222.1,27.0
유동생물자산,,,,,,
당기손익-공정가치측정금융자산,,,,,,
기타포괄손익-공정가치측정금융자산,,,,,,
상각후원가측정유가증권,,,,,,
상각후원가측정금융자산,,,,,,
단기금융자산,1.6,,,,,
매출채권및기타채권,172.1,156.4,124.9,183.4,168.1,-8.4
당기법인세자산(선급법인세),3.1,3.2,0.1,0.0,0.1,455.9
계약자산,,,,,,
반품(환불)자산,,7.4,5.7,6.1,5.8,-4.1
배출권,,,,,,
기타유동자산,0.9,0.8,0.8,18.0,126.1,599.0
현금및현금성자산,58.6,76.2,58.1,99.5,357.9,259.8
매각예정비유동자산및처분자산,,,,,,
비유동자산,483.1,470.5,458.8,529.9,570.2,7.6
유형자산,264.9,257.9,249.4,272.2,418.4,53.7
무형자산,0.2,0.3,0.7,7.3,5.4,-26.9
비유동생물자산,,,,,,
투자부동산,210.0,206.9,203.9,214.6,72.0,-66.5
투자자산,6.2,3.7,4.9,10.3,49.3,377.1
장기매출채권및기타채권,1.7,1.7,0.0,22.1,22.7,2.6
이연법인세자산,,,,,,
장기당기법인세자산,,,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타비유동자산,,,,3.3,2.5,-25.4
기타금융업자산,,,,,,
*순자산1,269.4,292.3,263.6,274.2,690.3,151.8
*순자산2,269.2,292.0,263.0,266.8,684.9,156.7
부채총계,613.8,594.5,545.6,737.6,760.0,3.0
유동부채,528.6,501.7,448.6,613.2,671.9,9.6
단기사채,,,,157.4,185.5,17.9
단기차입금,471.3,414.5,381.2,385.2,419.8,9.0
유동성장기부채,5.1,5.1,,,8.0,
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
유동금융부채,,,,0.2,0.2,0.0
매입채무및기타채무,50.7,73.8,61.3,63.8,51.5,-19.3
유동종업원급여충당부채,,,,,,
단기충당부채,,7.8,,,,
당기법인세부채(미지급법인세),,,,,,
계약부채,,,,,,
반품(환불)부채,,,5.9,6.5,6.2,-4.2
배출부채,,0.4,,,,
기타유동부채,1.5,0.1,0.1,0.1,0.7,"1,030.1"
매각예정으로분류된처분자산에포함된부채,,,,,,
비유동부채,85.2,92.7,97.0,124.4,88.1,-29.2
사채,,,,15.2,,
장기차입금,5.1,,8.0,8.0,,
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
비유동금융부채,,,,0.5,0.4,-30.7
장기매입채무및기타채무,,,,,,
비유동종업원급여충당부채,69.1,82.2,76.0,85.8,72.1,-16.1
장기충당부채,,,,,,
이연법인세부채,10.9,10.5,13.0,14.9,15.6,5.2
장기당기법인세부채(미지급법인세),,,,,,
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타비유동부채,,,,,,
기타금융업부채,,,,,,
*이자발생부채,481.6,419.7,389.2,566.5,613.9,8.4
*순부채,421.5,343.5,331.1,467.0,256.0,-45.2
*CAPEX,18.6,26.1,16.4,62.2,34.5,-44.6
자본총계,269.4,292.3,263.6,274.2,690.3,151.8
지배주주지분,269.4,292.3,263.6,274.2,690.3,151.8
자본금,135.7,135.7,135.7,135.7,252.7,86.2
신종자본증권,,,,,,
자본잉여금,36.8,50.4,50.4,59.7,376.4,530.7
기타자본,-9.5,-1.0,-1.0,-1.0,-1.0,0.0
기타포괄이익누계액,156.8,156.8,156.7,156.1,153.5,-1.7
이익잉여금,-50.4,-49.7,-78.2,-76.2,-91.2,-19.7
*(지배)당기순이익,48.7,7.6,-35.1,6.5,-30.4,-566.3
비지배주주지분,,,,,,
*(비지배)당기순이익,,,,,,
수권주식수,"100,000","100,000","100,000","100,000","100,000",0
1주당금액,500,500,500,500,500,0
발행주식수,"27,135","27,135","27,135","27,135","50,535",86
보통주,"27,135","27,135","27,135","27,135","50,535",86
우선주,,,,,,
