항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)",전년대비
자산총계,"1,202.2","1,265.2","1,273.4","1,353.3","1,333.9",-1.4
유동자산,351.7,411.4,383.0,463.1,512.2,10.6
재고자산,175.6,222.5,224.1,277.4,167.5,-39.6
유동생물자산,,,,,,
당기손익-공정가치측정금융자산,,,,,,
기타포괄손익-공정가치측정금융자산,,123.1,128.3,155.8,298.9,91.9
상각후원가측정유가증권,,,,,,
상각후원가측정금융자산,,,,,,
단기금융자산,,0.0,,,0.3,
매출채권및기타채권,165.7,52.4,26.2,23.1,28.3,22.6
당기법인세자산(선급법인세),,,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타유동자산,6.4,2.6,2.6,2.6,2.7,3.4
현금및현금성자산,4.0,10.8,1.7,4.3,1.1,-74.3
매각예정비유동자산및처분자산,,,,,13.5,
비유동자산,850.4,853.7,890.5,890.3,821.7,-7.7
유형자산,740.5,730.0,756.6,734.3,579.5,-21.1
무형자산,4.6,3.6,2.9,1.9,1.6,-12.1
비유동생물자산,,,,,,
투자부동산,,,,,65.4,
투자자산,105.3,120.1,131.0,154.1,175.1,13.6
장기매출채권및기타채권,,,,,,
이연법인세자산,,,,,,
장기당기법인세자산,,,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타비유동자산,,,,,,
기타금융업자산,,,,,,
*순자산1,600.5,617.7,643.5,658.6,671.1,1.9
*순자산2,596.0,614.1,640.6,656.7,669.5,1.9
부채총계,601.6,647.5,629.9,694.7,662.8,-4.6
유동부채,544.2,589.2,574.0,437.3,407.7,-6.8
단기사채,,,,,,
단기차입금,289.8,383.7,357.1,174.7,94.0,-46.2
유동성장기부채,,,,,,
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
유동금융부채,0.6,0.3,1.2,7.7,0.1,-99.0
매입채무및기타채무,245.4,202.8,209.4,251.5,311.6,23.9
유동종업원급여충당부채,,,,,,
단기충당부채,,,,,,
당기법인세부채(미지급법인세),7.5,1.4,5.2,2.0,0.9,-55.6
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타유동부채,0.9,1.0,1.1,1.3,1.1,-15.2
매각예정으로분류된처분자산에포함된부채,,,,,,
비유동부채,57.4,58.3,56.0,257.4,255.1,-0.9
사채,,,,199.5,199.7,0.1
장기차입금,,,,,,
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
비유동금융부채,,,,,,
장기매입채무및기타채무,2.5,2.5,2.2,1.9,2.0,3.3
비유동종업원급여충당부채,8.2,7.6,2.9,2.1,1.0,-52.9
장기충당부채,,,,,,
이연법인세부채,46.7,48.2,50.8,53.9,52.4,-2.8
장기당기법인세부채(미지급법인세),,,,,,
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타비유동부채,,,,,,
기타금융업부채,,,,,,
*이자발생부채,289.8,383.7,357.1,374.2,293.7,-21.5
*순부채,285.9,249.9,227.1,214.2,-6.2,-102.9
*CAPEX,110.2,86.0,86.5,44.6,38.2,-14.2
자본총계,600.5,617.7,643.5,658.6,671.1,1.9
지배주주지분,600.5,617.7,643.5,658.6,671.1,1.9
자본금,180.7,180.7,180.7,180.7,180.7,0.0
신종자본증권,,,,,,
자본잉여금,,,,,,
기타자본,,,,,,
기타포괄이익누계액,-6.8,-9.2,0.2,-6.1,-6.7,-10.2
이익잉여금,426.6,446.2,462.7,484.0,497.1,2.7
*(지배)당기순이익,45.9,21.5,18.3,21.1,22.0,4.7
비지배주주지분,,,,,,
*(비지배)당기순이익,,,,,,
수권주식수,"100,000","100,000","100,000","100,000","100,000",0
1주당금액,500,500,500,500,500,0
발행주식수,"36,131","36,131","36,131","36,131","36,131",0
보통주,"35,931","35,931","35,931","35,931","35,931",0
우선주,200,200,200,200,200,0
