항목,2017/12,"2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)",전년대비
자산총계,676.6,708.2,774.8,919.9,943.9,2.6
유동자산,218.2,273.2,300.1,401.0,420.5,4.9
재고자산,66.6,74.7,110.3,154.9,217.5,40.4
유동생물자산,,,,,,
당기손익-공정가치측정금융자산,,10.3,13.1,14.7,16.1,9.8
기타포괄손익-공정가치측정금융자산,,,,,,
상각후원가측정유가증권,,,,,,
상각후원가측정금융자산,,,,,,
단기금융자산,1.2,3.1,0.8,0.8,0.5,-37.5
매출채권및기타채권,107.9,165.9,168.8,204.9,173.2,-15.5
당기법인세자산(선급법인세),0.3,0.0,0.0,0.0,0.0,-2.7
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타유동자산,4.1,2.9,3.6,2.2,5.5,152.0
현금및현금성자산,38.0,16.2,3.5,23.5,7.6,-67.5
매각예정비유동자산및처분자산,,,,,,
비유동자산,458.4,435.0,474.8,518.9,523.5,0.9
유형자산,405.2,370.2,400.5,450.8,459.3,1.9
무형자산,18.1,17.4,33.1,37.3,34.1,-8.5
비유동생물자산,,,,,,
투자부동산,9.7,9.7,9.7,9.7,9.7,0.0
투자자산,5.5,18.5,12.8,11.6,12.8,10.1
장기매출채권및기타채권,,,,,,
이연법인세자산,19.7,19.2,18.6,9.5,7.5,-20.4
장기당기법인세자산,,,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타비유동자산,,,,,,
기타금융업자산,,,,,,
*순자산1,381.2,393.0,369.4,349.2,349.6,0.1
*순자산2,363.1,375.6,336.2,312.0,315.5,1.1
부채총계,295.4,315.2,405.5,570.7,594.3,4.1
유동부채,221.0,264.2,344.6,482.1,510.5,5.9
단기사채,,,,,,
단기차입금,28.8,51.1,167.4,258.4,267.4,3.5
유동성장기부채,92.1,94.3,16.2,11.2,11.0,-2.2
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
유동금융부채,6.0,0.8,1.4,0.6,0.4,-40.2
매입채무및기타채무,92.9,115.9,157.6,209.7,228.9,9.2
유동종업원급여충당부채,,,,,,
단기충당부채,,,,,,
당기법인세부채(미지급법인세),,,,,,
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타유동부채,1.3,2.1,2.1,2.2,2.7,25.2
매각예정으로분류된처분자산에포함된부채,,,,,,
비유동부채,74.3,51.0,60.8,88.6,83.8,-5.3
사채,,,,,,
장기차입금,57.4,30.1,41.9,69.6,60.6,-12.9
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
비유동금융부채,,,,0.1,0.4,161.5
장기매입채무및기타채무,,,,,,
비유동종업원급여충당부채,16.9,20.9,19.0,18.8,22.8,21.4
장기충당부채,,,,,,
이연법인세부채,,,,,,
장기당기법인세부채(미지급법인세),,,,,,
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타비유동부채,,,,,,
기타금융업부채,,,,,,
*이자발생부채,178.3,175.5,225.8,339.3,339.1,-0.1
*순부채,140.2,149.0,209.2,301.1,315.3,4.8
*CAPEX,49.1,21.4,64.2,68.9,42.6,-38.1
자본총계,381.2,393.0,369.4,349.2,349.6,0.1
지배주주지분,381.2,393.0,369.4,349.2,349.6,0.1
자본금,238.2,238.2,238.2,238.2,238.2,0.0
신종자본증권,,,,,,
자본잉여금,58.3,55.9,55.9,55.9,55.9,0.0
기타자본,,,,,,
기타포괄이익누계액,62.4,62.7,63.1,80.5,81.3,1.1
이익잉여금,22.3,36.2,12.2,-25.4,-25.8,-1.8
*(지배)당기순이익,29.1,11.5,-24.8,-36.3,-0.4,98.9
비지배주주지분,,,,,,
*(비지배)당기순이익,,,,,,
수권주식수,"800,000","800,000","800,000","800,000","800,000",0
1주당금액,500,500,500,500,500,0
발행주식수,"47,646","47,646","47,646","47,646","47,646",0
보통주,"47,646","47,646","47,646","47,646","47,646",0
우선주,,,,,,
