항목,"2020/11
(IFRS별도)","2021/05
(IFRS별도)","2021/11
(IFRS별도)",전년대비
자산총계,"10,408.1","10,532.3","9,875.2",-6.2
유동자산,252.2,"1,305.8",773.1,-40.8
재고자산,,,,
유동생물자산,,,,
당기손익-공정가치측정금융자산,,,,
기타포괄손익-공정가치측정금융자산,,,,
상각후원가측정유가증권,,,,
상각후원가측정금융자산,,,,
단기금융자산,,,,
매출채권및기타채권,7.0,8.4,9.9,17.4
당기법인세자산(선급법인세),0.0,0.1,0.2,119.2
계약자산,,,,
반품(환불)자산,,,,
배출권,,,,
기타유동자산,10.4,0.5,11.4,"2,187.6"
현금및현금성자산,234.7,382.1,646.0,69.1
매각예정비유동자산및처분자산,,914.7,105.6,-88.5
비유동자산,"10,155.9","9,226.5","9,102.1",-1.4
유형자산,,,,
무형자산,,,,
비유동생물자산,,,,
투자부동산,"10,155.9","9,226.5","9,102.1",-1.4
투자자산,,,,
장기매출채권및기타채권,,,,
이연법인세자산,,,,
장기당기법인세자산,,,,
계약자산,,,,
반품(환불)자산,,,,
배출권,,,,
기타비유동자산,,,,
기타금융업자산,,,,
*순자산1,"3,526.8","3,528.0","3,614.4",2.5
*순자산2,"3,526.8","3,528.0","3,614.4",2.5
부채총계,"6,881.3","7,004.3","6,260.8",-10.6
유동부채,121.4,240.3,159.4,-33.7
단기사채,,,,
단기차입금,,,,
유동성장기부채,,,,
당기손익-공정가치측정금융부채,,,,
상각후원가측정금융부채,,,,
유동금융부채,,,,
매입채무및기타채무,69.9,76.8,94.4,23.0
유동종업원급여충당부채,,,,
단기충당부채,,,,
당기법인세부채(미지급법인세),,,,
계약부채,,,,
반품(환불)부채,,,,
배출부채,,,,
기타유동부채,51.5,163.6,65.0,-60.3
매각예정으로분류된처분자산에포함된부채,,,,
비유동부채,"6,759.9","6,764.0","6,101.4",-9.8
사채,,,,
장기차입금,"5,861.9","5,865.8","5,293.1",-9.8
당기손익-공정가치측정금융부채,,,,
상각후원가측정금융부채,,,,
비유동금융부채,,,,
장기매입채무및기타채무,666.7,680.5,624.4,-8.2
비유동종업원급여충당부채,,,,
장기충당부채,,,,
이연법인세부채,,,,
장기당기법인세부채(미지급법인세),,,,
계약부채,,,,
반품(환불)부채,,,,
배출부채,,,,
기타비유동부채,231.3,217.7,183.9,-15.5
기타금융업부채,,,,
*이자발생부채,"5,861.9","5,865.8","5,293.1",-9.8
*순부채,"5,627.2","5,483.7","4,647.0",-15.3
*CAPEX,"10,174.8",1.2,3.2,174.3
자본총계,"3,526.8","3,528.0","3,614.4",2.5
지배주주지분,"3,526.8","3,528.0","3,614.4",2.5
자본금,348.1,348.1,348.1,0.0
신종자본증권,,,,
자본잉여금,"3,107.1","3,107.1","3,107.1",0.0
기타자본,,,,
기타포괄이익누계액,,,,
이익잉여금,71.6,72.8,159.2,118.8
*(지배)당기순이익,71.6,92.9,202.5,118.0
비지배주주지분,,,,
*(비지배)당기순이익,,,,
수권주식수,"2,000,000","2,000,000","2,000,000",0
1주당금액,500,500,500,0
발행주식수,"69,620","69,620","69,620",0
보통주,"69,620","69,620","69,620",0
우선주,,,,
