항목,2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
자산총계,"34,325.1","40,008.3","37,034.5","40,227.0","41,347.0",8.6,2.8
유동자산,"14,926.4","15,790.1","12,384.1","15,615.6","16,126.0",26.1,3.3
재고자산,"3,327.4","3,060.2","3,189.7","4,131.3",,29.5,
유동생물자산,,,,,,,
당기손익-공정가치측정금융자산,,8.5,,200.0,,,
기타포괄손익-공정가치측정금융자산,,,6.3,0.1,,-98.1,
상각후원가측정유가증권,,,,,,,
상각후원가측정금융자산,,,,,,,
단기금융자산,99.5,217.5,165.8,331.5,,100.0,
매출채권및기타채권,"10,193.2","10,891.1","7,568.6","8,911.7",,17.8,
당기법인세자산(선급법인세),12.8,27.1,26.3,64.8,,146.0,
계약자산,,,,,,,
반품(환불)자산,,,,,,,
배출권,,,,,,,
기타유동자산,883.6,"1,203.6",904.4,"1,166.0",,28.9,
현금및현금성자산,409.8,382.2,522.9,810.1,,54.9,
매각예정비유동자산및처분자산,,,,,,,
비유동자산,"19,398.8","24,218.2","24,650.5","24,611.4",,-0.2,
유형자산,"10,776.3","10,772.3","11,349.1","12,561.5",,10.7,
무형자산,127.3,"1,606.0","1,459.2","1,479.4",,1.4,
비유동생물자산,,,,,,,
투자부동산,"1,438.2","5,681.1","5,473.4","4,410.2",,-19.4,
투자자산,"4,711.5","4,058.7","4,172.0","4,072.7",,-2.4,
장기매출채권및기타채권,"1,687.7","1,541.9","1,436.3","1,428.0",,-0.6,
이연법인세자산,624.1,511.1,634.5,588.0,,-7.3,
장기당기법인세자산,,,,,,,
계약자산,,,,,,,
반품(환불)자산,,,,,,,
배출권,,,,,,,
기타비유동자산,33.8,47.0,125.9,71.6,,-43.1,
기타금융업자산,,,,,,,
*순자산1,"9,047.1","9,905.0","9,682.5","10,371.4",,7.1,
*순자산2,"8,919.8","8,299.0","8,223.3","8,892.0",,8.1,
부채총계,"25,278.0","30,103.3","27,352.0","29,855.6","30,199.3",9.2,1.1
유동부채,"19,993.2","21,168.0","17,400.4","19,440.1","19,765.0",11.7,1.7
단기사채,,,,,,,
단기차입금,"5,728.0","8,223.1","3,481.6","3,448.0",,-1.0,
유동성장기부채,"1,739.4","1,428.0","2,505.4","2,858.4",,14.1,
당기손익-공정가치측정금융부채,,,,,,,
상각후원가측정금융부채,,,,,,,
유동금융부채,25.7,150.7,177.6,256.4,,44.4,
매입채무및기타채무,"10,696.7","8,498.8","8,243.8","9,129.1",,10.7,
유동종업원급여충당부채,,,,,,,
단기충당부채,94.7,108.5,239.8,208.8,,-12.9,
당기법인세부채(미지급법인세),200.6,190.0,59.3,18.1,,-69.5,
계약부채,,,,,,,
반품(환불)부채,,,,,,,
배출부채,,,,,,,
기타유동부채,"1,508.1","2,569.0","2,692.9","3,521.2",,30.8,
매각예정으로분류된처분자산에포함된부채,,,,,,,
비유동부채,"5,284.8","8,935.3","9,951.6","10,415.5","10,434.0",4.7,0.2
사채,986.4,"3,732.2","1,802.0","1,492.8",,-17.2,
장기차입금,"2,154.2",939.3,"3,956.0","4,820.0",,21.8,
당기손익-공정가치측정금융부채,,,,,,,
상각후원가측정금융부채,,,,,,,
비유동금융부채,11.1,56.7,164.1,43.8,,-73.3,
장기매입채무및기타채무,"1,254.6","2,389.9","2,378.4","2,367.5",,-0.5,
비유동종업원급여충당부채,42.0,102.0,114.9,226.3,,96.9,
장기충당부채,736.8,"1,463.1","1,324.5","1,290.2",,-2.6,
이연법인세부채,,,,,,,
장기당기법인세부채(미지급법인세),,,,,,,
계약부채,,,,,,,
반품(환불)부채,,,,,,,
배출부채,,,,,,,
기타비유동부채,99.9,252.1,211.7,174.9,,-17.4,
기타금융업부채,,,,,,,
*이자발생부채,"10,608.0","14,474.3","11,957.7","12,786.6",,6.9,
*순부채,"10,149.7","14,014.1","11,347.8","11,668.9","11,586.7",2.8,-0.7
*CAPEX,217.2,111.3,891.8,410.9,651.0,-53.9,58.5
자본총계,"9,047.1","9,905.0","9,682.5","10,371.4","11,147.7",7.1,7.5
지배주주지분,"9,045.2","9,082.4","8,835.8","9,322.2","10,065.0",5.5,8.0
자본금,466.2,466.2,466.2,466.2,467.3,0.0,0.2
신종자본증권,,,,,,,
자본잉여금,"8,924.9","8,924.5","8,924.5","8,924.5",,0.0,
기타자본,-7.1,-7.1,-7.1,-7.3,,-2.7,
기타포괄이익누계액,-302.5,-285.0,-351.3,-351.0,,0.1,
이익잉여금,-36.4,-16.1,-196.5,289.9,,247.5,
*(지배)당기순이익,19.0,131.4,-222.1,576.1,,359.3,
비지배주주지분,1.9,822.5,846.7,"1,049.2",,23.9,
*(비지배)당기순이익,0.1,28.8,29.6,189.1,,539.6,
수권주식수,"200,000","200,000","200,000","200,000",,0,
1주당금액,"5,000","5,000","5,000","5,000",,0,
발행주식수,"9,325","9,325","9,325","9,325",,0,
보통주,"9,325","9,325","9,325","9,325",,0,
우선주,,,,,,,
