항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)",전년대비
자산총계,698.6,717.7,841.8,776.6,765.5,-1.4
유동자산,389.9,416.7,508.7,457.1,463.4,1.4
재고자산,75.6,77.9,68.1,57.7,73.5,27.4
유동생물자산,,,,,,
당기손익-공정가치측정금융자산,,,,,,
기타포괄손익-공정가치측정금융자산,,,,,,
상각후원가측정유가증권,,,,,,
상각후원가측정금융자산,,,,,,
단기금융자산,135.9,103.6,216.3,20.3,23.1,13.7
매출채권및기타채권,171.6,215.4,191.8,261.8,147.2,-43.8
당기법인세자산(선급법인세),,,0.3,0.3,0.2,-40.9
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타유동자산,1.6,1.9,0.6,0.4,0.7,107.7
현금및현금성자산,5.2,17.9,31.6,116.6,218.6,87.5
매각예정비유동자산및처분자산,,,,,,
비유동자산,308.7,301.0,333.1,319.5,302.1,-5.4
유형자산,161.4,165.7,228.0,207.1,184.7,-10.8
무형자산,4.6,5.2,6.4,7.6,18.7,147.0
비유동생물자산,,,,,,
투자부동산,,,,,,
투자자산,122.7,109.3,72.1,79.6,53.1,-33.3
장기매출채권및기타채권,9.6,9.8,8.8,9.1,9.4,3.3
이연법인세자산,10.4,11.1,17.8,16.1,36.2,124.0
장기당기법인세자산,,,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타비유동자산,,,,,,
기타금융업자산,,,,,,
*순자산1,475.0,502.9,480.3,442.7,429.9,-2.9
*순자산2,470.4,497.6,473.9,435.1,411.1,-5.5
부채총계,223.6,214.9,361.6,333.9,335.6,0.5
유동부채,169.9,198.6,269.7,242.6,238.7,-1.6
단기사채,,,,,,
단기차입금,40.0,40.0,140.0,110.0,120.0,9.1
유동성장기부채,14.0,39.5,14.0,30.0,5.0,-83.3
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
유동금융부채,,,9.8,9.6,9.8,1.9
매입채무및기타채무,113.6,116.5,100.2,89.1,97.5,9.5
유동종업원급여충당부채,,,,,,
단기충당부채,,,,,,
당기법인세부채(미지급법인세),1.0,1.3,,,,
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타유동부채,1.3,1.3,5.8,4.0,6.4,60.3
매각예정으로분류된처분자산에포함된부채,,,,,,
비유동부채,53.7,16.3,91.8,91.2,96.9,6.2
사채,,,,,,
장기차입금,43.5,4.0,32.5,42.5,56.3,32.4
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
비유동금융부채,,,50.9,42.6,32.8,-22.9
장기매입채무및기타채무,,,,,,
비유동종업원급여충당부채,10.2,12.3,8.5,6.1,6.0,-1.7
장기충당부채,,,,,1.8,
이연법인세부채,,,,,,
장기당기법인세부채(미지급법인세),,,,,,
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타비유동부채,,,,,,
기타금융업부채,,,,,,
*이자발생부채,97.5,83.5,247.2,234.7,223.8,-4.6
*순부채,92.3,-38.0,-0.7,97.8,-14.8,-115.1
*CAPEX,25.8,20.2,20.0,8.3,4.0,-51.5
자본총계,475.0,502.9,480.3,442.7,429.9,-2.9
지배주주지분,475.0,502.9,480.3,442.7,429.9,-2.9
자본금,22.7,22.7,22.7,22.7,22.7,0.0
신종자본증권,,,,,,
자본잉여금,149.9,149.9,149.9,149.9,149.9,0.0
기타자본,-14.6,-14.6,-14.6,-14.6,-14.6,0.0
기타포괄이익누계액,0.0,3.3,3.3,6.1,4.9,-19.5
이익잉여금,317.0,341.5,319.0,278.6,267.0,-4.2
*(지배)당기순이익,44.3,33.2,-14.9,-40.2,-12.0,70.1
비지배주주지분,,,,,,
*(비지배)당기순이익,,,,,,
수권주식수,"69,100","69,100","69,100","69,100","69,100",0
1주당금액,500,500,500,500,500,0
발행주식수,"4,532","4,532","4,532","4,532","4,532",0
보통주,"4,532","4,532","4,532","4,532","4,532",0
우선주,,,,,,
