항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)",전년대비
자산총계,"3,010.3","3,015.4","2,820.6","2,497.8","2,396.7",-4.0
유동자산,704.6,799.4,727.5,667.4,774.4,16.0
재고자산,326.3,331.9,334.9,281.4,367.0,30.4
유동생물자산,,,,,,
당기손익-공정가치측정금융자산,,21.1,,,,
기타포괄손익-공정가치측정금융자산,,,,,,
상각후원가측정유가증권,,,,,,
상각후원가측정금융자산,,,,,,
단기금융자산,42.7,0.1,0.1,0.1,,
매출채권및기타채권,290.0,401.2,295.1,335.3,364.9,8.8
당기법인세자산(선급법인세),0.2,0.3,,0.0,0.0,-92.0
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타유동자산,45.4,44.7,39.7,43.1,42.2,-2.0
현금및현금성자산,0.0,0.1,0.1,7.6,0.2,-96.9
매각예정비유동자산및처분자산,,,57.5,,,
비유동자산,"2,305.7","2,216.0","2,093.2","1,830.4","1,622.3",-11.4
유형자산,"2,240.7","1,484.5","1,386.9","1,328.0","1,293.8",-2.6
무형자산,6.5,6.6,1.5,1.1,5.9,454.1
비유동생물자산,,,,,,
투자부동산,,718.8,583.5,391.1,225.7,-42.3
투자자산,56.5,4.2,0.7,0.8,0.8,0.8
장기매출채권및기타채권,2.0,2.0,2.0,2.0,,
이연법인세자산,,,,,,
장기당기법인세자산,,,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타비유동자산,,,118.6,107.5,96.1,-10.6
기타금융업자산,,,,,,
*순자산1,667.5,523.7,300.7,266.4,231.7,-13.0
*순자산2,661.0,517.1,299.2,265.3,225.8,-14.9
부채총계,"2,342.8","2,491.7","2,519.9","2,231.4","2,165.0",-3.0
유동부채,"1,460.6","1,666.2","1,654.3","1,476.0","1,762.3",19.4
단기사채,,90.4,88.9,65.4,65.0,-0.6
단기차입금,495.6,758.2,754.2,670.2,744.8,11.1
유동성장기부채,402.1,131.9,195.1,214.6,294.8,37.4
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
유동금융부채,,0.1,,,,
매입채무및기타채무,559.9,671.4,581.3,510.7,642.6,25.8
유동종업원급여충당부채,,,,,,
단기충당부채,,11.6,12.7,8.8,5.4,-38.6
당기법인세부채(미지급법인세),,,3.5,,,
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타유동부채,3.0,2.6,18.7,6.3,9.8,55.1
매각예정으로분류된처분자산에포함된부채,,,,,,
비유동부채,882.2,825.5,865.6,755.5,402.7,-46.7
사채,49.0,17.5,,,,
장기차입금,716.9,679.9,688.4,607.8,247.7,-59.3
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
비유동금융부채,,,66.5,34.3,20.4,-40.5
장기매입채무및기타채무,0.1,0.1,0.1,0.6,,
비유동종업원급여충당부채,85.1,98.8,110.6,105.6,108.1,2.3
장기충당부채,,,,,,
이연법인세부채,31.1,29.2,,7.2,26.5,266.6
장기당기법인세부채(미지급법인세),,,,,,
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타비유동부채,,,,,,
기타금융업부채,,,,,,
*이자발생부채,"1,663.7","1,677.9","1,793.1","1,592.2","1,372.6",-13.8
*순부채,"1,621.0","1,656.6","1,792.9","1,584.5","1,372.4",-13.4
*CAPEX,124.4,105.1,78.2,48.9,38.5,-21.3
자본총계,667.5,523.7,300.7,266.4,231.7,-13.0
지배주주지분,667.5,523.7,300.7,266.4,231.7,-13.0
자본금,134.1,211.7,212.0,284.2,329.9,16.1
신종자본증권,,,,,,
자본잉여금,212.9,241.9,237.8,261.4,267.1,2.2
기타자본,,,,,,
기타포괄이익누계액,278.0,247.5,231.2,231.2,260.1,12.5
이익잉여금,42.5,-177.4,-380.3,-510.5,-625.4,-22.5
*(지배)당기순이익,-100.8,-213.2,-215.9,-134.4,-117.4,12.6
비지배주주지분,,,,,,
*(비지배)당기순이익,,,,,,
수권주식수,"50,000","100,000","100,000","100,000","1,500,000","1,400"
1주당금액,500,500,500,500,500,0
발행주식수,"26,825","42,350","42,398","56,850","65,974",16
보통주,"26,825","42,350","42,398","56,850","65,974",16
우선주,,,,,,
