항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)",전년대비
자산,"17,167.4","18,446.8","18,221.8","19,677.1","16,334.0",-17.0
현금및예치금,"1,436.4","1,468.8","1,556.2","2,411.3","2,705.3",12.2
당기손익인식(지정)금융자산,,,,,,
당기손익-공정가치측정금융자산,,"15,097.2","14,746.8","14,216.2","9,828.9",-30.9
파생결합증권,,,,,,
단기매매금융자산,"13,673.6",,,,,
매매목적파생상품자산,4.8,0.9,7.4,50.3,99.3,97.2
파생상품,,,,,,
매도가능금융자산,"1,031.9",,,,,
기타포괄손익-공정가치측정금융자산,,990.0,"1,071.7","1,339.5","1,471.5",9.8
만기보유금융자산,55.5,,,,,
상각후원가측정유가증권,,,,,,
관계기업등지분관련투자자산,,,,,,
기타유가증권,,,,,,
상각후원가측정금융자산,,,,,,
대출채권,413.9,368.7,372.2,937.0,"1,350.5",44.1
CMA(어음관리계좌)운용자산,,,,,,
기타금융업자산,,,,,,
유형자산,154.6,166.3,209.3,199.1,201.3,1.1
리스자산,,,0.3,0.9,7.4,730.8
영업권,,,,,,
무형자산,18.5,13.4,13.4,13.1,12.9,-1.7
투자부동산,8.8,8.4,8.0,7.5,7.1,-5.5
비업무용자산,,,,,,
이연법인세자산,,,,,,
당기법인세자산(선급법인세),16.7,30.3,,,,
기타자산,352.8,302.7,236.6,502.0,649.9,29.5
부채,"14,478.3","15,748.2","15,274.7","16,166.4","12,010.5",-25.7
당기손익인식(지정)금융부채,,,,,,
당기손익-공정가치측정금융부채,,,,,,
매도파생결합증권,,,,,,
단기매매금융부채,,,,,,
매도유가증권,"4,984.3","4,944.8","4,271.7","2,554.9","1,805.5",-29.3
매매목적파생상품부채,6.9,1.0,1.7,25.1,39.1,56.2
파생상품,,,,,,
예수부채,"1,114.9",886.0,866.8,"1,056.1","1,255.3",18.9
차입부채,"7,730.5","9,313.9","9,405.0","11,052.8","6,982.8",-36.8
기타금융업부채,,,,,,
비유동종업원급여충당부채,92.0,82.6,88.9,100.7,109.1,8.3
기타충당부채,0.2,0.2,,,0.4,
이연법인세부채,175.8,176.9,201.6,266.1,41.0,-84.6
당기법인세부채(미지급법인세),,,2.2,126.4,355.8,181.6
기타부채,373.7,342.7,436.7,984.4,"1,421.5",44.4
자본,"2,689.1","2,698.5","2,947.1","3,510.7","4,323.4",23.1
지배주주지분,"2,689.1","2,698.5","2,947.1","3,510.7","4,323.4",23.1
비지배주주지분,,,,,,
*(비지배)당기순이익,,,,,,
수권주식수,"40,000","40,000","40,000","40,000","40,000",0
1주당금액,"5,000","5,000","5,000","5,000","5,000",0
발행주식수,"13,254","13,254","13,254","13,254","13,254",0
보통주,"12,729","12,729","12,729","12,729","12,729",0
우선주,525,525,525,525,525,0
