항목,"2017/12
(IFRS별도)",2018/12,2019/12,2020/12,2021/12,전년대비
자산총계,"3,894.3","3,478.0","3,653.1","3,402.1","3,605.8",6.0
유동자산,"2,127.9","1,708.9","1,704.6","1,470.0","1,664.0",13.2
재고자산,3.2,3.2,4.8,5.7,6.7,16.1
유동생물자산,,,,,,
당기손익-공정가치측정금융자산,,7.8,45.6,49.1,54.8,11.5
기타포괄손익-공정가치측정금융자산,,,,,,
상각후원가측정유가증권,,,,,,
상각후원가측정금융자산,,,,,,
단기금융자산,38.0,0.4,0.5,0.4,6.6,"1,567.2"
매출채권및기타채권,"1,215.6","1,188.3","1,105.6",980.1,"1,088.1",11.0
당기법인세자산(선급법인세),,,,,1.7,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타유동자산,1.1,1.3,1.3,2.1,0.3,-83.7
현금및현금성자산,870.0,507.9,544.9,432.6,505.7,16.9
매각예정비유동자산및처분자산,,,1.9,,,
비유동자산,"1,766.4","1,769.2","1,948.5","1,932.1","1,941.8",0.5
유형자산,"1,707.0","1,714.3","1,736.4","1,761.7","1,766.1",0.3
무형자산,36.0,31.1,25.7,11.9,14.1,18.1
비유동생물자산,,,,,,
투자부동산,,,,,,
투자자산,18.8,20.1,15.8,15.0,17.7,18.4
장기매출채권및기타채권,,3.6,3.0,1.5,0.5,-67.0
이연법인세자산,,0.0,0.0,0.1,,
장기당기법인세자산,,,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타비유동자산,4.6,,167.6,141.9,143.4,1.1
기타금융업자산,,,,,,
*순자산1,"1,710.3","1,800.6","1,849.7","1,916.7","1,914.0",-0.1
*순자산2,"1,674.3","1,769.4","1,824.0","1,904.8","1,899.9",-0.3
부채총계,"2,184.0","1,677.4","1,803.5","1,485.4","1,691.8",13.9
유동부채,"1,510.3",959.8,928.4,586.5,872.5,48.8
단기사채,,,,,,
단기차입금,,,,,,
유동성장기부채,15.5,12.4,18.3,18.0,9.7,-45.7
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
유동금융부채,,,19.7,19.5,20.3,3.8
매입채무및기타채무,"1,451.7",861.6,766.6,461.8,762.2,65.1
유동종업원급여충당부채,,,,,13.4,
단기충당부채,,,,,,
당기법인세부채(미지급법인세),23.4,25.6,11.2,19.0,0.2,-99.1
계약부채,,50.4,51.5,56.5,58.4,3.4
반품(환불)부채,,,,,,
배출부채,,,,,,
기타유동부채,19.7,9.9,61.2,11.7,8.2,-30.1
매각예정으로분류된처분자산에포함된부채,,,,,,
비유동부채,673.7,717.6,875.1,898.9,819.3,-8.8
사채,,,,,,
장기차입금,170.2,166.8,161.2,150.0,53.5,-64.3
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
비유동금융부채,,,150.6,125.0,127.7,2.1
장기매입채무및기타채무,4.0,,,,,
비유동종업원급여충당부채,,19.0,26.1,20.7,8.9,-57.1
장기충당부채,,,,,,
이연법인세부채,31.3,29.1,27.8,29.8,30.6,2.8
장기당기법인세부채(미지급법인세),,,,,,
계약부채,,502.0,509.4,534.7,573.2,7.2
반품(환불)부채,,,,,,
배출부채,,,,,,
기타비유동부채,468.3,0.7,,38.6,25.5,-34.0
기타금융업부채,,,,,,
*이자발생부채,185.7,179.2,349.8,312.5,211.2,-32.4
*순부채,-721.8,-336.6,-240.8,-169.2,-355.4,-110.0
*CAPEX,170.1,153.9,151.5,169.6,146.6,-13.6
자본총계,"1,710.3","1,800.6","1,849.7","1,916.7","1,914.0",-0.1
지배주주지분,"1,710.3","1,800.6","1,849.7","1,916.7","1,914.0",-0.1
자본금,218.7,218.7,218.7,218.7,218.7,0.0
신종자본증권,,,,,,
자본잉여금,264.3,264.3,264.3,264.3,264.3,0.0
기타자본,-57.7,-57.7,-57.7,-57.7,-57.7,0.0
기타포괄이익누계액,4.0,4.3,4.4,3.5,4.1,16.1
이익잉여금,"1,280.9","1,370.9","1,419.9","1,487.8","1,484.5",-0.2
*(지배)당기순이익,137.3,161.2,107.1,113.9,37.1,-67.4
비지배주주지분,,,,,,
*(비지배)당기순이익,,,,,,
수권주식수,"6,000","6,000","6,000","6,000","6,000",0
1주당금액,"5,000","5,000","5,000","5,000","5,000",0
발행주식수,"4,375","4,375","4,375","4,375","4,375",0
보통주,"4,375","4,375","4,375","4,375","4,375",0
우선주,,,,,,
