항목,"2017/12
(IFRS별도)",2018/12,2019/12,2020/12,2021/12,전년대비
자산총계,"5,778.9","6,142.1","6,064.9","6,133.4","6,667.2",8.7
유동자산,"2,066.7","2,070.6","2,084.5","2,194.1","2,690.9",22.6
재고자산,529.7,554.1,582.7,534.7,702.6,31.4
유동생물자산,,,,,,
당기손익-공정가치측정금융자산,,0.2,0.0,0.3,348.6,"132,103.6"
기타포괄손익-공정가치측정금융자산,,,,,,
상각후원가측정유가증권,,,,,,
상각후원가측정금융자산,,,,,,
단기금융자산,140.8,40.4,31.0,0.9,31.0,"3,348.7"
매출채권및기타채권,"1,276.5","1,308.1","1,269.4","1,303.3","1,274.7",-2.2
당기법인세자산(선급법인세),,,,,13.5,
계약자산,,20.9,,,,
반품(환불)자산,,,19.8,15.8,13.5,-14.6
배출권,,,,,,
기타유동자산,23.8,23.4,11.8,8.2,13.9,69.7
현금및현금성자산,95.9,123.6,169.8,331.0,293.2,-11.4
매각예정비유동자산및처분자산,,,,,,
비유동자산,"3,712.2","4,071.5","3,980.5","3,939.3","3,976.3",0.9
유형자산,"3,513.2","3,850.6","3,713.0","3,736.0","3,774.1",1.0
무형자산,80.8,86.6,201.7,183.4,173.8,-5.3
비유동생물자산,,,,,,
투자부동산,,,,,,
투자자산,10.2,6.2,5.8,4.9,8.3,69.1
장기매출채권및기타채권,107.9,127.8,59.7,8.9,1.7,-81.0
이연법인세자산,,,,,,
장기당기법인세자산,,,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타비유동자산,,0.3,0.2,6.0,18.4,205.8
기타금융업자산,,,,,,
*순자산1,"3,359.5","3,362.1","3,419.8","3,476.4","3,460.7",-0.5
*순자산2,"3,278.7","3,275.5","3,218.1","3,293.0","3,286.9",-0.2
부채총계,"2,419.3","2,780.0","2,645.1","2,657.0","3,206.5",20.7
유동부채,"1,792.8","1,959.1","1,299.2","1,597.9","1,696.1",6.1
단기사채,,,,,399.9,
단기차입금,780.0,"1,011.0",244.1,176.5,59.7,-66.2
유동성장기부채,21.9,52.5,262.5,502.5,240.6,-52.1
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
유동금융부채,,,1.6,1.6,2.2,39.1
매입채무및기타채무,923.2,845.1,727.3,847.7,937.2,10.6
유동종업원급여충당부채,,,,,,
단기충당부채,,,,3.8,2.6,-32.9
당기법인세부채(미지급법인세),62.0,15.6,28.9,19.2,1.8,-90.7
계약부채,,23.9,23.2,0.3,,
반품(환불)부채,,,,26.1,25.5,-2.4
배출부채,,,,,,
기타유동부채,5.7,11.0,11.6,20.1,26.7,32.6
매각예정으로분류된처분자산에포함된부채,,,,,,
비유동부채,626.6,820.9,"1,345.9","1,059.1","1,510.4",42.6
사채,,,798.3,798.8,"1,197.9",50.0
장기차입금,398.1,585.6,323.1,30.6,110.0,259.2
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
비유동금융부채,,,3.1,3.2,4.6,44.1
장기매입채무및기타채무,,0.1,0.1,0.1,0.1,10.6
비유동종업원급여충당부채,89.8,122.3,108.7,129.6,85.4,-34.1
장기충당부채,,,,,,
이연법인세부채,138.7,112.8,112.5,96.8,112.4,16.2
장기당기법인세부채(미지급법인세),,,,,,
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타비유동부채,,,,,,
기타금융업부채,,,,,,
*이자발생부채,"1,200.0","1,649.2","1,632.7","1,513.2","2,014.9",33.1
*순부채,963.7,"1,485.3","1,432.4","1,181.4","1,342.5",13.6
*CAPEX,698.6,517.1,261.3,207.1,383.2,85.0
자본총계,"3,359.5","3,362.1","3,419.8","3,476.4","3,460.7",-0.5
지배주주지분,"3,359.5","3,360.1","3,419.8","3,476.4","3,460.7",-0.5
자본금,147.8,147.8,147.8,147.8,147.8,0.0
신종자본증권,,,,,,
자본잉여금,94.1,94.1,94.1,94.1,94.1,0.0
기타자본,,,,,,
기타포괄이익누계액,,0.2,0.8,-1.8,3.1,267.8
이익잉여금,"3,117.7","3,118.2","3,177.2","3,236.5","3,215.7",-0.6
*(지배)당기순이익,271.4,147.2,182.1,201.8,84.5,-58.1
비지배주주지분,,2.0,,,,
*(비지배)당기순이익,,0.1,,,,
수권주식수,"80,000","80,000","80,000","80,000","80,000",0
1주당금액,500,500,500,500,500,0
발행주식수,"24,800","24,800","24,800","24,800","24,800",0
보통주,"24,800","24,800","24,800","24,800","24,800",0
우선주,,,,,,
