항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)",전년대비
자산총계,"1,684.7","1,953.1","2,180.3","2,483.1","2,675.6",7.8
유동자산,978.8,"1,055.2","1,177.8","1,415.0","1,359.9",-3.9
재고자산,373.0,371.1,456.6,655.1,609.0,-7.0
유동생물자산,,,,,,
당기손익-공정가치측정금융자산,,,150.0,,,
기타포괄손익-공정가치측정금융자산,,,,,,
상각후원가측정유가증권,,,,,,
상각후원가측정금융자산,,,,,,
단기금융자산,300.0,300.0,150.0,300.0,300.0,0.0
매출채권및기타채권,196.2,182.4,245.2,276.0,312.0,13.1
당기법인세자산(선급법인세),,,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타유동자산,6.4,5.9,2.4,6.3,11.1,77.1
현금및현금성자산,103.3,195.8,173.7,177.6,127.8,-28.1
매각예정비유동자산및처분자산,,,,,,
비유동자산,705.9,897.9,"1,002.4","1,068.1","1,315.7",23.2
유형자산,679.1,869.2,970.0,"1,034.2","1,259.5",21.8
무형자산,4.6,5.5,6.3,6.3,26.3,314.9
비유동생물자산,,,,,,
투자부동산,15.9,15.7,15.5,15.3,15.1,-1.4
투자자산,0.0,0.0,0.0,0.0,2.1,"10,316.5"
장기매출채권및기타채권,0.2,0.2,1.7,1.8,0.3,-83.5
이연법인세자산,6.1,7.3,8.9,10.5,12.4,17.8
장기당기법인세자산,,,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타비유동자산,,,,,,
기타금융업자산,,,,,,
*순자산1,"1,203.9","1,255.2","1,294.6","1,332.3","1,457.4",9.4
*순자산2,"1,199.4","1,249.7","1,288.3","1,326.0","1,431.1",7.9
부채총계,480.8,697.9,885.6,"1,150.8","1,218.2",5.8
유동부채,331.0,555.5,758.9,"1,073.9","1,189.3",10.8
단기사채,,,,,,
단기차입금,183.3,387.2,580.6,818.8,772.5,-5.7
유동성장기부채,,,20.9,50.7,46.7,-7.9
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
유동금융부채,,,,,,
매입채무및기타채무,129.4,158.9,149.8,196.9,333.7,69.5
유동종업원급여충당부채,,,,,,
단기충당부채,,0.1,0.1,0.8,0.9,6.3
당기법인세부채(미지급법인세),18.0,8.9,7.3,6.4,34.6,437.0
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타유동부채,0.2,0.4,0.3,0.2,1.0,351.5
매각예정으로분류된처분자산에포함된부채,,,,,,
비유동부채,149.8,142.4,126.7,76.9,28.9,-62.5
사채,,,,,,
장기차입금,125.0,125.0,100.4,51.0,,
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
비유동금융부채,,,3.6,1.0,1.4,43.4
장기매입채무및기타채무,2.8,,,,,
비유동종업원급여충당부채,21.9,17.4,22.7,24.9,27.5,10.2
장기충당부채,,,,,,
이연법인세부채,,,,,,
장기당기법인세부채(미지급법인세),,,,,,
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타비유동부채,0.1,,,,,
기타금융업부채,,,,,,
*이자발생부채,308.3,512.2,705.5,921.5,820.6,-10.9
*순부채,-94.9,16.4,231.9,443.9,392.8,-11.5
*CAPEX,127.4,198.6,184.0,128.0,220.4,72.1
자본총계,"1,203.9","1,255.2","1,294.6","1,332.3","1,457.4",9.4
지배주주지분,"1,203.9","1,255.2","1,294.6","1,332.3","1,457.4",9.4
자본금,30.0,30.0,30.0,30.0,30.0,0.0
신종자본증권,,,,,,
자본잉여금,,,,,,
기타자본,,,,,,
기타포괄이익누계액,,,,,,
이익잉여금,"1,173.9","1,225.2","1,264.6","1,302.3","1,427.4",9.6
*(지배)당기순이익,113.0,80.4,78.5,75.2,160.7,113.9
비지배주주지분,,,,,,
*(비지배)당기순이익,,,,,,
수권주식수,"1,000","1,000","1,000","1,000","1,000",0
1주당금액,"5,000","5,000","5,000","5,000","5,000",0
발행주식수,600,600,600,600,600,0
보통주,600,600,600,600,600,0
우선주,,,,,,
