항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
자산총계,"3,411.6","3,723.7","3,929.7","4,040.3","4,729.6","5,263.1",17.1,11.3
유동자산,"1,301.7","1,059.0","1,085.2","1,440.3","1,963.8","2,273.1",36.3,15.8
재고자산,175.7,515.3,467.0,315.8,420.8,,33.3,
유동생물자산,,,,,,,,
당기손익-공정가치측정금융자산,,102.7,,,,,,
기타포괄손익-공정가치측정금융자산,,,,,,,,
상각후원가측정유가증권,,,,,,,,
상각후원가측정금융자산,,,,,,,,
단기금융자산,101.2,1.4,2.2,2.9,152.7,,"5,249.3",
매출채권및기타채권,294.8,255.7,299.4,344.7,446.0,,29.4,
당기법인세자산(선급법인세),,,,,,,,
계약자산,,,,,,,,
반품(환불)자산,,,,,,,,
배출권,,,,,,,,
기타유동자산,18.6,72.0,31.2,18.6,39.7,,113.5,
현금및현금성자산,711.4,112.0,285.4,758.4,904.6,,19.3,
매각예정비유동자산및처분자산,,,,,,,,
비유동자산,"2,109.8","2,664.6","2,844.5","2,600.0","2,765.8",,6.4,
유형자산,"1,999.7","2,539.7","2,553.8","2,400.8","2,551.3",,6.3,
무형자산,55.8,64.9,58.7,115.3,134.6,,16.7,
비유동생물자산,,,,,,,,
투자부동산,39.4,38.5,37.6,36.8,1.0,,-97.4,
투자자산,1.1,5.8,9.8,10.8,8.5,,-21.9,
장기매출채권및기타채권,11.1,11.0,11.3,20.8,16.0,,-23.0,
이연법인세자산,,,,,,,,
장기당기법인세자산,,,,,,,,
계약자산,,,,,,,,
반품(환불)자산,,,,,,,,
배출권,,,,,,,,
기타비유동자산,2.7,4.7,173.2,15.5,54.5,,251.3,
기타금융업자산,,,,,,,,
*순자산1,"2,482.2","2,587.1","2,512.9","2,828.9","3,258.9",,15.2,
*순자산2,"2,426.4","2,522.3","2,454.1","2,713.6","3,124.3",,15.1,
부채총계,929.4,"1,136.5","1,416.8","1,211.4","1,470.7","1,627.3",21.4,10.6
유동부채,574.6,587.6,937.0,808.6,"1,086.5","1,108.5",34.4,2.0
단기사채,,,,,,,,
단기차입금,36.3,20.9,222.0,243.3,275.1,,13.1,
유동성장기부채,128.3,128.3,196.2,133.3,133.3,,0.0,
당기손익-공정가치측정금융부채,,,,,,,,
상각후원가측정금융부채,,,,,,,,
유동금융부채,,,9.4,8.4,17.3,,105.5,
매입채무및기타채무,336.1,398.6,333.9,336.6,500.1,,48.6,
유동종업원급여충당부채,,,,,,,,
단기충당부채,5.8,0.2,156.5,0.1,2.8,,"2,607.4",
당기법인세부채(미지급법인세),58.9,29.7,14.8,86.3,152.4,,76.5,
계약부채,,,,,,,,
반품(환불)부채,,,,,,,,
배출부채,,6.6,3.9,0.3,3.5,,"1,074.6",
기타유동부채,9.1,3.3,0.2,0.1,2.0,,"1,221.4",
매각예정으로분류된처분자산에포함된부채,,,,,,,,
비유동부채,354.7,548.9,479.8,402.9,384.2,521.3,-4.6,35.7
사채,,,,,,,,
장기차입금,224.6,386.2,300.0,226.7,173.3,,-23.5,
당기손익-공정가치측정금융부채,,,,,,,,
상각후원가측정금융부채,,,,,,,,
비유동금융부채,,6.2,7.4,3.7,33.6,,808.6,
장기매입채무및기타채무,14.3,11.7,11.6,10.4,10.3,,-1.6,
비유동종업원급여충당부채,,6.2,11.2,,,,,
장기충당부채,,,,,,,,
이연법인세부채,115.8,138.6,149.6,162.1,167.0,,3.0,
장기당기법인세부채(미지급법인세),,,,,,,,
계약부채,,,,,,,,
반품(환불)부채,,,,,,,,
배출부채,,,,,,,,
기타비유동부채,,,,,,,,
기타금융업부채,,,,,,,,
*이자발생부채,389.2,535.5,727.1,609.1,631.2,,3.6,
*순부채,-422.8,320.8,441.7,-149.3,-423.4,-457.6,-183.6,-8.1
*CAPEX,120.5,673.2,238.9,88.9,327.0,549.7,267.6,68.1
자본총계,"2,482.2","2,587.1","2,512.9","2,828.9","3,258.9","3,635.9",15.2,11.6
지배주주지분,"2,482.2","2,587.1","2,512.9","2,828.9","3,258.9","3,635.9",15.2,11.6
자본금,146.8,146.8,146.8,146.8,146.8,149.3,0.0,1.6
신종자본증권,,,,,,,,
자본잉여금,"1,875.0","1,875.0","1,875.0","1,875.0","1,875.0",,0.0,
기타자본,-781.0,-781.0,-781.0,-781.0,-781.0,,0.0,
기타포괄이익누계액,,,,,,,,
이익잉여금,"1,241.3","1,346.2","1,271.9","1,587.9","2,018.0",,27.1,
*(지배)당기순이익,327.8,349.8,177.2,417.2,640.0,,53.4,
비지배주주지분,,,,,,,,
*(비지배)당기순이익,,,,,,,,
수권주식수,"100,000","100,000","100,000","100,000","100,000",,0,
1주당금액,500,500,500,500,500,,0,
발행주식수,"29,366","29,366","29,366","29,366","29,366",,0,
보통주,"29,366","29,366","29,366","29,366","29,366",,0,
우선주,,,,,,,,
