항목,2017/12,"2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)",전년대비
자산총계,"2,447.1","2,505.8","2,958.2","3,431.6","4,409.1",28.5
유동자산,837.1,824.0,856.4,"1,050.2",845.8,-19.5
재고자산,489.5,386.2,333.5,215.3,539.4,150.5
유동생물자산,,,,,,
당기손익-공정가치측정금융자산,,,,,,
기타포괄손익-공정가치측정금융자산,,,,,,
상각후원가측정유가증권,,,,,,
상각후원가측정금융자산,,,,,,
단기금융자산,,29.4,159.2,75.3,30.0,-60.1
매출채권및기타채권,185.8,216.1,151.0,219.2,199.1,-9.2
당기법인세자산(선급법인세),,,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타유동자산,2.8,2.4,1.0,0.8,0.3,-66.0
현금및현금성자산,158.9,189.9,211.6,539.6,77.0,-85.7
매각예정비유동자산및처분자산,,,,,,
비유동자산,"1,610.0","1,681.8","2,101.9","2,381.4","3,563.3",49.6
유형자산,267.7,258.9,228.9,205.6,192.6,-6.3
무형자산,1.7,,,0.1,0.1,-14.6
비유동생물자산,,,,,,
투자부동산,195.2,192.6,202.3,159.8,711.8,345.3
투자자산,"1,145.4","1,230.3","1,670.6","2,015.8","2,658.8",31.9
장기매출채권및기타채권,,,,,,
이연법인세자산,,,,,,
장기당기법인세자산,,,,,,
계약자산,,,,,,
반품(환불)자산,,,,,,
배출권,,,,,,
기타비유동자산,,,,,,
기타금융업자산,,,,,,
*순자산1,"2,256.6","2,372.9","2,750.1","3,148.8","3,769.8",19.7
*순자산2,"2,254.8","2,372.9","2,750.1","3,148.7","3,769.8",19.7
부채총계,190.6,132.9,208.1,282.8,639.3,126.0
유동부채,157.0,105.2,106.8,123.6,124.9,1.0
단기사채,,,,,,
단기차입금,3.2,0.5,0.3,0.1,7.3,"5,425.0"
유동성장기부채,,,,,,
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,15.5,44.0,41.2,49.5,20.3
유동금융부채,,26.9,0.0,0.0,0.0,13.3
매입채무및기타채무,75.4,28.0,20.8,23.5,22.4,-4.4
유동종업원급여충당부채,,,,,,
단기충당부채,15.9,3.5,8.8,11.4,7.9,-30.9
당기법인세부채(미지급법인세),60.8,29.5,32.7,47.2,36.5,-22.6
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타유동부채,1.7,1.1,0.3,0.3,1.2,345.6
매각예정으로분류된처분자산에포함된부채,,,,,,
비유동부채,33.6,27.7,101.3,159.2,514.4,223.1
사채,,,,,,
장기차입금,,,,,207.5,
당기손익-공정가치측정금융부채,,,,,,
상각후원가측정금융부채,,,,,,
비유동금융부채,,,0.4,0.4,5.8,"1,268.0"
장기매입채무및기타채무,,,2.8,2.9,8.2,178.5
비유동종업원급여충당부채,,,0.0,,,
장기충당부채,,,,,,
이연법인세부채,33.6,27.7,96.9,154.8,291.7,88.5
장기당기법인세부채(미지급법인세),,,,,,
계약부채,,,,,,
반품(환불)부채,,,,,,
배출부채,,,,,,
기타비유동부채,,,1.2,1.1,1.2,15.1
기타금융업부채,,,,,,
*이자발생부채,3.2,42.9,44.7,41.8,264.7,534.0
*순부채,-155.8,-176.3,-326.1,-573.1,157.7,127.5
*CAPEX,58.1,26.9,14.9,6.3,566.8,"8,848.3"
자본총계,"2,256.6","2,372.9","2,750.1","3,148.8","3,769.8",19.7
지배주주지분,"2,256.6","2,372.9","2,750.1","3,148.8","3,769.8",19.7
자본금,342.5,342.5,342.5,342.5,342.5,0.0
신종자본증권,,,,,,
자본잉여금,117.5,117.5,117.5,117.5,117.5,0.0
기타자본,-174.7,-176.9,-190.7,-190.7,-190.7,0.0
기타포괄이익누계액,136.9,115.3,361.4,563.4,"1,082.6",92.2
이익잉여금,"1,834.4","1,974.5","2,119.5","2,316.1","2,418.0",4.4
*(지배)당기순이익,220.2,136.5,145.0,196.5,112.0,-43.0
비지배주주지분,,,,,,
*(비지배)당기순이익,,,,,,
수권주식수,"12,000","12,000","12,000","12,000","12,000",0
1주당금액,"5,000","5,000","5,000","5,000","5,000",0
발행주식수,"6,649","6,649","6,649","6,649","6,649",0
보통주,"6,649","6,649","6,649","6,649","6,649",0
우선주,,,,,,
